Datetime,EU-AUT,EU-BEL,EU-BGR,EU-BIH,EU-CHE,EU-CYP,EU-CZE,EU-DEU,EU-DNK,EU-EST,EU-ESP,EU-FIN,EU-FRA,EU-GRC,EU-HRV,EU-HUN,EU-IRL,EU-ISL,EU-ITA,EU-LTU,EU-LUX,EU-LVA,EU-MKD,EU-MNE,EU-NLD,EU-NOR,EU-POL,EU-PRT,EU-ROU,EU-SRB,EU-SWE,EU-SVN,EU-SVK,EU-GBR,SA-CHL,AF-ZAF,NA-PAN,NA-MEX,SA-PER,SA-URY,SA-ARG,EU-GEO,OC-NZL,AS-MYS,AS-OMN,EU-UKR,AS-TUR,AS-SGP,NA-CAN,NA-CAN-QC,NA-CAN-SK,NA-CAN-ON,NA-CAN-NO,NA-CAN-MB,NA-CAN-NL,NA-CAN-BC,NA-CAN-AR,NA-CAN-AB,NA-USA,NA-USA-AZ,NA-USA-CA,NA-USA-ER,NA-USA-FR,NA-USA-ME,NA-USA-MW,NA-USA-NE,NA-USA-NW,NA-USA-NY,NA-USA-RE,NA-USA-RM,NA-USA-RW,NA-USA-RA,NA-USA-SN,NA-USA-SS,NA-USA-SC,NA-USA-SA,NA-USA-SW,NA-USA-SE,NA-USA-SV,NA-USA-GU,NA-USA-HA,NA-USA-PR,NA-USA-AK,AS-IND,AS-IND-EA,AS-IND-NE,AS-IND-NO,AS-IND-SO,AS-IND-WE,SA-BRA,SA-BRA-CN,SA-BRA-SO,SA-BRA-NE,SA-BRA-SE,SA-BRA-CW,SA-BRA-NW,SA-BRA-WE,AS-JPN,AS-JPN-HO,AS-JPN-OK,AS-JPN-TO,AS-JPN-CE,AS-JPN-SH,AS-JPN-KY,OC-AUS,OC-AUS-WA,OC-AUS-QL,OC-AUS-SA,OC-AUS-SW,OC-AUS-VI,OC-AUS-TA,OC-AUS-NT,AS-CHN,AS-CHN-HK,AS-CHN-MA,AS-CHN-AN,AS-CHN-BE,AS-CHN-CH,AS-CHN-FU,AS-CHN-GA,AS-CHN-GD,AS-CHN-GX,AS-CHN-GU,AS-CHN-HA,AS-CHN-HB,AS-CHN-HJ,AS-CHN-HE,AS-CHN-HU,AS-CHN-HN,AS-CHN-WM,AS-CHN-EM,AS-CHN-JS,AS-CHN-JX,AS-CHN-JI,AS-CHN-LI,AS-CHN-NI,AS-CHN-QI,AS-CHN-SI,AS-CHN-SD,AS-CHN-SH,AS-CHN-SX,AS-CHN-SC,AS-CHN-TJ,AS-CHN-TI,AS-CHN-XI,AS-CHN-YU,AS-CHN-ZH,AS-RUS,AS-RUS-CE,AS-RUS-SO,AS-RUS-MV,AS-RUS-NW,AS-RUS-UR,AS-RUS-SI,AS-RUS-FE,AF-AGO,AF-BDI,AF-BEN,AF-BFA,AF-BWA,AF-CAF,AF-CIV,AF-CMR,AF-COD,AF-COG,AF-CPV,AF-DJI,AF-DZA,AF-EGY,AF-ERI,AF-ESH,AF-ETH,AF-GAB,AF-GHA,AF-GIN,AF-GMB,AF-GNB,AF-GNQ,AF-KEN,AF-LBR,AF-LBY,AF-LSO,AF-MAR,AF-MDG,AF-MLI,AF-MOZ,AF-MRT,AF-MUS,AF-MWI,AF-NAM,AF-NER,AF-NGA,AF-RWA,AF-SDN,AF-SEN,AF-SLE,AF-SOM,AF-SWZ,AF-TCD,AF-TGO,AF-TUN,AF-TZA,AF-UGA,AF-ZMB,AF-ZWE,AS-AFG,AS-ARE,AS-BGD,AS-BHR,AS-BRN,AS-BTN,AS-IDN,AS-IRN,AS-IRQ,AS-ISR,AS-JOR,AS-KAZ,AS-KGZ,AS-KHM,AS-KOR,AS-KWT,AS-LAO,AS-LBN,AS-LKA,AS-MMR,AS-MNG,AS-NPL,AS-PAK,AS-PHL,AS-PRK,AS-QAT,AS-SAU,AS-SYR,AS-THA,AS-TJK,AS-TKM,AS-TLS,AS-TWN,AS-UZB,AS-VNM,AS-YEM,EU-ALB,EU-ARM,EU-AZE,EU-BLR,EU-KOS,EU-MDA,EU-MLT,NA-BLZ,NA-CRI,NA-CUB,NA-DOM,NA-GTM,NA-HND,NA-HTI,NA-JAM,NA-NIC,NA-SLV,NA-TTO,OC-ATA,OC-FJI,OC-PNG,SA-BOL,SA-COL,SA-ECU,SA-GUF,SA-GUY,SA-PRY,SA-SUR,SA-VEN
01/01/2015,7847,10281,5267,1749,8205,437,6931,54544,3382,989,28706,9814,76517,6831,2230,4505,3118,2110,27549,1222,658,742,1399,538,12161,15716,15916,6143,7451,5921,15479,1359,3092,36793,6670,21914,1291,33810,6141,1767,24420,1031,4471,15114,1912,17923,24956,4496,81594,28050,3407,18247,123,3661,1653,10692,3760,12001,518485,16055,31861,46008,32573,3149,28491,16751,37360,20438,33825,12567,68817,10230,8968,19036,28781,18277,15770,29743,35579,188,1052,2586,958,148165,15074,1768,44145,40385,46810,73276,6230,11179,11271,37470,6915,280,139,130299,4580,907,54601,54495,4187,11528,25658,3818,7257,1248,7373,4486,1178,299,575876,4275,429,19010,12576,9991,20577,11750,54234,15052,8706,2895,35897,11572,33673,19087,15204,13923,14156,57760,12542,8459,23919,9883,7163,14013,59980,17509,19326,21358,9744,442,20126,14714,39106,128501,32301,13681,14093,12940,34731,28990,5207,989,45,125,199,536,12,747,751,927,200,33,24,3872,12971,27,12,769,236,879,49,25,22,45,712,29,2192,95,3115,172,192,1414,59,344,149,473,74,2551,57,734,219,29,32,150,138,126,1528,602,317,1533,929,568,5173,4941,972,400,305,26804,21645,3737,4064,1273,13029,1692,656,54770,2575,704,1518,1446,1831,892,440,7994,9782,1844,1708,23397,1625,21625,2330,2093,16,35673,6037,16973,366,674,675,2423,4244,990,696,217,59,1362,2554,2743,1525,1218,179,666,564,989,1459,1,126,550,1300,9541,3911,39,136,2626,270,16344
01/01/2015 01:00,7480,9785,5032,1658,8214,413,6816,52795,3301,951,27572,9463,76117,6634,2069,4288,2902,2123,26268,1162,631,706,1328,509,11901,15681,15072,5909,7040,5802,15234,1317,2970,37102,6350,21914,1256,35252,6326,1597,24561,1029,4365,17126,1956,17931,24848,4673,79836,27083,3326,17489,121,3571,1588,11249,3603,11808,513755,17057,35974,44796,30285,3074,27701,15999,39677,19720,32654,12129,66964,10170,8691,19097,28218,18024,15434,29565,34359,187,1062,2405,1008,154964,14871,1958,48347,40436,49361,69167,6125,10398,11359,34682,6700,286,142,131300,4664,939,54601,55149,4240,11707,26431,3915,7457,1298,7707,4577,1178,299,617010,4543,456,20164,13352,10592,21828,12569,57577,16104,9327,3095,38081,12023,35721,20233,16147,14903,15016,61293,13300,8788,25378,10562,7209,14994,63642,18595,20522,22852,10335,444,20259,15744,41506,127086,31544,13298,13768,12635,34185,28596,5062,993,45,122,201,543,12,713,761,922,152,30,25,3754,13284,29,9,832,232,830,46,24,20,45,757,28,2250,95,2955,180,177,1496,54,364,152,478,72,2502,55,754,201,28,33,153,134,121,1430,631,333,1593,946,593,5977,5130,1096,419,312,27909,21664,4082,4035,1303,13378,1777,685,55420,2875,718,1550,1356,1906,907,455,9043,9989,1847,1889,23966,1651,22529,2437,2230,17,37234,6437,17348,389,691,717,2581,4331,970,701,214,66,1438,2506,2465,1690,1394,182,661,652,1074,1369,1,125,544,1197,9215,3973,38,121,2514,266,14925
01/01/2015 02:00,7148,9352,4780,1554,7946,377,6697,50923,3163,916,25709,9341,73650,6262,1925,3950,2640,2111,24471,1109,604,671,1242,475,11459,15310,14315,5594,6725,5462,14935,1272,2834,36597,6149,21914,1207,34936,6231,1469,24285,1059,4315,18362,2143,18051,25135,4851,77547,26442,3277,16655,118,3487,1532,11010,3464,11561,500215,16809,36512,43435,28033,2948,26970,15190,39434,18878,31341,11715,65018,9929,8451,18817,27469,17847,15109,29301,32949,184,1092,2172,987,157269,15629,1757,50284,38656,50943,65339,5880,9780,10902,32574,6201,281,139,130800,4712,949,54052,54991,4250,11844,27066,3999,7566,1344,8063,4614,1180,300,655573,4721,474,20935,13869,10990,22660,13334,59782,17075,9910,3284,39547,12249,37092,21010,16769,15808,15593,63612,13804,8952,26359,11200,7711,15911,66071,19314,21298,24246,10733,475,21695,16705,43091,124470,30216,12998,13338,12265,33956,27734,4856,1022,47,125,152,564,12,701,790,942,152,28,26,3856,14113,31,9,940,236,813,45,23,20,45,932,27,2415,97,2798,191,172,1603,52,385,158,492,74,2554,54,811,195,27,34,161,138,119,1401,672,355,1672,990,616,6862,5268,1275,432,318,28537,21915,4611,4184,1388,13693,1838,702,55536,3334,725,1634,1456,1944,915,466,8519,10019,1829,2150,24455,1728,23025,2530,2354,17,36974,6797,17542,423,722,763,2753,4453,914,714,217,67,1453,2277,2134,1703,1434,160,591,683,1079,1241,1,125,536,999,8322,3670,36,101,2220,255,12999
01/01/2015 03:00,6834,8989,4592,1492,7882,348,6608,49282,3019,898,24071,9263,70353,5963,1920,3683,2469,2095,22926,1077,588,654,1171,437,10992,15085,13786,5180,6500,5177,14641,1228,2727,33996,5814,21914,1151,33812,5993,1371,16216,1106,4378,19050,2136,18803,26133,5003,75439,25823,3230,16008,117,3412,1481,10644,3336,11389,484311,16512,35691,42127,26206,2814,26281,14367,38358,18033,29998,11232,63020,9697,8219,18364,26705,17533,14819,28998,31404,182,1118,1990,954,158527,16094,1838,50358,39422,50807,62096,5544,9177,10648,30850,5825,269,134,122393,4479,939,50477,51352,3997,11148,27475,4026,7717,1422,8333,4556,1133,288,681282,4810,483,21323,14130,11196,23076,13844,60887,17731,10297,3408,40279,11616,37776,21403,17080,16417,15882,64776,14061,8492,26855,11614,8182,16525,67306,19673,21691,25170,10934,503,23036,17340,43871,122314,29800,11693,13456,11562,32724,26847,4690,1073,50,131,152,593,13,715,834,984,152,27,28,4155,15328,33,9,1270,248,832,46,24,20,48,1038,28,2665,100,2768,204,178,1723,53,404,168,515,80,2696,55,893,202,28,36,171,150,121,1394,717,380,1760,1052,632,7658,5342,1472,441,321,28695,21323,5160,4363,1515,13924,1871,708,55637,3808,726,1755,1510,1947,916,472,8783,9924,1802,2437,23525,1845,23124,2599,2444,17,36555,7060,17561,460,764,804,2909,4587,865,733,228,60,1353,1981,1911,1531,1283,128,498,615,983,1138,0,126,529,866,7758,3187,34,89,2002,240,11632
01/01/2015 04:00,6746,8695,4446,1452,7527,333,6551,48550,2953,894,22915,9294,68559,5842,1880,3593,2375,2091,22000,1059,579,656,1116,422,10706,14955,13646,4863,6312,4920,14597,1204,2719,31636,5502,21193,1113,32471,5687,1334,14943,1207,4463,19080,2256,19865,27569,5032,74816,24630,3176,15375,114,3330,2016,10331,4668,11176,467861,16220,34630,40679,24548,2640,25581,13598,37436,17264,28675,10720,60889,9383,7942,17899,25815,17005,14415,28912,29816,181,1117,1827,926,160116,15652,1712,51092,39987,51662,61379,5364,9285,10224,30667,5516,254,126,127996,4693,970,52344,54274,4198,11517,28295,4054,7876,1568,8720,4706,1093,278,694136,4561,458,20242,13403,10631,21911,14098,57799,18063,10492,3471,38230,11572,35857,20312,16210,16722,15072,61527,13351,8459,25474,11827,8492,16835,63883,18666,20600,25634,10374,523,23909,17662,41665,120498,29340,11401,13267,11457,32741,26598,4677,1138,53,141,152,624,14,751,889,1040,152,28,29,4609,16617,35,9,1160,264,882,49,25,22,51,1066,29,2927,103,2808,215,193,1840,58,418,178,542,88,2898,58,983,220,29,37,183,166,127,1420,758,402,1848,1121,640,8235,5352,1650,448,321,28512,21830,5653,4495,1651,14044,1875,705,56554,4234,722,1888,1617,1925,912,473,8813,9778,1781,2696,23859,1967,22936,2637,2491,17,34547,7195,17456,493,816,835,3022,4708,822,753,243,49,1192,1762,1749,1284,1044,109,438,497,842,1036,0,127,527,799,7147,2847,33,82,1887,233,10643
01/01/2015 05:00,6845,8571,4425,1442,7570,327,6441,47700,2982,904,22509,9491,68747,5878,1892,3604,2338,2088,21990,1079,577,670,1092,415,10687,15105,13514,4673,6316,4788,14747,1222,2727,29637,5581,20532,952,30775,4739,1306,14108,1320,4555,18575,2264,20559,31792,4995,79375,28878,3114,16559,112,3232,1957,10061,4517,10946,484685,15725,33438,39558,21389,2522,24859,14991,36193,18335,34347,10104,65763,9091,7654,17411,25149,16669,14046,29761,43751,183,1107,1747,902,160472,15827,1724,51066,39282,52561,60365,5353,9017,10071,30177,5483,246,122,127417,4673,970,52059,54116,4145,11454,29139,4168,7969,1706,9143,4792,1086,276,658144,4543,456,20164,13352,10592,21827,13385,57577,17140,9948,3297,38082,11638,35720,20233,16147,15868,15016,61292,13300,8507,25379,11239,8649,15971,63640,18595,20522,24336,10335,532,24350,16768,41506,120121,28403,10880,12853,11163,32465,26320,4613,1205,56,151,152,653,15,802,945,1100,146,30,30,5084,17780,37,9,1251,281,954,53,27,24,54,1144,31,3163,106,2891,224,214,1942,66,426,188,570,98,3120,61,1064,246,31,38,193,184,135,1473,789,419,1923,1183,640,8527,5317,1778,453,319,28188,23361,6009,4922,1773,14058,1858,699,57082,4542,716,2007,1671,1894,906,471,8559,9663,1775,2883,24870,2076,22632,2644,2495,18,35714,7207,17302,518,865,850,3079,4797,801,771,260,43,1084,1599,1669,1126,893,100,395,420,748,993,0,129,531,761,6021,2617,33,78,1823,232,10134
01/01/2015 06:00,6905,8614,4400,1487,7350,312,6372,45994,3107,923,22629,9494,68997,5932,1921,3675,2374,2088,22860,1097,575,678,1075,412,10829,15336,13511,4568,6233,4719,15168,1275,2744,29048,5836,19939,927,29769,4576,1245,13616,1436,4541,19323,2324,22006,34508,5001,78328,29005,3092,16024,110,3256,1919,9721,4425,10775,480749,15327,32139,45203,20419,2434,24180,14340,34828,17532,33376,9648,64401,8941,6801,16258,30380,16511,13469,26937,43728,191,1077,1720,871,155341,16001,1696,46898,39454,51301,59032,5362,8669,9916,29473,5396,245,122,125827,4654,960,51648,53209,4061,11296,30227,4360,8186,1872,9506,4890,1127,286,655573,4569,459,20278,13428,10650,21952,13334,57905,17075,9910,3284,38303,11661,35924,20351,16241,15809,15101,61638,13375,8524,25524,11198,8212,15911,64003,18700,20639,24246,10394,506,23120,16704,41742,120073,27342,10555,12486,10909,32169,26087,4582,1265,58,160,148,675,17,858,994,1153,142,33,31,5511,18627,38,9,1329,297,1033,57,30,26,57,1154,33,3333,108,2848,229,238,2085,74,426,195,594,106,3320,66,1126,273,34,38,201,200,145,1484,806,428,1980,1229,635,8545,5263,1841,460,317,27934,24458,6186,5390,1861,13995,1830,694,57154,4697,712,2094,1564,1868,901,465,8549,9634,1787,2975,25751,2155,22392,2626,2468,18,35611,7131,17178,531,907,851,3083,4842,789,784,275,39,1026,1510,1642,1035,821,95,377,385,683,978,0,135,540,748,5732,2503,33,77,1800,233,9960
01/01/2015 07:00,7230,8338,4448,1525,7113,315,6295,46275,3242,944,23043,9647,69365,6167,1902,3729,2433,2093,23250,1105,593,681,1016,423,11143,15624,13376,4531,6124,4678,15493,1316,2723,29739,6553,19878,910,28165,4392,1162,13365,1506,4456,19707,2479,22574,35373,4969,76612,28554,3028,15473,108,3193,1892,9439,4358,10567,473494,16328,31157,44506,19291,2346,23544,13876,33781,16945,32765,9270,63340,8849,6689,15960,30221,16512,13261,27375,43639,197,1044,1752,846,155202,15678,1714,47609,40141,50069,57761,5412,8350,9682,28827,5270,246,122,126771,4691,970,52165,53557,4071,11317,31155,4504,8386,2063,9663,5041,1194,303,659430,4578,460,20317,13454,10670,21991,13410,58017,17173,9967,3303,38375,11683,35993,20389,16273,15899,15130,61757,13401,8540,25572,11259,8182,16002,64127,18736,20679,24384,10413,503,23036,16800,41823,120613,26664,10156,12217,10715,31840,25082,4434,1309,59,167,143,689,17,908,1031,1193,138,36,31,5819,19063,38,8,1449,309,1105,61,32,28,59,1130,35,3418,109,3084,230,259,2321,81,423,199,614,112,3471,69,1163,299,36,38,205,213,153,1607,810,430,2016,1257,627,8367,5220,1843,466,315,27900,25357,6190,5748,1905,13903,1803,694,57363,4703,710,2138,1438,1861,900,458,8886,9712,1934,2978,26583,2194,22346,2591,2430,18,35768,7021,17144,533,938,842,3049,4847,783,791,286,37,1003,1479,1674,989,781,93,372,364,654,997,0,147,550,762,5573,2464,34,78,1825,235,10159
01/01/2015 08:00,7617,8360,4645,1652,7053,333,6351,47076,3356,947,22724,9596,68842,6857,1961,3870,2445,2100,23871,1140,597,683,1043,454,11415,15779,13303,4237,6068,4886,15630,1379,2795,30275,6191,19856,906,27507,4224,1128,13320,1512,4387,19714,2441,23074,36196,4941,75194,28513,2986,15131,106,3182,1881,8687,4330,10378,467724,16076,30322,43995,18477,2278,23201,13633,33709,16585,32439,9016,62773,8773,6695,15687,30144,16382,13103,26536,44104,200,1008,1837,778,151645,14426,1727,45973,39517,50020,56994,5413,8198,9571,28402,5155,248,123,126290,4801,960,52344,52903,3976,11306,31481,4556,8415,2270,9556,5144,1230,312,660715,4587,460,20355,13478,10689,22031,13436,58126,17205,9987,3309,38448,11683,36062,20428,16303,15929,15159,61866,13427,8540,25620,11280,8227,16031,64245,18772,20716,24430,10432,507,23164,16831,41900,120480,26219,9968,12223,10538,31445,24881,4502,1334,59,171,138,696,18,946,1053,1215,138,38,31,5972,19103,38,8,1439,315,1183,64,33,29,60,1205,37,3421,110,3485,228,274,2621,86,417,200,627,116,3562,72,1175,318,37,38,206,220,159,1689,805,426,2030,1265,621,8113,5209,1800,472,315,28133,25202,6071,5745,1906,13830,1784,700,59397,4604,713,2142,1380,1875,910,450,9245,9872,2314,2916,27017,2195,22535,2548,2400,18,36834,6933,17218,526,956,829,2999,4822,817,792,291,37,1006,1513,1759,973,767,95,379,357,644,1045,1,153,605,801,5465,2510,34,82,1891,235,10692
01/01/2015 09:00,8007,8458,4842,1781,7321,351,6874,49815,3565,991,23338,9654,70004,7688,2072,4096,2564,2109,26469,1206,597,715,1109,492,11782,16067,13825,4452,6206,5160,15858,1450,2902,31319,6763,20099,890,26956,4066,1102,12831,1497,4464,19186,2420,23005,34792,4935,74747,28615,2987,15017,104,3187,1886,8469,4341,10142,465620,15848,29457,43905,18099,2258,23062,13665,33162,16495,32638,8955,62704,8734,6744,15678,30117,16611,13091,25676,44944,201,1045,1956,759,152691,14580,1711,45257,40242,50920,53617,5333,7811,8679,26707,5078,248,123,129282,5019,981,54390,53230,4092,11570,31096,4554,8384,2345,9195,5067,1236,314,662001,4587,460,20355,13478,10689,22033,13461,58126,17237,10007,3314,38449,11504,36061,20428,16303,15959,15159,61866,13427,8411,25620,11299,8243,16061,64246,18772,20716,24475,10432,508,23206,16863,41900,121001,26208,10000,12132,10437,31113,24794,4443,1339,58,172,138,697,18,969,1061,1219,138,40,31,5975,18861,38,8,1381,316,1287,66,34,30,61,1213,38,3364,109,3816,226,283,2944,89,412,199,634,117,3592,74,1170,331,38,38,205,223,163,1719,795,421,2023,1260,619,7907,5235,1741,475,316,28559,24951,5905,5643,1877,13823,1798,711,61538,4464,719,2116,1360,1907,948,442,9135,10077,2707,2829,27182,2168,22902,2505,2391,16,38178,6914,17378,517,959,818,2960,4786,862,788,292,37,1037,1605,1879,992,782,100,399,365,656,1113,1,143,704,856,5610,2630,33,88,1985,232,11448
