REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCOGINDWE01,30
GLOBAL,PWRCCGINDWE00,30
GLOBAL,PWRCCGINDEA00,30
GLOBAL,PWRGEOINDEA01,30
GLOBAL,PWROCGINDEA00,30
GLOBAL,PWRWOFINDWE01,30
GLOBAL,PWRURNINDNO01,60
GLOBAL,PWRCOAINDSO01,30
GLOBAL,PWRCOAINDNE01,30
GLOBAL,PWROCGINDEA01,30
GLOBAL,PWRCCSINDWE01,30
GLOBAL,PWRHYDINDNE01,100
GLOBAL,PWRWAVINDNO01,20
GLOBAL,PWRWONINDNO01,30
GLOBAL,PWROTHINDEA01,30
GLOBAL,PWRURNINDWE01,60
GLOBAL,PWRPETINDEA01,30
GLOBAL,PWROTHINDSO01,30
GLOBAL,PWRCCSINDSO01,30
GLOBAL,PWRGEOINDNE01,30
GLOBAL,PWRCSPINDEA01,30
GLOBAL,PWROCGINDNE01,30
GLOBAL,PWROILINDEA01,30
GLOBAL,PWROILINDWE01,30
GLOBAL,PWRWOFINDNE01,30
GLOBAL,PWRCCSINDNE01,30
GLOBAL,PWRSPVINDSO01,30
GLOBAL,PWRCOGINDEA01,30
GLOBAL,PWRWAVINDSO01,20
GLOBAL,PWRCOAINDEA01,30
GLOBAL,PWRBIOINDNO01,30
GLOBAL,PWRBIOINDNE01,30
GLOBAL,PWRWASINDWE01,30
GLOBAL,PWRSPVINDEA01,30
GLOBAL,PWRPETINDNE01,30
GLOBAL,PWRURNINDSO01,60
GLOBAL,PWRCCGINDWE01,30
GLOBAL,PWRCSPINDNE01,30
GLOBAL,PWRSPVINDNO01,30
GLOBAL,PWRCCSINDNO01,30
GLOBAL,PWRSPVINDWE01,30
GLOBAL,PWRWONINDWE01,30
GLOBAL,PWRCOGINDSO01,30
GLOBAL,PWRWASINDNE01,30
GLOBAL,PWRBIOINDEA01,30
GLOBAL,PWROCGINDNO00,30
GLOBAL,PWRPETINDNO01,30
GLOBAL,PWRCOAINDWE01,30
GLOBAL,PWRPETINDSO01,30
GLOBAL,PWROCGINDWE01,30
GLOBAL,PWROILINDNO01,30
GLOBAL,PWRBIOINDWE01,30
GLOBAL,PWRWONINDSO01,30
GLOBAL,PWRWASINDSO01,30
GLOBAL,PWRHYDINDNO01,100
GLOBAL,PWRPETINDWE01,30
GLOBAL,PWROCGINDWE00,30
GLOBAL,PWRSPVINDNE01,30
GLOBAL,PWROCGINDSO01,30
GLOBAL,PWROTHINDWE01,30
GLOBAL,PWRCCGINDNO00,30
GLOBAL,PWRWONINDEA01,30
GLOBAL,PWRCSPINDNO01,30
GLOBAL,PWRCOGINDNO01,30
GLOBAL,PWROTHINDNO01,30
GLOBAL,PWRCOGINDNE01,30
GLOBAL,PWRCCGINDNE01,30
GLOBAL,PWRURNINDEA01,60
GLOBAL,PWROCGINDSO00,30
GLOBAL,PWRCCGINDSO01,30
GLOBAL,PWROCGINDNO01,30
GLOBAL,PWRWASINDNO01,30
GLOBAL,PWRHYDINDSO01,100
GLOBAL,PWRWAVINDEA01,20
GLOBAL,PWROILINDSO01,30
GLOBAL,PWRCCSINDEA01,30
GLOBAL,PWRGEOINDSO01,30
GLOBAL,PWRCCGINDEA01,30
GLOBAL,PWRWONINDNE01,30
GLOBAL,PWRCSPINDWE01,30
GLOBAL,PWRWOFINDEA01,30
GLOBAL,PWRWOFINDSO01,30
GLOBAL,PWRWAVINDNE01,20
GLOBAL,PWRCCGINDSO00,30
GLOBAL,PWRGEOINDNO01,30
GLOBAL,PWRCSPINDSO01,30
GLOBAL,PWRWASINDEA01,30
GLOBAL,PWRGEOINDWE01,30
GLOBAL,PWRWAVINDWE01,20
GLOBAL,PWROCGINDNE00,30
GLOBAL,PWRCCGINDNE00,30
GLOBAL,PWROTHINDNE01,30
GLOBAL,PWRHYDINDWE01,100
GLOBAL,PWRHYDINDEA01,100
GLOBAL,PWRBIOINDSO01,30
GLOBAL,PWRWOFINDNO01,30
GLOBAL,PWRCCGINDNO01,30
GLOBAL,PWRURNINDNE01,60
GLOBAL,PWRCOAINDNO01,30
GLOBAL,PWROILINDNE01,30
GLOBAL,TRNINDEAINDNE,60
GLOBAL,TRNINDEAINDNO,60
GLOBAL,TRNINDEAINDSO,60
GLOBAL,TRNINDEAINDWE,60
GLOBAL,TRNINDNEINDNO,60
GLOBAL,TRNINDNOINDWE,60
GLOBAL,TRNINDSOINDWE,60
