REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCINDEA02,S1D1,2021,0.24
GLOBAL,ELCINDEA02,S1D1,2022,0.24
GLOBAL,ELCINDEA02,S1D1,2023,0.24
GLOBAL,ELCINDEA02,S1D1,2024,0.24
GLOBAL,ELCINDEA02,S1D1,2025,0.24
GLOBAL,ELCINDEA02,S1D1,2026,0.24
GLOBAL,ELCINDEA02,S1D1,2027,0.24
GLOBAL,ELCINDEA02,S1D1,2028,0.24
GLOBAL,ELCINDEA02,S1D1,2029,0.24
GLOBAL,ELCINDEA02,S1D1,2030,0.24
GLOBAL,ELCINDEA02,S1D1,2031,0.24
GLOBAL,ELCINDEA02,S1D1,2032,0.24
GLOBAL,ELCINDEA02,S1D1,2033,0.24
GLOBAL,ELCINDEA02,S1D1,2034,0.24
GLOBAL,ELCINDEA02,S1D1,2035,0.24
GLOBAL,ELCINDEA02,S1D1,2036,0.24
GLOBAL,ELCINDEA02,S1D1,2037,0.24
GLOBAL,ELCINDEA02,S1D1,2038,0.24
GLOBAL,ELCINDEA02,S1D1,2039,0.24
GLOBAL,ELCINDEA02,S1D1,2040,0.24
GLOBAL,ELCINDEA02,S1D1,2041,0.24
GLOBAL,ELCINDEA02,S1D1,2042,0.24
GLOBAL,ELCINDEA02,S1D1,2043,0.24
GLOBAL,ELCINDEA02,S1D1,2044,0.24
GLOBAL,ELCINDEA02,S1D1,2045,0.24
GLOBAL,ELCINDEA02,S1D1,2046,0.24
GLOBAL,ELCINDEA02,S1D1,2047,0.24
GLOBAL,ELCINDEA02,S1D1,2048,0.24
GLOBAL,ELCINDEA02,S1D1,2049,0.24
GLOBAL,ELCINDEA02,S1D1,2050,0.24
GLOBAL,ELCINDNE02,S1D1,2021,0.23
GLOBAL,ELCINDNE02,S1D1,2022,0.23
GLOBAL,ELCINDNE02,S1D1,2023,0.23
GLOBAL,ELCINDNE02,S1D1,2024,0.23
GLOBAL,ELCINDNE02,S1D1,2025,0.23
GLOBAL,ELCINDNE02,S1D1,2026,0.23
GLOBAL,ELCINDNE02,S1D1,2027,0.23
GLOBAL,ELCINDNE02,S1D1,2028,0.23
GLOBAL,ELCINDNE02,S1D1,2029,0.23
GLOBAL,ELCINDNE02,S1D1,2030,0.23
GLOBAL,ELCINDNE02,S1D1,2031,0.23
GLOBAL,ELCINDNE02,S1D1,2032,0.23
GLOBAL,ELCINDNE02,S1D1,2033,0.23
GLOBAL,ELCINDNE02,S1D1,2034,0.23
GLOBAL,ELCINDNE02,S1D1,2035,0.23
GLOBAL,ELCINDNE02,S1D1,2036,0.23
