REGION,YEAR,EMISSION,VALUE
GLOBAL,2021,CO2IND,778.39
GLOBAL,2022,CO2IND,784.94
GLOBAL,2023,CO2IND,776.37
GLOBAL,2024,CO2IND,504.24
GLOBAL,2025,CO2IND,408.9
GLOBAL,2026,CO2IND,379.95
GLOBAL,2027,CO2IND,381.32
GLOBAL,2028,CO2IND,381.99
GLOBAL,2029,CO2IND,385.15
GLOBAL,2030,CO2IND,381.41
GLOBAL,2031,CO2IND,352.14
GLOBAL,2032,CO2IND,346.09
GLOBAL,2033,CO2IND,335.3
GLOBAL,2034,CO2IND,328.59
GLOBAL,2035,CO2IND,321.29
GLOBAL,2036,CO2IND,312.64
GLOBAL,2037,CO2IND,304.17
GLOBAL,2038,CO2IND,295.61
GLOBAL,2039,CO2IND,288.35
GLOBAL,2040,CO2IND,282.13
GLOBAL,2041,CO2IND,272.06
GLOBAL,2042,CO2IND,266.18
GLOBAL,2043,CO2IND,259.16
GLOBAL,2044,CO2IND,253.5
GLOBAL,2045,CO2IND,246.19
GLOBAL,2046,CO2IND,235.97
GLOBAL,2047,CO2IND,224.9
GLOBAL,2048,CO2IND,213.42
GLOBAL,2049,CO2IND,202.36
GLOBAL,2050,CO2IND,189.24
