YEAR,NODE_1,NODE_2,VALUE
2021,INDEA,INDNE,804.24
2022,INDEA,INDNE,823.68
2023,INDEA,INDNE,800.64
2024,INDNE,INDNO,864.0
2025,INDNE,INDNO,864.0
2025,INDNO,INDWE,1620.0
2026,INDNE,INDNO,864.0
2026,INDNO,INDWE,1216.08
2027,INDNE,INDNO,864.0
2027,INDNO,INDWE,776.16
2028,INDEA,INDNO,28.080000000000002
2028,INDNE,INDNO,864.0
2028,INDNO,INDWE,496.08
2029,INDEA,INDNO,259.92
2029,INDNE,INDNO,864.0
2029,INDNO,INDWE,55.44
2030,INDEA,INDNO,377.28000000000003
2030,INDNE,INDNO,1440.0
2030,INDNO,INDWE,184.32
2031,INDEA,INDNO,308.16
2031,INDNE,INDNO,1764.72
2032,INDEA,INDNO,329.04
2032,INDNE,INDNO,2465.28
2033,INDEA,INDNO,348.48
2033,INDNE,INDNO,3035.52
2034,INDEA,INDNO,360.71999999999997
2034,INDEA,INDSO,262.8
2034,INDNE,INDNO,3597.84
2035,INDEA,INDNO,394.56000000000006
2035,INDEA,INDSO,408.96
2035,INDEA,INDWE,24.48
2035,INDNE,INDNO,4181.76
2036,INDEA,INDNO,419.76
2036,INDEA,INDSO,416.88
2036,INDEA,INDWE,43.199999999999996
2036,INDNE,INDNO,4752.72
2037,INDEA,INDNO,444.96
2037,INDEA,INDSO,424.8
2037,INDEA,INDWE,62.64
2037,INDNE,INDNO,5324.4
2038,INDEA,INDNO,470.16
2038,INDEA,INDSO,432.0
2038,INDEA,INDWE,81.35999999999999
2038,INDNE,INDNO,5895.36
2039,INDEA,INDNO,496.08
2039,INDEA,INDSO,439.92
2039,INDEA,INDWE,100.08
2039,INDNE,INDNO,6466.32
2040,INDEA,INDNO,521.28
2040,INDEA,INDSO,447.84
2040,INDEA,INDWE,118.8
2040,INDNE,INDNO,7035.84
2041,INDEA,INDNO,550.8000000000001
2041,INDEA,INDSO,456.48
2041,INDEA,INDWE,139.68
2041,INDNE,INDNO,7604.64
2042,INDEA,INDNO,579.6
2042,INDEA,INDSO,465.12
2042,INDEA,INDWE,159.84
2042,INDNE,INDNO,8172.0
2043,INDEA,INDNO,608.4
2043,INDEA,INDSO,473.76
2043,INDEA,INDWE,180.0
2043,INDNE,INDNO,8740.8
2044,INDEA,INDNO,538.5600000000001
2044,INDEA,INDSO,478.8
2044,INDEA,INDWE,104.39999999999999
2044,INDNE,INDNO,9209.52
2045,INDEA,INDNO,368.64
2045,INDEA,INDSO,411.12
2045,INDNE,INDNO,9519.84
2046,INDEA,INDNO,54.72
2046,INDEA,INDSO,96.48
2046,INDNE,INDNO,8735.76
2046,INDNO,INDWE,295.92
2047,INDEA,INDSO,46.800000000000004
2047,INDNE,INDNO,8750.16
2047,INDNO,INDWE,22.32
2048,INDEA,INDSO,227.51999999999998
2048,INDNE,INDNO,9208.08
2049,INDEA,INDSO,1127.52
2049,INDNE,INDNO,9661.68
2050,INDEA,INDSO,1144.08
2050,INDNE,INDNO,10116.0
