YEAR,NODE_1,NODE_2,VALUE
2022,INDNE,INDNO,77.03999999999999
2024,INDEA,INDNE,1016.64
2025,INDEA,INDNE,1016.64
2025,INDEA,INDNO,565.92
2025,INDSO,INDWE,2351.52
2026,INDEA,INDNE,1016.64
2026,INDEA,INDNO,691.92
2026,INDSO,INDWE,1965.6000000000001
2027,INDEA,INDNE,1016.64
2027,INDEA,INDNO,834.48
2027,INDSO,INDWE,1458.72
2028,INDEA,INDNE,1016.64
2028,INDEA,INDNO,979.92
2028,INDSO,INDWE,1326.96
2029,INDEA,INDNE,1016.64
2029,INDEA,INDNO,1125.3600000000001
2029,INDSO,INDWE,1271.52
2030,INDEA,INDNE,1592.64
2030,INDEA,INDNO,972.72
2030,INDSO,INDWE,1778.4
2031,INDEA,INDNE,2168.64
2031,INDEA,INDNO,548.64
2031,INDSO,INDWE,342.0
2032,INDEA,INDNE,2744.64
2032,INDEA,INDNO,300.96
2032,INDSO,INDWE,364.32
2033,INDEA,INDNE,3320.64
2033,INDSO,INDWE,385.2
2034,INDEA,INDNE,3896.64
2034,INDSO,INDWE,136.07999999999998
2035,INDEA,INDNE,4472.639999999999
2036,INDEA,INDNE,5048.64
2037,INDEA,INDNE,5624.64
2038,INDEA,INDNE,6200.64
2039,INDEA,INDNE,6776.64
2040,INDEA,INDNE,7352.64
2041,INDEA,INDNE,7927.2
2042,INDEA,INDNE,8504.64
2043,INDEA,INDNE,9080.64
2044,INDEA,INDNE,9656.64
2045,INDEA,INDNE,10232.64
2045,INDSO,INDWE,769.6800000000001
2046,INDEA,INDNE,10808.64
2046,INDNO,INDWE,286.56
2046,INDSO,INDWE,2066.4
2047,INDEA,INDNE,11384.64
2047,INDNO,INDWE,704.16
2047,INDSO,INDWE,3329.2799999999997
2048,INDEA,INDNE,11960.64
2048,INDEA,INDSO,56.88
2048,INDNO,INDWE,760.32
2048,INDSO,INDWE,4337.28
2049,INDEA,INDNE,12536.64
2049,INDEA,INDSO,64.8
2049,INDNO,INDWE,792.72
2049,INDSO,INDWE,4625.28
2050,INDEA,INDNE,13112.64
2050,INDEA,INDSO,70.56
2050,INDNO,INDWE,825.1200000000001
2050,INDSO,INDWE,4913.28
