TECH,COUNTRY,YEAR,VALUE
BIO,IND,2021,2.7531000000000003
BIO,IND,2022,2.7531000000000003
BIO,IND,2023,2.7531000000000003
BIO,IND,2024,2.7531000000000003
BIO,IND,2025,2.7531000000000003
BIO,IND,2026,2.7531000000000003
BIO,IND,2027,2.7531000000000003
BIO,IND,2028,2.7531000000000003
BIO,IND,2029,2.7531000000000003
BIO,IND,2030,2.7531000000000003
BIO,IND,2031,2.7531000000000003
BIO,IND,2032,0.324
BIO,IND,2033,0.324
BIO,IND,2034,0.324
BIO,IND,2035,0.324
BIO,IND,2036,0.324
BIO,IND,2037,0.324
BIO,IND,2038,0.324
BIO,IND,2039,0.259
BIO,IND,2040,0.219
BIO,IND,2041,0.219
BIO,IND,2042,0.219
BIO,IND,2043,0.219
BIO,IND,2044,0.219
BIO,IND,2045,0.219
BIO,IND,2046,0.219
BIO,IND,2047,0.219
BIO,IND,2048,0.219
BIO,IND,2049,0.219
BIO,IND,2050,0.219
CCG,IND,2021,26.8248
CCG,IND,2022,26.8248
CCG,IND,2023,26.8248
CCG,IND,2024,26.1688
CCG,IND,2025,24.487099999999998
CCG,IND,2026,23.8301
CCG,IND,2027,23.5601
CCG,IND,2028,22.423099999999998
CCG,IND,2029,20.6291
CCG,IND,2030,20.4641
CCG,IND,2031,43.8687564
CCG,IND,2032,53.3568455
CCG,IND,2033,65.10979999999999
CCG,IND,2034,73.570474
CCG,IND,2035,85.22812429999999
CCG,IND,2036,100.6326397
CCG,IND,2037,113.831379
CCG,IND,2038,129.002531
CCG,IND,2039,144.65648199999998
CCG,IND,2040,157.803618
CCG,IND,2041,180.03369600000002
CCG,IND,2042,198.679054
CCG,IND,2043,218.943036
CCG,IND,2044,242.043959
CCG,IND,2045,265.476988
CCG,IND,2046,293.418639
CCG,IND,2047,328.0053762
CCG,IND,2048,366.2620343
CCG,IND,2049,404.911378
CCG,IND,2050,441.932068
COA,IND,2021,243.6882
COA,IND,2022,245.7182
COA,IND,2023,259.7182
COA,IND,2024,267.5102
COA,IND,2025,267.97220000000004
COA,IND,2026,267.7897
COA,IND,2027,268.6597
COA,IND,2028,267.40970000000004
COA,IND,2029,266.0697
COA,IND,2030,263.2022
COA,IND,2031,243.9542
COA,IND,2032,242.51670000000001
COA,IND,2033,231.8177
COA,IND,2034,230.187
COA,IND,2035,227.442
COA,IND,2036,225.737
COA,IND,2037,224.682
COA,IND,2038,222.642
COA,IND,2039,220.5075
COA,IND,2040,220.025
COA,IND,2041,211.99
COA,IND,2042,209.702
COA,IND,2043,204.434
COA,IND,2044,199.118
COA,IND,2045,193.575
COA,IND,2046,181.551
COA,IND,2047,166.416
COA,IND,2048,148.85
COA,IND,2049,130.74200000000002
COA,IND,2050,110.09299999999999
CSP,IND,2021,0.4555
CSP,IND,2022,0.4555
CSP,IND,2023,0.4555
CSP,IND,2024,0.4555
CSP,IND,2025,0.4555
CSP,IND,2026,0.4555
CSP,IND,2027,0.4555
CSP,IND,2028,0.4555
CSP,IND,2029,0.4555
CSP,IND,2030,0.4555
CSP,IND,2031,0.4555
CSP,IND,2032,0.4555
CSP,IND,2033,0.4555
CSP,IND,2034,0.4555
CSP,IND,2035,0.4555
CSP,IND,2036,0.4555
CSP,IND,2037,0.4555
CSP,IND,2038,0.4555
CSP,IND,2039,0.4555
CSP,IND,2040,0.178
CSP,IND,2041,0.178
CSP,IND,2042,0.175
CSP,IND,2043,0.175
CSP,IND,2044,0.125
HYD,IND,2021,46.417
HYD,IND,2022,46.717
HYD,IND,2023,51.711
HYD,IND,2024,52.441
HYD,IND,2025,54.385
HYD,IND,2026,54.595
HYD,IND,2027,54.595
HYD,IND,2028,54.295
HYD,IND,2029,54.295
HYD,IND,2030,54.295
HYD,IND,2031,54.295
HYD,IND,2032,54.295
HYD,IND,2033,54.185
HYD,IND,2034,54.185
HYD,IND,2035,54.185
HYD,IND,2036,54.185
HYD,IND,2037,54.185
HYD,IND,2038,54.185
HYD,IND,2039,54.185
HYD,IND,2040,54.185
HYD,IND,2041,54.185
HYD,IND,2042,54.185
HYD,IND,2043,54.185
HYD,IND,2044,54.185
HYD,IND,2045,54.185
HYD,IND,2046,54.185
HYD,IND,2047,54.185
HYD,IND,2048,54.185
HYD,IND,2049,55.914941
HYD,IND,2050,77.2252
OCG,IND,2021,2.0148
OCG,IND,2022,2.0148
OCG,IND,2023,2.0148
OCG,IND,2024,2.0148
OCG,IND,2025,2.0148
OCG,IND,2026,2.0148
OCG,IND,2027,1.9473
OCG,IND,2028,1.8833
OCG,IND,2029,1.8833
OCG,IND,2030,1.8833
OCG,IND,2031,8.5101404
OCG,IND,2032,26.069429
OCG,IND,2033,48.039393999999994
OCG,IND,2034,64.589416
OCG,IND,2035,78.88101499999999
OCG,IND,2036,91.442482
OCG,IND,2037,105.55962
OCG,IND,2038,118.68251
OCG,IND,2039,131.51086999999998
OCG,IND,2040,145.25333
OCG,IND,2041,160.53937
OCG,IND,2042,173.87371
OCG,IND,2043,188.43415000000002
OCG,IND,2044,200.03503
OCG,IND,2045,208.95645000000002
OCG,IND,2046,225.62613
OCG,IND,2047,244.32962999999998
OCG,IND,2048,264.57683
OCG,IND,2049,284.01426
OCG,IND,2050,294.19956
OIL,IND,2021,1.883
OIL,IND,2022,1.883
OIL,IND,2023,1.7079999999999997
OIL,IND,2024,1.601
OIL,IND,2025,1.601
OIL,IND,2026,1.601
OIL,IND,2027,1.24
OIL,IND,2028,1.1800000000000002
OIL,IND,2029,0.808
OIL,IND,2030,0.712
OIL,IND,2031,0.712
OIL,IND,2032,0.5
OIL,IND,2033,0.5
SPV,IND,2021,35.179
SPV,IND,2022,39.542
SPV,IND,2023,39.644000000000005
SPV,IND,2024,432.12699999999995
SPV,IND,2025,818.12122
SPV,IND,2026,906.2897
SPV,IND,2027,937.9671000000001
SPV,IND,2028,968.85422
SPV,IND,2029,1003.84582
SPV,IND,2030,1022.76322
SPV,IND,2031,1088.93181
SPV,IND,2032,1144.41447
SPV,IND,2033,1203.81223
SPV,IND,2034,1262.53624
SPV,IND,2035,1320.68732
SPV,IND,2036,1392.03336
SPV,IND,2037,1463.36087
SPV,IND,2038,1534.71266
SPV,IND,2039,1606.09867
SPV,IND,2040,1678.35376
SPV,IND,2041,1762.5705899999998
SPV,IND,2042,1847.69149
SPV,IND,2043,1932.2715899999998
SPV,IND,2044,2025.2287999999999
SPV,IND,2045,2116.5507
SPV,IND,2046,2248.82602
SPV,IND,2047,2359.07495
SPV,IND,2048,2457.3241
SPV,IND,2049,2556.3089099999997
SPV,IND,2050,2625.57991
URN,IND,2021,7.38
URN,IND,2022,8.58
URN,IND,2023,11.280000000000001
URN,IND,2024,11.98
URN,IND,2025,11.98
URN,IND,2026,14.38
URN,IND,2027,15.38
URN,IND,2028,16.78
URN,IND,2029,16.78
URN,IND,2030,16.46
URN,IND,2031,16.46
URN,IND,2032,16.46
URN,IND,2033,16.46
URN,IND,2034,16.46
URN,IND,2035,16.46
URN,IND,2036,16.46
URN,IND,2037,16.46
URN,IND,2038,16.46
URN,IND,2039,16.46
URN,IND,2040,16.46
URN,IND,2041,16.46
URN,IND,2042,16.26
URN,IND,2043,16.26
URN,IND,2044,16.26
URN,IND,2045,16.04
URN,IND,2046,16.04
URN,IND,2047,15.82
URN,IND,2048,15.82
URN,IND,2049,15.82
URN,IND,2050,15.82
WOF,IND,2024,11.377282
WOF,IND,2025,12.717902
WOF,IND,2026,12.952554
WOF,IND,2027,13.197424
WOF,IND,2028,13.443351
WOF,IND,2029,13.692449
WOF,IND,2030,18.388458
WOF,IND,2031,22.382045
WOF,IND,2032,27.840971
WOF,IND,2033,32.78352
WOF,IND,2034,37.690413
WOF,IND,2035,42.686261
WOF,IND,2036,47.705538
WOF,IND,2037,52.719941
WOF,IND,2038,57.730609
WOF,IND,2039,62.750245
WOF,IND,2040,67.749111
WOF,IND,2041,72.827329
WOF,IND,2042,77.888776
WOF,IND,2043,82.978995
WOF,IND,2044,87.696471
WOF,IND,2045,91.782033
WOF,IND,2046,91.782033
WOF,IND,2047,94.81995
WOF,IND,2048,99.550797
WOF,IND,2049,104.27961
WOF,IND,2050,109.0074
WON,IND,2021,30.2128
WON,IND,2022,30.8368
WON,IND,2023,32.0048
WON,IND,2024,32.0048
WON,IND,2025,32.0048
WON,IND,2026,31.9948
WON,IND,2027,31.8748
WON,IND,2028,31.8748
WON,IND,2029,31.8748
WON,IND,2030,31.8748
WON,IND,2031,31.8598
