TECH,NODE,YEAR,VALUE
BIO,INDNO,2021,0.213
BIO,INDNO,2022,0.213
BIO,INDNO,2023,0.213
BIO,INDNO,2024,0.213
BIO,INDNO,2025,0.213
BIO,INDNO,2026,0.213
BIO,INDNO,2027,0.213
BIO,INDNO,2028,0.213
BIO,INDNO,2029,0.213
BIO,INDNO,2030,0.213
BIO,INDNO,2031,0.213
BIO,INDNO,2032,0.213
BIO,INDNO,2033,0.213
BIO,INDNO,2034,0.213
BIO,INDNO,2035,0.213
BIO,INDNO,2036,0.213
BIO,INDNO,2037,0.213
BIO,INDNO,2038,0.213
BIO,INDNO,2039,0.148
BIO,INDNO,2040,0.108
BIO,INDNO,2041,0.108
BIO,INDNO,2042,0.108
BIO,INDNO,2043,0.108
BIO,INDNO,2044,0.108
BIO,INDNO,2045,0.108
BIO,INDNO,2046,0.108
BIO,INDNO,2047,0.108
BIO,INDNO,2048,0.108
BIO,INDNO,2049,0.108
BIO,INDNO,2050,0.108
BIO,INDSO,2021,2.4291
BIO,INDSO,2022,2.4291
BIO,INDSO,2023,2.4291
BIO,INDSO,2024,2.4291
BIO,INDSO,2025,2.4291
BIO,INDSO,2026,2.4291
BIO,INDSO,2027,2.4291
BIO,INDSO,2028,2.4291
BIO,INDSO,2029,2.4291
BIO,INDSO,2030,2.4291
BIO,INDSO,2031,2.4291
BIO,INDWE,2021,0.111
BIO,INDWE,2022,0.111
BIO,INDWE,2023,0.111
BIO,INDWE,2024,0.111
BIO,INDWE,2025,0.111
BIO,INDWE,2026,0.111
BIO,INDWE,2027,0.111
BIO,INDWE,2028,0.111
BIO,INDWE,2029,0.111
BIO,INDWE,2030,0.111
BIO,INDWE,2031,0.111
BIO,INDWE,2032,0.111
BIO,INDWE,2033,0.111
BIO,INDWE,2034,0.111
BIO,INDWE,2035,0.111
BIO,INDWE,2036,0.111
BIO,INDWE,2037,0.111
BIO,INDWE,2038,0.111
BIO,INDWE,2039,0.111
BIO,INDWE,2040,0.111
BIO,INDWE,2041,0.111
BIO,INDWE,2042,0.111
BIO,INDWE,2043,0.111
BIO,INDWE,2044,0.111
BIO,INDWE,2045,0.111
BIO,INDWE,2046,0.111
BIO,INDWE,2047,0.111
BIO,INDWE,2048,0.111
BIO,INDWE,2049,0.111
BIO,INDWE,2050,0.111
CCG,INDEA,2021,0.17
CCG,INDEA,2022,0.17
