YEAR,VALUE
2021,14.225988066729
2022,12.182746657991377
2023,10.97099409607687
2024,86.73723509221232
2025,57.723271729758444
2026,17.922853564899103
2027,10.48289934183135
2028,9.229412542204535
2029,8.45250128522704
2030,8.166197724696694
2031,12.053150386289166
2032,9.346214693828971
2033,8.340902416990202
2034,6.768497175707019
2035,5.9068152586501155
2036,5.430789600614655
2037,4.674674523167341
2038,4.015203709021541
2039,3.429119082882148
2040,2.9511171824087654
2041,2.7781814867763592
2042,2.31786660353505
2043,2.031384242970844
2044,1.770006249477274
2045,1.5081376595782099
2046,1.3807692398044766
2047,1.1625598940594097
2048,0.982944690727252
2049,0.8198631311950103
2050,0.696056836190806
