REGION,NODE,YEAR,VALUE
GLOBAL,INDEA,2021,16.96602847670062
GLOBAL,INDEA,2022,14.37156288329027
GLOBAL,INDEA,2023,13.001900080201764
GLOBAL,INDEA,2024,77.7846056270294
GLOBAL,INDEA,2025,58.05120942646414
GLOBAL,INDEA,2026,9.294746491500595
GLOBAL,INDEA,2027,8.411979443022796
GLOBAL,INDEA,2028,7.400696170564399
GLOBAL,INDEA,2029,6.602899371420164
GLOBAL,INDEA,2030,6.324611070204526
GLOBAL,INDEA,2031,11.045918725915111
GLOBAL,INDEA,2032,7.4608670220896105
GLOBAL,INDEA,2033,13.99952256231675
GLOBAL,INDEA,2034,8.487040386040132
GLOBAL,INDEA,2035,7.009166312519332
GLOBAL,INDEA,2036,3.6181265787808887
GLOBAL,INDEA,2037,3.127089862315208
GLOBAL,INDEA,2038,2.6996979290722054
GLOBAL,INDEA,2039,2.2956234306861463
GLOBAL,INDEA,2040,1.994889185495612
GLOBAL,INDEA,2041,1.8111752290249399
GLOBAL,INDEA,2042,1.5815691176068676
GLOBAL,INDEA,2043,2.1343810376125214
GLOBAL,INDEA,2044,1.6954851455183362
GLOBAL,INDEA,2045,1.3770831933916872
GLOBAL,INDEA,2046,1.4108946973879608
GLOBAL,INDEA,2047,1.017620155552738
GLOBAL,INDEA,2048,1.1303404854969568
GLOBAL,INDEA,2049,1.062188004555751
GLOBAL,INDEA,2050,0.7175465309815376
GLOBAL,INDNE,2021,6.234811464582072
GLOBAL,INDNE,2022,5.392448412485418
GLOBAL,INDNE,2023,6.397193826527998
GLOBAL,INDNE,2024,365.02984182723566
GLOBAL,INDNE,2025,42.15880741907906
GLOBAL,INDNE,2026,15.475946154795093
GLOBAL,INDNE,2027,13.846106354156305
GLOBAL,INDNE,2028,12.2549214287615
GLOBAL,INDNE,2029,10.825048092843458
GLOBAL,INDNE,2030,66.92127122044417
GLOBAL,INDNE,2031,64.69155646991116
GLOBAL,INDNE,2032,54.27365775593022
GLOBAL,INDNE,2033,42.88694437478326
GLOBAL,INDNE,2034,36.327019220820134
GLOBAL,INDNE,2035,31.310837871168847
GLOBAL,INDNE,2036,38.11346671207789
GLOBAL,INDNE,2037,34.50689390917498
GLOBAL,INDNE,2038,28.58753385298038
GLOBAL,INDNE,2039,17.5276874247263
GLOBAL,INDNE,2040,21.040081522097857
GLOBAL,INDNE,2041,18.932037582938097
GLOBAL,INDNE,2042,15.855330027752958
GLOBAL,INDNE,2043,10.488910213362404
GLOBAL,INDNE,2044,8.799724299628995
GLOBAL,INDNE,2045,7.2534344536837665
GLOBAL,INDNE,2046,4.627016162558974
GLOBAL,INDNE,2047,6.520139605899622
GLOBAL,INDNE,2048,4.644857408989224
GLOBAL,INDNE,2049,3.91972183416428
GLOBAL,INDNE,2050,3.2870088062781315
GLOBAL,INDNO,2021,12.940613495428599
GLOBAL,INDNO,2022,11.0716666666252
GLOBAL,INDNO,2023,9.829974610169643
GLOBAL,INDNO,2024,93.2207484544292
GLOBAL,INDNO,2025,67.1281995095028
GLOBAL,INDNO,2026,7.683487987542813
GLOBAL,INDNO,2027,6.755398717142692
GLOBAL,INDNO,2028,6.102242774412451
GLOBAL,INDNO,2029,5.357629558031232
GLOBAL,INDNO,2030,5.10886988472229
GLOBAL,INDNO,2031,6.891610306890986
GLOBAL,INDNO,2032,7.695163600409256
GLOBAL,INDNO,2033,4.8460533395942305
GLOBAL,INDNO,2034,4.880997473611411
GLOBAL,INDNO,2035,4.05193823994009
GLOBAL,INDNO,2036,3.848729920551436
GLOBAL,INDNO,2037,3.3354163390733076
GLOBAL,INDNO,2038,2.8369377706656196
GLOBAL,INDNO,2039,3.184026859409439
GLOBAL,INDNO,2040,2.1761626624253543
GLOBAL,INDNO,2041,2.058518876118094
GLOBAL,INDNO,2042,1.725498680740871
GLOBAL,INDNO,2043,1.4670768437868467
GLOBAL,INDNO,2044,1.3630405263705772
GLOBAL,INDNO,2045,1.2402441524272407
GLOBAL,INDNO,2046,1.3893258485965998
GLOBAL,INDNO,2047,0.9033652396010559
GLOBAL,INDNO,2048,0.746650847258423
GLOBAL,INDNO,2049,0.6114432986299627
GLOBAL,INDNO,2050,0.5126204450436441
GLOBAL,INDSO,2021,11.186420791248901
GLOBAL,INDSO,2022,9.629634982470046
GLOBAL,INDSO,2023,9.12905633650614
GLOBAL,INDSO,2024,52.80675792841464
GLOBAL,INDSO,2025,39.19285905392717
GLOBAL,INDSO,2026,34.785550624272474
GLOBAL,INDSO,2027,15.928906352965043
GLOBAL,INDSO,2028,13.865963970017553
GLOBAL,INDSO,2029,11.47245235133874
GLOBAL,INDSO,2030,7.141979319390234
GLOBAL,INDSO,2031,14.271788247834063
GLOBAL,INDSO,2032,9.275250215937131
GLOBAL,INDSO,2033,7.82856448330748
GLOBAL,INDSO,2034,6.321761881039645
GLOBAL,INDSO,2035,5.461210898663963
GLOBAL,INDSO,2036,4.982108135283575
GLOBAL,INDSO,2037,4.211890597540282
GLOBAL,INDSO,2038,3.748625243058423
GLOBAL,INDSO,2039,3.1006407200573163
GLOBAL,INDSO,2040,2.6410004643637164
GLOBAL,INDSO,2041,2.501046836819593
GLOBAL,INDSO,2042,2.086036238184592
GLOBAL,INDSO,2043,1.8176879141658617
GLOBAL,INDSO,2044,1.5874895250548646
GLOBAL,INDSO,2045,1.1654769339586912
GLOBAL,INDSO,2046,1.0265577928253968
GLOBAL,INDSO,2047,0.8217972164575902
GLOBAL,INDSO,2048,0.7202508055702769
GLOBAL,INDSO,2049,0.6290214238612574
GLOBAL,INDSO,2050,0.6645448259250237
GLOBAL,INDWE,2021,18.388619622466717
GLOBAL,INDWE,2022,15.87496382017223
GLOBAL,INDWE,2023,13.799232625094648
GLOBAL,INDWE,2024,96.47928674678116
GLOBAL,INDWE,2025,71.444159634009
GLOBAL,INDWE,2026,12.77724493533937
GLOBAL,INDWE,2027,8.468565051618352
GLOBAL,INDWE,2028,7.4726280582205105
GLOBAL,INDWE,2029,8.672681829092825
GLOBAL,INDWE,2030,7.411402504810005
GLOBAL,INDWE,2031,9.757674328901931
GLOBAL,INDWE,2032,7.408673380307125
GLOBAL,INDWE,2033,6.194716848702845
GLOBAL,INDWE,2034,5.341739707401446
GLOBAL,INDWE,2035,5.172762804762967
GLOBAL,INDWE,2036,5.093396427159324
GLOBAL,INDWE,2037,4.273716511426036
GLOBAL,INDWE,2038,3.6440581674473402
GLOBAL,INDWE,2039,3.1738150065279536
