REGION,COUNTRY,YEAR,VALUE
GLOBAL,IND,2021,18251.1985875101
GLOBAL,IND,2022,17069.455484835147
GLOBAL,IND,2023,16668.085356498617
GLOBAL,IND,2024,142490.89343719196
GLOBAL,IND,2025,117572.24937053578
GLOBAL,IND,2026,37729.1147643713
GLOBAL,IND,2027,22782.56430681459
GLOBAL,IND,2028,20687.951058631916
GLOBAL,IND,2029,19523.136125146317
GLOBAL,IND,2030,19419.005694048592
GLOBAL,IND,2031,30453.132865662526
GLOBAL,IND,2032,25002.765626183875
GLOBAL,IND,2033,23552.804811815302
GLOBAL,IND,2034,20118.536220104532
GLOBAL,IND,2035,18435.064886629356
GLOBAL,IND,2036,17892.851303548043
GLOBAL,IND,2037,16213.737422682918
GLOBAL,IND,2038,14623.903485307348
GLOBAL,IND,2039,13085.015061751852
GLOBAL,IND,2040,11773.709876622126
GLOBAL,IND,2041,11635.662494820193
GLOBAL,IND,2042,10168.214842605561
GLOBAL,IND,2043,9314.971363638757
GLOBAL,IND,2044,8468.04996289408
GLOBAL,IND,2045,7514.815565448923
GLOBAL,IND,2046,7186.073547416286
GLOBAL,IND,2047,6307.9665179862295
GLOBAL,IND,2048,5551.143424427406
GLOBAL,IND,2049,4811.775878985074
GLOBAL,IND,2050,4239.359422507281
