YEAR,VALUE
2021,18251.19859140415
2022,17069.45547966268
2023,16668.085354998144
2024,142490.89378140058
2025,117572.24944026748
2026,37729.114763097285
2027,22782.564052538786
2028,20687.951257487905
2029,19523.13596417376
2030,19419.005641349067
2031,30453.13285882288
2032,25002.76560513956
2033,23552.804846295385
2034,20118.536234437506
2035,18435.064919963363
2036,17892.85131050104
2037,16213.73746638961
2038,14623.90347661415
2039,13085.015006546246
2040,11773.709891046634
2041,11635.662508159394
2042,10168.214814515506
2043,9314.971356285849
2044,8468.04998453338
2045,7514.815567950293
2046,7186.073513903362
2047,6307.966506907297
2048,5551.143498888407
2049,4811.775851572433
2050,4239.359412215328
