REGION,NODE,YEAR,VALUE
GLOBAL,INDEA,2021,2772.053943610544
GLOBAL,INDEA,2022,2591.4838124761964
GLOBAL,INDEA,2023,2564.615041094593
GLOBAL,INDEA,2024,16532.281745946842
GLOBAL,INDEA,2025,15239.472882613647
GLOBAL,INDEA,2026,2509.0238719618706
GLOBAL,INDEA,2027,2341.932933358497
GLOBAL,INDEA,2028,2123.1931236610408
GLOBAL,INDEA,2029,1950.9652840803649
GLOBAL,INDEA,2030,1922.6042890924134
GLOBAL,INDEA,2031,4565.096088526032
GLOBAL,INDEA,2032,4898.587974991191
GLOBAL,INDEA,2033,5209.972730381294
GLOBAL,INDEA,2034,3358.7601349228325
GLOBAL,INDEA,2035,2917.4723466830023
GLOBAL,INDEA,2036,2662.5495628020103
GLOBAL,INDEA,2037,2612.685866554613
GLOBAL,INDEA,2038,2284.7135252011803
GLOBAL,INDEA,2039,2051.733132236551
GLOBAL,INDEA,2040,1921.2699275729096
GLOBAL,INDEA,2041,1859.2652494006325
GLOBAL,INDEA,2042,1630.8034246841737
GLOBAL,INDEA,2043,1522.8887353114992
GLOBAL,INDEA,2044,1282.6366875835822
GLOBAL,INDEA,2045,1099.8017999586693
GLOBAL,INDEA,2046,1143.0180728694368
GLOBAL,INDEA,2047,1138.1387091637578
GLOBAL,INDEA,2048,1011.7864950092321
GLOBAL,INDEA,2049,974.1599624234108
GLOBAL,INDEA,2050,721.0362263129074
GLOBAL,INDNE,2021,215.5166500325615
GLOBAL,INDNE,2022,201.94719293598507
GLOBAL,INDNE,2023,258.0023808817137
GLOBAL,INDNE,2024,15928.483064994924
GLOBAL,INDNE,2025,2285.24161357706
GLOBAL,INDNE,2026,867.5127554120645
GLOBAL,INDNE,2027,802.881855400994
GLOBAL,INDNE,2028,734.3761611985724
GLOBAL,INDNE,2029,669.9501916839977
GLOBAL,INDNE,2030,4274.410306775314
GLOBAL,INDNE,2031,3402.213052390709
GLOBAL,INDNE,2032,3873.0634944221156
GLOBAL,INDNE,2033,3231.1534273214343
GLOBAL,INDNE,2034,2882.2862603111744
GLOBAL,INDNE,2035,2611.150187734419
GLOBAL,INDNE,2036,2339.2032698565263
GLOBAL,INDNE,2037,2083.355370165493
GLOBAL,INDNE,2038,1851.981061577339
GLOBAL,INDNE,2039,1644.8428789267218
GLOBAL,INDNE,2040,1452.5976024095835
GLOBAL,INDNE,2041,1328.2167559066868
