FROM,TO,YEAR,VALUE
INDEA,INDNE,2021,2.86
INDEA,INDNE,2022,2.86
INDEA,INDNE,2023,3.53
INDEA,INDNE,2024,3.53
INDEA,INDNE,2025,3.53
INDEA,INDNE,2026,3.53
INDEA,INDNE,2027,3.53
INDEA,INDNE,2028,3.53
INDEA,INDNE,2029,3.53
INDEA,INDNE,2030,5.53
INDEA,INDNE,2031,7.53
INDEA,INDNE,2032,9.53
INDEA,INDNE,2033,11.53
INDEA,INDNE,2034,13.53
INDEA,INDNE,2035,15.53
INDEA,INDNE,2036,17.53
INDEA,INDNE,2037,19.53
INDEA,INDNE,2038,21.53
INDEA,INDNE,2039,23.53
INDEA,INDNE,2040,25.53
INDEA,INDNE,2041,27.53
INDEA,INDNE,2042,29.53
INDEA,INDNE,2043,31.53
INDEA,INDNE,2044,33.53
INDEA,INDNE,2045,35.53
INDEA,INDNE,2046,37.53
INDEA,INDNE,2047,39.53
INDEA,INDNE,2048,41.53
INDEA,INDNE,2049,43.53
INDEA,INDNE,2050,45.53
INDEA,INDNO,2021,22.53
INDEA,INDNO,2022,22.53
INDEA,INDNO,2023,22.53
INDEA,INDNO,2024,22.53
INDEA,INDNO,2025,22.53
INDEA,INDNO,2026,22.53
INDEA,INDNO,2027,22.53
INDEA,INDNO,2028,22.53
INDEA,INDNO,2029,22.53
INDEA,INDNO,2030,22.53
INDEA,INDNO,2031,22.53
INDEA,INDNO,2032,22.53
INDEA,INDNO,2033,22.53
INDEA,INDNO,2034,22.53
INDEA,INDNO,2035,22.53
INDEA,INDNO,2036,22.53
INDEA,INDNO,2037,22.53
INDEA,INDNO,2038,22.53
INDEA,INDNO,2039,22.53
INDEA,INDNO,2040,22.53
INDEA,INDNO,2041,22.53
INDEA,INDNO,2042,22.53
INDEA,INDNO,2043,22.53
INDEA,INDNO,2044,22.53
INDEA,INDNO,2045,22.53
INDEA,INDNO,2046,22.53
INDEA,INDNO,2047,22.53
INDEA,INDNO,2048,22.53
INDEA,INDNO,2049,22.53
INDEA,INDNO,2050,22.53
INDEA,INDSO,2021,7.83
INDEA,INDSO,2022,7.83
INDEA,INDSO,2023,7.83
INDEA,INDSO,2024,7.83
INDEA,INDSO,2025,7.83
INDEA,INDSO,2026,7.83
INDEA,INDSO,2027,7.83
INDEA,INDSO,2028,7.83
INDEA,INDSO,2029,7.83
INDEA,INDSO,2030,7.83
INDEA,INDSO,2031,7.83
INDEA,INDSO,2032,7.83
INDEA,INDSO,2033,7.83
INDEA,INDSO,2034,7.83
INDEA,INDSO,2035,7.83
INDEA,INDSO,2036,7.83
INDEA,INDSO,2037,7.83
INDEA,INDSO,2038,7.83
INDEA,INDSO,2039,7.83
INDEA,INDSO,2040,7.83
INDEA,INDSO,2041,7.83
INDEA,INDSO,2042,7.83
INDEA,INDSO,2043,7.83
INDEA,INDSO,2044,7.83
INDEA,INDSO,2045,7.83
INDEA,INDSO,2046,7.83
INDEA,INDSO,2047,7.83
INDEA,INDSO,2048,7.83
INDEA,INDSO,2049,7.83
INDEA,INDSO,2050,7.9442653
INDEA,INDWE,2021,21.19
INDEA,INDWE,2022,21.19
INDEA,INDWE,2023,21.19
INDEA,INDWE,2024,21.19
INDEA,INDWE,2025,22.79
INDEA,INDWE,2026,22.79
INDEA,INDWE,2027,22.79
INDEA,INDWE,2028,22.79
INDEA,INDWE,2029,22.79
INDEA,INDWE,2030,22.79
INDEA,INDWE,2031,22.79
INDEA,INDWE,2032,22.79
INDEA,INDWE,2033,22.79
INDEA,INDWE,2034,22.79
INDEA,INDWE,2035,22.79
INDEA,INDWE,2036,22.79
INDEA,INDWE,2037,22.79
INDEA,INDWE,2038,22.79
INDEA,INDWE,2039,22.79
INDEA,INDWE,2040,22.79
INDEA,INDWE,2041,22.79
INDEA,INDWE,2042,22.79
INDEA,INDWE,2043,22.79
INDEA,INDWE,2044,22.79
INDEA,INDWE,2045,22.79
INDEA,INDWE,2046,22.79
INDEA,INDWE,2047,22.79
INDEA,INDWE,2048,22.79
INDEA,INDWE,2049,22.79
INDEA,INDWE,2050,22.79
INDNE,INDNO,2021,3.0
INDNE,INDNO,2022,3.0
INDNE,INDNO,2023,3.0
INDNE,INDNO,2024,3.0
INDNE,INDNO,2025,3.0
INDNE,INDNO,2026,3.0
INDNE,INDNO,2027,3.0
INDNE,INDNO,2028,3.0
INDNE,INDNO,2029,3.0
INDNE,INDNO,2030,5.0
INDNE,INDNO,2031,7.0
INDNE,INDNO,2032,9.0
INDNE,INDNO,2033,11.0
INDNE,INDNO,2034,13.0
INDNE,INDNO,2035,15.0
INDNE,INDNO,2036,17.0
INDNE,INDNO,2037,19.0
INDNE,INDNO,2038,21.0
INDNE,INDNO,2039,23.0
INDNE,INDNO,2040,25.0
INDNE,INDNO,2041,27.0
INDNE,INDNO,2042,29.0
INDNE,INDNO,2043,31.0
INDNE,INDNO,2044,33.0
INDNE,INDNO,2045,35.0
INDNE,INDNO,2046,37.0
INDNE,INDNO,2047,39.0
INDNE,INDNO,2048,41.0
INDNE,INDNO,2049,43.0
INDNE,INDNO,2050,45.0
INDNO,INDWE,2021,36.72
INDNO,INDWE,2022,36.72
INDNO,INDWE,2023,36.72
INDNO,INDWE,2024,38.32
INDNO,INDWE,2025,38.32
INDNO,INDWE,2026,46.72
INDNO,INDWE,2027,46.72
INDNO,INDWE,2028,50.92
INDNO,INDWE,2029,50.92
INDNO,INDWE,2030,50.92
INDNO,INDWE,2031,50.92
INDNO,INDWE,2032,50.92
INDNO,INDWE,2033,50.92
INDNO,INDWE,2034,50.92
INDNO,INDWE,2035,50.92
INDNO,INDWE,2036,50.92
INDNO,INDWE,2037,50.92
INDNO,INDWE,2038,50.92
INDNO,INDWE,2039,50.92
INDNO,INDWE,2040,50.92
INDNO,INDWE,2041,50.92
INDNO,INDWE,2042,50.92
INDNO,INDWE,2043,50.92
INDNO,INDWE,2044,50.92
INDNO,INDWE,2045,50.92
INDNO,INDWE,2046,50.92
INDNO,INDWE,2047,50.92
INDNO,INDWE,2048,50.92
INDNO,INDWE,2049,50.92
INDNO,INDWE,2050,50.92
INDSO,INDWE,2021,18.12
INDSO,INDWE,2022,18.12
INDSO,INDWE,2023,18.12
INDSO,INDWE,2024,22.32
INDSO,INDWE,2025,26.52
INDSO,INDWE,2026,28.12
INDSO,INDWE,2027,28.12
INDSO,INDWE,2028,28.12
INDSO,INDWE,2029,28.12
INDSO,INDWE,2030,28.12
INDSO,INDWE,2031,28.12
INDSO,INDWE,2032,28.12
INDSO,INDWE,2033,28.12
INDSO,INDWE,2034,28.12
INDSO,INDWE,2035,28.12
INDSO,INDWE,2036,28.12
INDSO,INDWE,2037,28.12
INDSO,INDWE,2038,28.12
INDSO,INDWE,2039,28.12
INDSO,INDWE,2040,28.12
INDSO,INDWE,2041,28.12
INDSO,INDWE,2042,28.12
INDSO,INDWE,2043,28.12
INDSO,INDWE,2044,28.12
INDSO,INDWE,2045,28.12
INDSO,INDWE,2046,28.12
INDSO,INDWE,2047,28.12
INDSO,INDWE,2048,30.12
INDSO,INDWE,2049,32.12
INDSO,INDWE,2050,34.12
