REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGINDEA01,2047,5.3898542
GLOBAL,PWRCCGINDEA01,2048,8.049157300000001
GLOBAL,PWRCCGINDEA01,2049,11.524281300000002
GLOBAL,PWRCCGINDEA01,2050,16.4092877
GLOBAL,PWRCCGINDNO01,2031,7.1471364
GLOBAL,PWRCCGINDNO01,2032,9.5436565
GLOBAL,PWRCCGINDNO01,2033,14.087358600000002
GLOBAL,PWRCCGINDNO01,2034,17.352426
GLOBAL,PWRCCGINDNO01,2035,20.049580600000002
GLOBAL,PWRCCGINDNO01,2036,23.4667597
GLOBAL,PWRCCGINDNO01,2037,27.1129184
GLOBAL,PWRCCGINDNO01,2038,30.51915
GLOBAL,PWRCCGINDNO01,2039,34.2987121
GLOBAL,PWRCCGINDNO01,2040,37.9662304
GLOBAL,PWRCCGINDNO01,2041,43.487811300000004
GLOBAL,PWRCCGINDNO01,2042,47.939643000000004
GLOBAL,PWRCCGINDNO01,2043,52.182462900000004
GLOBAL,PWRCCGINDNO01,2044,58.3467527
GLOBAL,PWRCCGINDNO01,2045,65.75566330000001
GLOBAL,PWRCCGINDNO01,2046,75.1052377
GLOBAL,PWRCCGINDNO01,2047,79.03311500000001
GLOBAL,PWRCCGINDNO01,2048,86.83920660000001
GLOBAL,PWRCCGINDNO01,2049,92.89225720000002
GLOBAL,PWRCCGINDNO01,2050,101.64450150000002
GLOBAL,PWRCCGINDSO01,2031,18.87042
GLOBAL,PWRCCGINDSO01,2032,26.7299887
GLOBAL,PWRCCGINDSO01,2033,34.3152414
GLOBAL,PWRCCGINDSO01,2034,39.936248
GLOBAL,PWRCCGINDSO01,2035,45.7589496
GLOBAL,PWRCCGINDSO01,2036,52.2180567
GLOBAL,PWRCCGINDSO01,2037,58.3775277
GLOBAL,PWRCCGINDSO01,2038,66.20380779999999
GLOBAL,PWRCCGINDSO01,2039,72.5806145
GLOBAL,PWRCCGINDSO01,2040,78.69360259999999
GLOBAL,PWRCCGINDSO01,2041,87.55243399999999
GLOBAL,PWRCCGINDSO01,2042,94.763877
GLOBAL,PWRCCGINDSO01,2043,102.68183499999999
GLOBAL,PWRCCGINDSO01,2044,110.53690399999999
GLOBAL,PWRCCGINDSO01,2045,119.9230923
GLOBAL,PWRCCGINDSO01,2046,134.2774013
GLOBAL,PWRCCGINDSO01,2047,145.2999933
GLOBAL,PWRCCGINDSO01,2048,156.8156303
GLOBAL,PWRCCGINDSO01,2049,167.4150123
GLOBAL,PWRCCGINDSO01,2050,172.9839186
GLOBAL,PWRCCGINDWE01,2035,3.3447933
GLOBAL,PWRCCGINDWE01,2036,9.2130227
GLOBAL,PWRCCGINDWE01,2037,14.5157332
GLOBAL,PWRCCGINDWE01,2038,19.6183726
GLOBAL,PWRCCGINDWE01,2039,25.2079562
GLOBAL,PWRCCGINDWE01,2040,30.561584600000003
GLOBAL,PWRCCGINDWE01,2041,39.8405508
GLOBAL,PWRCCGINDWE01,2042,46.930634299999994
GLOBAL,PWRCCGINDWE01,2043,56.13484329999999
GLOBAL,PWRCCGINDWE01,2044,66.2209063
GLOBAL,PWRCCGINDWE01,2045,75.8988349
GLOBAL,PWRCCGINDWE01,2046,82.1446014
GLOBAL,PWRCCGINDWE01,2047,97.3300164
GLOBAL,PWRCCGINDWE01,2048,113.8006354
GLOBAL,PWRCCGINDWE01,2049,132.3224244
GLOBAL,PWRCCGINDWE01,2050,150.1369644
GLOBAL,PWRHYDINDSO01,2049,1.7299406
GLOBAL,PWRHYDINDSO01,2050,23.1791996
GLOBAL,PWROCGINDEA01,2031,6.8068404
GLOBAL,PWROCGINDEA01,2032,24.3661294
GLOBAL,PWROCGINDEA01,2033,46.3990934
GLOBAL,PWROCGINDEA01,2034,62.949116399999994
GLOBAL,PWROCGINDEA01,2035,77.2407144
GLOBAL,PWROCGINDEA01,2036,89.8021814
GLOBAL,PWROCGINDEA01,2037,104.6633184
GLOBAL,PWROCGINDEA01,2038,117.7862114
GLOBAL,PWROCGINDEA01,2039,130.6145724
GLOBAL,PWROCGINDEA01,2040,144.42453239999998
GLOBAL,PWROCGINDEA01,2041,159.71056539999998
GLOBAL,PWROCGINDEA01,2042,173.04491339999998
GLOBAL,PWROCGINDEA01,2043,187.7703484
GLOBAL,PWROCGINDEA01,2044,199.37122639999998
GLOBAL,PWROCGINDEA01,2045,208.4066469
GLOBAL,PWROCGINDEA01,2046,225.19632889999997
GLOBAL,PWROCGINDEA01,2047,244.25983189999997
GLOBAL,PWROCGINDEA01,2048,264.50702789999997
GLOBAL,PWROCGINDEA01,2049,284.01425789999996
GLOBAL,PWROCGINDEA01,2050,294.19955689999995
GLOBAL,PWRSPVINDEA01,2024,49.625
GLOBAL,PWRSPVINDEA01,2025,99.25
GLOBAL,PWRSPVINDEA01,2026,99.25
GLOBAL,PWRSPVINDEA01,2027,99.25
GLOBAL,PWRSPVINDEA01,2028,99.25
GLOBAL,PWRSPVINDEA01,2029,99.25
GLOBAL,PWRSPVINDEA01,2030,99.25
GLOBAL,PWRSPVINDEA01,2031,113.597818
GLOBAL,PWRSPVINDEA01,2032,122.3366917
GLOBAL,PWRSPVINDEA01,2033,132.9995927
GLOBAL,PWRSPVINDEA01,2034,133.44337629
GLOBAL,PWRSPVINDEA01,2035,134.19622704
GLOBAL,PWRSPVINDEA01,2036,136.78416404
GLOBAL,PWRSPVINDEA01,2037,139.44491014000002
GLOBAL,PWRSPVINDEA01,2038,142.00312914000003
GLOBAL,PWRSPVINDEA01,2039,144.06802944000003
GLOBAL,PWRSPVINDEA01,2040,145.97839614000003
GLOBAL,PWRSPVINDEA01,2041,149.60794894000003
GLOBAL,PWRSPVINDEA01,2042,153.48416114000003
GLOBAL,PWRSPVINDEA01,2043,157.36631694000002
GLOBAL,PWRSPVINDEA01,2044,160.85470923999998
GLOBAL,PWRSPVINDEA01,2045,164.44562863999997
GLOBAL,PWRSPVINDEA01,2046,171.50977923999997
GLOBAL,PWRSPVINDEA01,2047,177.17809283999998
GLOBAL,PWRSPVINDEA01,2048,190.49427183999998
GLOBAL,PWRSPVINDEA01,2049,226.64404983999998
GLOBAL,PWRSPVINDEA01,2050,232.86148993999998
GLOBAL,PWRSPVINDNO01,2024,133.071
GLOBAL,PWRSPVINDNO01,2025,260.65322000000003
GLOBAL,PWRSPVINDNO01,2026,260.65322000000003
GLOBAL,PWRSPVINDNO01,2027,260.65322000000003
GLOBAL,PWRSPVINDNO01,2028,260.65322000000003
GLOBAL,PWRSPVINDNO01,2029,260.65322000000003
GLOBAL,PWRSPVINDNO01,2030,260.65322000000003
GLOBAL,PWRSPVINDNO01,2031,260.65322000000003
GLOBAL,PWRSPVINDNO01,2032,260.65322000000003
GLOBAL,PWRSPVINDNO01,2033,262.85771000000005
GLOBAL,PWRSPVINDNO01,2034,274.16821400000003
GLOBAL,PWRSPVINDNO01,2035,284.88447
GLOBAL,PWRSPVINDNO01,2036,299.198484
GLOBAL,PWRSPVINDNO01,2037,313.561828
GLOBAL,PWRSPVINDNO01,2038,327.831725
GLOBAL,PWRSPVINDNO01,2039,342.376172
GLOBAL,PWRSPVINDNO01,2040,357.281969
GLOBAL,PWRSPVINDNO01,2041,374.987227
GLOBAL,PWRSPVINDNO01,2042,392.99494500000003
GLOBAL,PWRSPVINDNO01,2043,410.235272
GLOBAL,PWRSPVINDNO01,2044,430.366212
GLOBAL,PWRSPVINDNO01,2045,454.48372600000005
GLOBAL,PWRSPVINDNO01,2046,518.9345780000001
GLOBAL,PWRSPVINDNO01,2047,555.0449660000002
GLOBAL,PWRSPVINDNO01,2048,579.4557920000002
GLOBAL,PWRSPVINDNO01,2049,603.9074200000002
GLOBAL,PWRSPVINDNO01,2050,628.5801940000002
GLOBAL,PWRSPVINDSO01,2024,80.61
GLOBAL,PWRSPVINDSO01,2025,161.22
GLOBAL,PWRSPVINDSO01,2026,241.82999999999998
GLOBAL,PWRSPVINDSO01,2027,273.50739899999996
GLOBAL,PWRSPVINDSO01,2028,304.39451599999995
GLOBAL,PWRSPVINDSO01,2029,331.8613849999999
GLOBAL,PWRSPVINDSO01,2030,344.43993399999994
GLOBAL,PWRSPVINDSO01,2031,371.16009399999996
GLOBAL,PWRSPVINDSO01,2032,398.27417099999997
GLOBAL,PWRSPVINDSO01,2033,425.37091599999997
GLOBAL,PWRSPVINDSO01,2034,452.32427499999994
GLOBAL,PWRSPVINDSO01,2035,479.43260799999996
GLOBAL,PWRSPVINDSO01,2036,510.53944299999995
GLOBAL,PWRSPVINDSO01,2037,541.44472
GLOBAL,PWRSPVINDSO01,2038,572.3388219999999
GLOBAL,PWRSPVINDSO01,2039,603.271905
GLOBAL,PWRSPVINDSO01,2040,634.2072519999999
GLOBAL,PWRSPVINDSO01,2041,669.2976179999999
GLOBAL,PWRSPVINDSO01,2042,704.508287
GLOBAL,PWRSPVINDSO01,2043,739.578822
GLOBAL,PWRSPVINDSO01,2044,777.7568879999999
GLOBAL,PWRSPVINDSO01,2045,789.1899999999999
GLOBAL,PWRSPVINDSO01,2046,792.78
