REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2IND,2021,999.2366413377567
GLOBAL,CO2IND,2022,1100.5355003407872
GLOBAL,CO2IND,2023,1180.1234855508799
GLOBAL,CO2IND,2024,829.6985520897858
GLOBAL,CO2IND,2025,836.6747899857495
GLOBAL,CO2IND,2026,803.0138643553578
GLOBAL,CO2IND,2027,831.4967047836095
GLOBAL,CO2IND,2028,858.9076412799342
GLOBAL,CO2IND,2029,892.2391396593229
GLOBAL,CO2IND,2030,910.5482415170579
GLOBAL,CO2IND,2031,892.3524096324561
GLOBAL,CO2IND,2032,928.9813378931874
GLOBAL,CO2IND,2033,950.2436479065558
GLOBAL,CO2IND,2034,980.6809614976648
GLOBAL,CO2IND,2035,1007.256410862856
GLOBAL,CO2IND,2036,1035.0184066532051
GLOBAL,CO2IND,2037,1060.3548306975158
GLOBAL,CO2IND,2038,1082.373154352705
GLOBAL,CO2IND,2039,1106.3921569647437
GLOBAL,CO2IND,2040,1132.0655315283502
GLOBAL,CO2IND,2041,1146.1580458252529
GLOBAL,CO2IND,2042,1174.7457015825194
GLOBAL,CO2IND,2043,1195.7223299884347
GLOBAL,CO2IND,2044,1220.2586412670414
GLOBAL,CO2IND,2045,1234.356198017215
GLOBAL,CO2IND,2046,1235.4805334366192
GLOBAL,CO2IND,2047,1227.883669840808
GLOBAL,CO2IND,2048,1213.144243371598
GLOBAL,CO2IND,2049,1195.9045189830276
GLOBAL,CO2IND,2050,1160.6209660421323
