REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOINDNO01,2021,15.975
GLOBAL,PWRBIOINDNO01,2022,15.975
GLOBAL,PWRBIOINDNO01,2023,15.975
GLOBAL,PWRBIOINDNO01,2024,15.975
GLOBAL,PWRBIOINDNO01,2025,15.975
GLOBAL,PWRBIOINDNO01,2026,15.975
GLOBAL,PWRBIOINDNO01,2027,15.975
GLOBAL,PWRBIOINDNO01,2028,15.975
GLOBAL,PWRBIOINDNO01,2029,15.975
GLOBAL,PWRBIOINDNO01,2030,15.975
GLOBAL,PWRBIOINDNO01,2031,15.975
GLOBAL,PWRBIOINDNO01,2032,15.975
GLOBAL,PWRBIOINDNO01,2033,15.975
GLOBAL,PWRBIOINDNO01,2034,15.975
GLOBAL,PWRBIOINDNO01,2035,15.975
GLOBAL,PWRBIOINDNO01,2036,15.975
GLOBAL,PWRBIOINDNO01,2037,15.975
GLOBAL,PWRBIOINDNO01,2038,15.975
GLOBAL,PWRBIOINDNO01,2039,11.1
GLOBAL,PWRBIOINDNO01,2040,8.1
GLOBAL,PWRBIOINDNO01,2041,8.1
GLOBAL,PWRBIOINDNO01,2042,8.1
GLOBAL,PWRBIOINDNO01,2043,8.1
GLOBAL,PWRBIOINDNO01,2044,8.1
GLOBAL,PWRBIOINDNO01,2045,8.1
GLOBAL,PWRBIOINDNO01,2046,8.1
GLOBAL,PWRBIOINDNO01,2047,8.1
GLOBAL,PWRBIOINDNO01,2048,8.1
GLOBAL,PWRBIOINDNO01,2049,8.1
GLOBAL,PWRBIOINDNO01,2050,8.1
GLOBAL,PWRBIOINDSO01,2021,182.1825
GLOBAL,PWRBIOINDSO01,2022,182.1825
GLOBAL,PWRBIOINDSO01,2023,182.1825
GLOBAL,PWRBIOINDSO01,2024,182.1825
GLOBAL,PWRBIOINDSO01,2025,182.1825
GLOBAL,PWRBIOINDSO01,2026,182.1825
GLOBAL,PWRBIOINDSO01,2027,182.1825
GLOBAL,PWRBIOINDSO01,2028,182.1825
GLOBAL,PWRBIOINDSO01,2029,182.1825
GLOBAL,PWRBIOINDSO01,2030,182.1825
GLOBAL,PWRBIOINDSO01,2031,182.1825
GLOBAL,PWRBIOINDWE01,2021,8.325
GLOBAL,PWRBIOINDWE01,2022,8.325
GLOBAL,PWRBIOINDWE01,2023,8.325
GLOBAL,PWRBIOINDWE01,2024,8.325
GLOBAL,PWRBIOINDWE01,2025,8.325
GLOBAL,PWRBIOINDWE01,2026,8.325
GLOBAL,PWRBIOINDWE01,2027,8.325
GLOBAL,PWRBIOINDWE01,2028,8.325
GLOBAL,PWRBIOINDWE01,2029,8.325
GLOBAL,PWRBIOINDWE01,2030,8.325
GLOBAL,PWRBIOINDWE01,2031,8.325
GLOBAL,PWRBIOINDWE01,2032,8.325
GLOBAL,PWRBIOINDWE01,2033,8.325
GLOBAL,PWRBIOINDWE01,2034,8.325
GLOBAL,PWRBIOINDWE01,2035,8.325
GLOBAL,PWRBIOINDWE01,2036,8.325
GLOBAL,PWRBIOINDWE01,2037,8.325
GLOBAL,PWRBIOINDWE01,2038,8.325
GLOBAL,PWRBIOINDWE01,2039,8.325
GLOBAL,PWRBIOINDWE01,2040,8.325
GLOBAL,PWRBIOINDWE01,2041,8.325
GLOBAL,PWRBIOINDWE01,2042,8.325
GLOBAL,PWRBIOINDWE01,2043,8.325
GLOBAL,PWRBIOINDWE01,2044,8.325
GLOBAL,PWRBIOINDWE01,2045,8.325
GLOBAL,PWRBIOINDWE01,2046,8.325
GLOBAL,PWRBIOINDWE01,2047,8.325
GLOBAL,PWRBIOINDWE01,2048,8.325
GLOBAL,PWRBIOINDWE01,2049,8.325
GLOBAL,PWRBIOINDWE01,2050,8.325
GLOBAL,PWRCCGINDEA00,2021,4.25
GLOBAL,PWRCCGINDEA00,2022,4.25
GLOBAL,PWRCCGINDEA00,2023,4.25
GLOBAL,PWRCCGINDEA00,2024,4.25
GLOBAL,PWRCCGINDEA00,2025,4.25
GLOBAL,PWRCCGINDEA00,2026,4.25
GLOBAL,PWRCCGINDEA00,2027,4.25
GLOBAL,PWRCCGINDEA00,2028,4.25
GLOBAL,PWRCCGINDEA00,2029,4.25
GLOBAL,PWRCCGINDEA00,2030,4.25
GLOBAL,PWRCCGINDEA00,2031,1.35
GLOBAL,PWRCCGINDEA00,2032,1.35
GLOBAL,PWRCCGINDEA00,2033,1.35
GLOBAL,PWRCCGINDEA00,2034,1.35
GLOBAL,PWRCCGINDEA00,2035,1.35
GLOBAL,PWRCCGINDEA00,2036,1.35
GLOBAL,PWRCCGINDEA01,2047,134.7463542107198
GLOBAL,PWRCCGINDEA01,2048,201.22893246804935
GLOBAL,PWRCCGINDEA01,2049,288.1070317449065
GLOBAL,PWRCCGINDEA01,2050,410.23219052565685
GLOBAL,PWRCCGINDNE00,2021,36.71
GLOBAL,PWRCCGINDNE00,2022,36.71
GLOBAL,PWRCCGINDNE00,2023,36.71
GLOBAL,PWRCCGINDNE00,2024,36.71
GLOBAL,PWRCCGINDNE00,2025,36.71
GLOBAL,PWRCCGINDNE00,2026,36.71
GLOBAL,PWRCCGINDNE00,2027,36.71
GLOBAL,PWRCCGINDNE00,2028,36.71
GLOBAL,PWRCCGINDNE00,2029,29.435
GLOBAL,PWRCCGINDNE00,2030,29.435
GLOBAL,PWRCCGINDNE00,2031,29.435
GLOBAL,PWRCCGINDNE00,2032,29.435
GLOBAL,PWRCCGINDNE00,2033,29.435
GLOBAL,PWRCCGINDNE00,2034,29.435
GLOBAL,PWRCCGINDNE00,2035,29.435
GLOBAL,PWRCCGINDNE00,2036,29.435
GLOBAL,PWRCCGINDNE00,2037,28.110000000000003
GLOBAL,PWRCCGINDNE00,2038,28.110000000000003
GLOBAL,PWRCCGINDNE00,2039,28.110000000000003
GLOBAL,PWRCCGINDNE00,2040,28.110000000000003
GLOBAL,PWRCCGINDNE00,2041,28.110000000000003
GLOBAL,PWRCCGINDNE00,2042,28.110000000000003
GLOBAL,PWRCCGINDNE00,2043,28.110000000000003
GLOBAL,PWRCCGINDNE00,2044,28.110000000000003
GLOBAL,PWRCCGINDNE00,2045,19.035
GLOBAL,PWRCCGINDNE00,2046,6.585000000000001
GLOBAL,PWRCCGINDNE00,2047,4.06
GLOBAL,PWRCCGINDNE00,2048,4.06
GLOBAL,PWRCCGINDNE00,2049,4.06
GLOBAL,PWRCCGINDNE00,2050,4.06
GLOBAL,PWRCCGINDNO00,2021,156.335
GLOBAL,PWRCCGINDNO00,2022,156.335
GLOBAL,PWRCCGINDNO00,2023,156.335
GLOBAL,PWRCCGINDNO00,2024,156.335
GLOBAL,PWRCCGINDNO00,2025,135.5925
GLOBAL,PWRCCGINDNO00,2026,135.5925
GLOBAL,PWRCCGINDNO00,2027,128.8425
GLOBAL,PWRCCGINDNO00,2028,128.8425
GLOBAL,PWRCCGINDNO00,2029,128.8425
GLOBAL,PWRCCGINDNO00,2030,128.8425
GLOBAL,PWRCCGINDNO00,2031,90.995
GLOBAL,PWRCCGINDNO00,2032,88.24499999999999
GLOBAL,PWRCCGINDNO00,2033,88.24499999999999
GLOBAL,PWRCCGINDNO00,2034,79.985
GLOBAL,PWRCCGINDNO00,2035,79.985
GLOBAL,PWRCCGINDNO00,2036,79.985
GLOBAL,PWRCCGINDNO00,2037,78.045
GLOBAL,PWRCCGINDNO00,2038,69.795
GLOBAL,PWRCCGINDNO00,2039,69.795
GLOBAL,PWRCCGINDNO00,2040,69.795
GLOBAL,PWRCCGINDNO00,2041,63.837500000000006
GLOBAL,PWRCCGINDNO00,2042,61.1375
GLOBAL,PWRCCGINDNO00,2043,42.3875
GLOBAL,PWRCCGINDNO00,2044,35.625
GLOBAL,PWRCCGINDNO00,2045,16.875
GLOBAL,PWRCCGINDNO00,2046,16.875
GLOBAL,PWRCCGINDNO00,2047,5.625
GLOBAL,PWRCCGINDNO00,2048,5.625
GLOBAL,PWRCCGINDNO00,2049,5.625
GLOBAL,PWRCCGINDNO00,2050,5.625
GLOBAL,PWRCCGINDNO01,2031,178.67840903676782
GLOBAL,PWRCCGINDNO01,2032,238.59141136438686
GLOBAL,PWRCCGINDNO01,2033,352.1839643001948
GLOBAL,PWRCCGINDNO01,2034,433.81064931647853
GLOBAL,PWRCCGINDNO01,2035,501.2395146755308
GLOBAL,PWRCCGINDNO01,2036,586.6689929850862
GLOBAL,PWRCCGINDNO01,2037,677.8229607722479
GLOBAL,PWRCCGINDNO01,2038,762.9787507342852
GLOBAL,PWRCCGINDNO01,2039,857.4678022085462
GLOBAL,PWRCCGINDNO01,2040,949.1557586890473
GLOBAL,PWRCCGINDNO01,2041,1087.1952818229952
GLOBAL,PWRCCGINDNO01,2042,1198.4910747868664
GLOBAL,PWRCCGINDNO01,2043,1304.5615720634364
GLOBAL,PWRCCGINDNO01,2044,1458.6688179644377
GLOBAL,PWRCCGINDNO01,2045,1643.8915819692766
GLOBAL,PWRCCGINDNO01,2046,1877.6309425336428
GLOBAL,PWRCCGINDNO01,2047,1975.8278762629805
GLOBAL,PWRCCGINDNO01,2048,2170.9801653518684
GLOBAL,PWRCCGINDNO01,2049,2322.306429866821
GLOBAL,PWRCCGINDNO01,2050,2541.1125374787434
GLOBAL,PWRCCGINDSO00,2021,160.375
GLOBAL,PWRCCGINDSO00,2022,160.375
GLOBAL,PWRCCGINDSO00,2023,160.375
GLOBAL,PWRCCGINDSO00,2024,160.375
GLOBAL,PWRCCGINDSO00,2025,160.375
GLOBAL,PWRCCGINDSO00,2026,160.375
GLOBAL,PWRCCGINDSO00,2027,160.375
GLOBAL,PWRCCGINDSO00,2028,150.2
GLOBAL,PWRCCGINDSO00,2029,145.0
GLOBAL,PWRCCGINDSO00,2030,140.875
GLOBAL,PWRCCGINDSO00,2031,129.17499999999998
GLOBAL,PWRCCGINDSO00,2032,112.72500000000001
GLOBAL,PWRCCGINDSO00,2033,107.225
GLOBAL,PWRCCGINDSO00,2034,104.85
GLOBAL,PWRCCGINDSO00,2035,102.325
GLOBAL,PWRCCGINDSO00,2036,93.825
GLOBAL,PWRCCGINDSO00,2037,82.625
GLOBAL,PWRCCGINDSO00,2038,81.175
GLOBAL,PWRCCGINDSO00,2039,78.875
GLOBAL,PWRCCGINDSO00,2040,67.27499999999999
GLOBAL,PWRCCGINDSO00,2041,47.0
GLOBAL,PWRCCGINDSO00,2042,47.0
GLOBAL,PWRCCGINDSO00,2043,47.0
GLOBAL,PWRCCGINDSO00,2044,47.0
GLOBAL,PWRCCGINDSO00,2045,47.0
GLOBAL,PWRCCGINDSO00,2046,9.25
GLOBAL,PWRCCGINDSO00,2047,9.25
GLOBAL,PWRCCGINDSO00,2048,9.25
GLOBAL,PWRCCGINDSO00,2049,9.25
GLOBAL,PWRCCGINDSO00,2050,9.25
GLOBAL,PWRCCGINDSO01,2031,471.7604998029544
