REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
GLOBAL,PWRCCGINDEA01,CO2IND,2047,8.54971438509519
GLOBAL,PWRCCGINDEA01,CO2IND,2048,12.768062695996555
GLOBAL,PWRCCGINDEA01,CO2IND,2049,18.280515626452033
GLOBAL,PWRCCGINDEA01,CO2IND,2050,26.029409709159225
GLOBAL,PWRCCGINDNO01,CO2IND,2031,11.337222242455622
GLOBAL,PWRCCGINDNO01,CO2IND,2032,15.138728122560057
GLOBAL,PWRCCGINDNO01,CO2IND,2033,22.320362152780618
GLOBAL,PWRCCGINDNO01,CO2IND,2034,27.4056093277679
GLOBAL,PWRCCGINDNO01,CO2IND,2035,31.80386374163277
GLOBAL,PWRCCGINDNO01,CO2IND,2036,37.224401045908685
GLOBAL,PWRCCGINDNO01,CO2IND,2037,43.008159680518176
GLOBAL,PWRCCGINDNO01,CO2IND,2038,48.411331340910706
GLOBAL,PWRCCGINDNO01,CO2IND,2039,54.406702476222804
GLOBAL,PWRCCGINDNO01,CO2IND,2040,60.224342924107816
GLOBAL,PWRCCGINDNO01,CO2IND,2041,68.9830103000308
GLOBAL,PWRCCGINDNO01,CO2IND,2042,76.04477644337099
GLOBAL,PWRCCGINDNO01,CO2IND,2043,82.77499531802417
GLOBAL,PWRCCGINDNO01,CO2IND,2044,91.54875750847928
GLOBAL,PWRCCGINDNO01,CO2IND,2045,101.26704677965667
GLOBAL,PWRCCGINDNO01,CO2IND,2046,118.70433660673369
GLOBAL,PWRCCGINDNO01,CO2IND,2047,125.36713230652865
GLOBAL,PWRCCGINDNO01,CO2IND,2048,137.74962935500747
GLOBAL,PWRCCGINDNO01,CO2IND,2049,147.35134621142748
GLOBAL,PWRCCGINDNO01,CO2IND,2050,161.23468826364245
GLOBAL,PWRCCGINDSO01,CO2IND,2031,29.61597719704671
GLOBAL,PWRCCGINDSO01,CO2IND,2032,42.25331030145691
GLOBAL,PWRCCGINDSO01,CO2IND,2033,54.43292224822271
GLOBAL,PWRCCGINDSO01,CO2IND,2034,63.349304723372626
GLOBAL,PWRCCGINDSO01,CO2IND,2035,72.58562796735002
GLOBAL,PWRCCGINDSO01,CO2IND,2036,82.83145636475606
GLOBAL,PWRCCGINDSO01,CO2IND,2037,92.60198379180547
GLOBAL,PWRCCGINDSO01,CO2IND,2038,105.0165050891678
GLOBAL,PWRCCGINDSO01,CO2IND,2039,115.13178356797064
GLOBAL,PWRCCGINDSO01,CO2IND,2040,124.82857694559041
GLOBAL,PWRCCGINDSO01,CO2IND,2041,138.88099392231865
GLOBAL,PWRCCGINDSO01,CO2IND,2042,150.32022326851032
GLOBAL,PWRCCGINDSO01,CO2IND,2043,162.88016971334437
GLOBAL,PWRCCGINDSO01,CO2IND,2044,175.34035772868302
GLOBAL,PWRCCGINDSO01,CO2IND,2045,189.44136408711068
GLOBAL,PWRCCGINDSO01,CO2IND,2046,208.8392264082339
GLOBAL,PWRCCGINDSO01,CO2IND,2047,225.71189210050292
GLOBAL,PWRCCGINDSO01,CO2IND,2048,244.02178751497775
GLOBAL,PWRCCGINDSO01,CO2IND,2049,260.4261285369168
GLOBAL,PWRCCGINDSO01,CO2IND,2050,264.3344213861861
GLOBAL,PWRCCGINDWE01,CO2IND,2035,2.630573273637691
GLOBAL,PWRCCGINDWE01,CO2IND,2036,9.486500955929982
GLOBAL,PWRCCGINDWE01,CO2IND,2037,17.859257913824546
GLOBAL,PWRCCGINDWE01,CO2IND,2038,25.907124043762956
GLOBAL,PWRCCGINDWE01,CO2IND,2039,34.72814354777588
GLOBAL,PWRCCGINDWE01,CO2IND,2040,43.15918287917586
GLOBAL,PWRCCGINDWE01,CO2IND,2041,57.815323442151765
GLOBAL,PWRCCGINDWE01,CO2IND,2042,68.98479205472646
GLOBAL,PWRCCGINDWE01,CO2IND,2043,83.49881012669394
GLOBAL,PWRCCGINDWE01,CO2IND,2044,98.37644528205672
GLOBAL,PWRCCGINDWE01,CO2IND,2045,112.35681646505475
GLOBAL,PWRCCGINDWE01,CO2IND,2046,128.28930472085162
GLOBAL,PWRCCGINDWE01,CO2IND,2047,153.82889313588117
GLOBAL,PWRCCGINDWE01,CO2IND,2048,180.0253808072162
