REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCCGINDEA01,CO2IND,2,2047,8.549714331999999
GLOBAL,PWRCCGINDEA01,CO2IND,2,2048,12.768062466
GLOBAL,PWRCCGINDEA01,CO2IND,2,2049,18.280515419
GLOBAL,PWRCCGINDEA01,CO2IND,2,2050,26.029409487
GLOBAL,PWRCCGINDNO01,CO2IND,2,2031,11.337222126999999
GLOBAL,PWRCCGINDNO01,CO2IND,2,2032,15.138728125
GLOBAL,PWRCCGINDNO01,CO2IND,2,2033,22.320362211070396
GLOBAL,PWRCCGINDNO01,CO2IND,2,2034,27.405609518775798
GLOBAL,PWRCCGINDNO01,CO2IND,2,2035,31.803863571
GLOBAL,PWRCCGINDNO01,CO2IND,2,2036,37.224400818999996
GLOBAL,PWRCCGINDNO01,CO2IND,2,2037,43.008159899999995
GLOBAL,PWRCCGINDNO01,CO2IND,2,2038,48.411331575999995
GLOBAL,PWRCCGINDNO01,CO2IND,2,2039,54.40670325999999
GLOBAL,PWRCCGINDNO01,CO2IND,2,2040,60.2243409
GLOBAL,PWRCCGINDNO01,CO2IND,2,2041,68.98300947999999
GLOBAL,PWRCCGINDNO01,CO2IND,2,2042,76.04477738
GLOBAL,PWRCCGINDNO01,CO2IND,2,2043,82.77499283
GLOBAL,PWRCCGINDNO01,CO2IND,2,2044,91.548756712626
GLOBAL,PWRCCGINDNO01,CO2IND,2,2045,101.26704771479399
GLOBAL,PWRCCGINDNO01,CO2IND,2,2046,118.704337202288
GLOBAL,PWRCCGINDNO01,CO2IND,2,2047,125.36713148999999
GLOBAL,PWRCCGINDNO01,CO2IND,2,2048,137.74962836
GLOBAL,PWRCCGINDNO01,CO2IND,2,2049,147.35134506
GLOBAL,PWRCCGINDNO01,CO2IND,2,2050,161.23468829999996
GLOBAL,PWRCCGINDSO01,CO2IND,2,2031,29.615977115011603
GLOBAL,PWRCCGINDSO01,CO2IND,2,2032,42.25331010052079
GLOBAL,PWRCCGINDSO01,CO2IND,2,2033,54.432924650000004
GLOBAL,PWRCCGINDSO01,CO2IND,2,2034,63.34930385
GLOBAL,PWRCCGINDSO01,CO2IND,2,2035,72.58562626
GLOBAL,PWRCCGINDSO01,CO2IND,2,2036,82.83145457999998
GLOBAL,PWRCCGINDSO01,CO2IND,2,2037,92.60198310999999
GLOBAL,PWRCCGINDSO01,CO2IND,2,2038,105.01650599
