REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2021,82078.66947286912
GLOBAL,MINCOAINT,2022,90399.48230898326
GLOBAL,MINCOAINT,2023,96937.00574051567
GLOBAL,MINCOAINT,2024,68151.85737609222
GLOBAL,MINCOAINT,2025,68725.07667302941
GLOBAL,MINCOAINT,2026,65960.56694763468
GLOBAL,MINCOAINT,2027,68300.26209799493
GLOBAL,MINCOAINT,2028,70551.93166888232
GLOBAL,MINCOAINT,2029,73289.93411443043
GLOBAL,MINCOAINT,2030,74793.95677255155
GLOBAL,MINCOAINT,2031,69935.36562039724
GLOBAL,MINCOAINT,2032,71593.87562936984
GLOBAL,MINCOAINT,2033,71750.13898775089
GLOBAL,MINCOAINT,2034,73100.2489281571
GLOBAL,MINCOAINT,2035,73947.20055417507
GLOBAL,MINCOAINT,2036,74377.62432238256
GLOBAL,MINCOAINT,2037,74493.39823290013
GLOBAL,MINCOAINT,2038,74177.44280801431
GLOBAL,MINCOAINT,2039,74102.48273469874
GLOBAL,MINCOAINT,2040,74244.42102859606
GLOBAL,MINCOAINT,2041,72324.4048464434
GLOBAL,MINCOAINT,2042,72235.46823054142
GLOBAL,MINCOAINT,2043,71181.79982111068
GLOBAL,MINCOAINT,2044,70230.96114689295
GLOBAL,MINCOAINT,2045,68284.01632390474
GLOBAL,MINCOAINT,2046,64041.886884648964
GLOBAL,MINCOAINT,2047,58684.38704084735
GLOBAL,MINCOAINT,2048,52454.13894016128
GLOBAL,MINCOAINT,2049,46032.04547375617
GLOBAL,MINCOAINT,2050,38711.265375329276
GLOBAL,MINGASINT,2031,10032.312594305125
GLOBAL,MINGASINT,2032,14059.337921684633
GLOBAL,MINGASINT,2033,18802.265812905825
GLOBAL,MINGASINT,2034,22232.247533561705
GLOBAL,MINGASINT,2035,26216.724467511915
GLOBAL,MINGASINT,2036,31734.0147076179
GLOBAL,MINGASINT,2037,37595.42671729857
GLOBAL,MINGASINT,2038,43931.717355043234
GLOBAL,MINGASINT,2039,50039.23279984585
GLOBAL,MINGASINT,2040,55905.159643571096
GLOBAL,MINGASINT,2041,65083.51243502951
GLOBAL,MINGASINT,2042,72351.89133495309
GLOBAL,MINGASINT,2043,80632.90818881999
GLOBAL,MINGASINT,2044,89479.16971605999
GLOBAL,MINGASINT,2045,98738.96085850321
GLOBAL,MINGASINT,2046,111665.45916979652
GLOBAL,MINGASINT,2047,125781.80796455097
GLOBAL,MINGASINT,2048,140751.2566504681
GLOBAL,MINGASINT,2049,155680.32843213118
GLOBAL,MINGASINT,2050,168869.16305899192
GLOBAL,MINURNINT,2021,1209.0153104639999
GLOBAL,MINURNINT,2022,1405.603165824
GLOBAL,MINURNINT,2023,1847.9258403840004
GLOBAL,MINURNINT,2024,1962.6020893440002
GLOBAL,MINURNINT,2025,1962.6020893440002
GLOBAL,MINURNINT,2026,2355.777800064
GLOBAL,MINURNINT,2027,2519.601012864
GLOBAL,MINURNINT,2028,2748.953510784
GLOBAL,MINURNINT,2029,2748.953510784
GLOBAL,MINURNINT,2030,2696.530082688
GLOBAL,MINURNINT,2031,2696.530082688
GLOBAL,MINURNINT,2032,2696.5300826879998
GLOBAL,MINURNINT,2033,2696.530082688
GLOBAL,MINURNINT,2034,2696.530082688
GLOBAL,MINURNINT,2035,2696.530082688
GLOBAL,MINURNINT,2036,2696.5300826879998
GLOBAL,MINURNINT,2037,2696.5300826879998
GLOBAL,MINURNINT,2038,2696.530082688
GLOBAL,MINURNINT,2039,2696.530082688
GLOBAL,MINURNINT,2040,2696.530082688
GLOBAL,MINURNINT,2041,2696.530082688
GLOBAL,MINURNINT,2042,2663.765440128
GLOBAL,MINURNINT,2043,2663.765440128
GLOBAL,MINURNINT,2044,2663.7654401279997
GLOBAL,MINURNINT,2045,2627.724333312
GLOBAL,MINURNINT,2046,2627.724333312
GLOBAL,MINURNINT,2047,2591.6832264960003
GLOBAL,MINURNINT,2048,2591.6832264960003
GLOBAL,MINURNINT,2049,2591.6832264960003
GLOBAL,MINURNINT,2050,2591.6832264960003
GLOBAL,TRNINDEAINDNE,2021,97.85383369688368
GLOBAL,TRNINDEAINDNE,2022,100.213397856
GLOBAL,TRNINDEAINDNE,2023,97.46582577396563
GLOBAL,TRNINDEAINDNE,2024,123.689963088
GLOBAL,TRNINDEAINDNE,2025,123.689963088
GLOBAL,TRNINDEAINDNE,2026,123.689963088
GLOBAL,TRNINDEAINDNE,2027,123.689963088
GLOBAL,TRNINDEAINDNE,2028,123.689963088
GLOBAL,TRNINDEAINDNE,2029,123.68996308799998
GLOBAL,TRNINDEAINDNE,2030,193.769262288
GLOBAL,TRNINDEAINDNE,2031,263.848561488
GLOBAL,TRNINDEAINDNE,2032,333.927860688
GLOBAL,TRNINDEAINDNE,2033,404.007159888
GLOBAL,TRNINDEAINDNE,2034,474.08645908799997
GLOBAL,TRNINDEAINDNE,2035,544.165758288
GLOBAL,TRNINDEAINDNE,2036,614.245057488
GLOBAL,TRNINDEAINDNE,2037,684.3243566880001
GLOBAL,TRNINDEAINDNE,2038,754.403655888
GLOBAL,TRNINDEAINDNE,2039,824.482955088
GLOBAL,TRNINDEAINDNE,2040,894.562254288
GLOBAL,TRNINDEAINDNE,2041,964.6415534879999
GLOBAL,TRNINDEAINDNE,2042,1034.720852688
GLOBAL,TRNINDEAINDNE,2043,1104.800151888
GLOBAL,TRNINDEAINDNE,2044,1174.879451088
GLOBAL,TRNINDEAINDNE,2045,1244.958750288
GLOBAL,TRNINDEAINDNE,2046,1315.038049488
GLOBAL,TRNINDEAINDNE,2047,1385.1173486880002
GLOBAL,TRNINDEAINDNE,2048,1455.1966478880004
GLOBAL,TRNINDEAINDNE,2049,1525.2759470880005
GLOBAL,TRNINDEAINDNE,2050,1595.3552462880002
GLOBAL,TRNINDEAINDNO,2025,68.76717919648743
GLOBAL,TRNINDEAINDNO,2026,84.06000234843269
GLOBAL,TRNINDEAINDNO,2027,101.50028010378192
GLOBAL,TRNINDEAINDNO,2028,122.43069366747608
GLOBAL,TRNINDEAINDNO,2029,168.56343859558015
GLOBAL,TRNINDEAINDNO,2030,164.3221833754724
GLOBAL,TRNINDEAINDNO,2031,104.219744050144
GLOBAL,TRNINDEAINDNO,2032,76.67668684205393
GLOBAL,TRNINDEAINDNO,2033,42.73612245867222
GLOBAL,TRNINDEAINDNO,2034,44.27078605377845
GLOBAL,TRNINDEAINDNO,2035,48.35747588393472
GLOBAL,TRNINDEAINDNO,2036,51.475026131519336
GLOBAL,TRNINDEAINDNO,2037,54.59932831861219
GLOBAL,TRNINDEAINDNO,2038,57.708928068226804
GLOBAL,TRNINDEAINDNO,2039,60.85415297704316
GLOBAL,TRNINDEAINDNO,2040,63.97767362639504
GLOBAL,TRNINDEAINDNO,2041,67.56401061199566
GLOBAL,TRNINDEAINDNO,2042,71.09241823088739
GLOBAL,TRNINDEAINDNO,2043,74.59918874452232
GLOBAL,TRNINDEAINDNO,2044,66.09181995031257
GLOBAL,TRNINDEAINDNO,2045,45.25333180641429
GLOBAL,TRNINDEAINDNO,2046,6.745132567536187
GLOBAL,TRNINDEAINDSO,2034,31.671780437068737
GLOBAL,TRNINDEAINDSO,2035,49.33642886692123
GLOBAL,TRNINDEAINDSO,2036,50.28545140968249
GLOBAL,TRNINDEAINDSO,2037,51.226470767765484
GLOBAL,TRNINDEAINDSO,2038,52.17051260878515
GLOBAL,TRNINDEAINDSO,2039,53.10611983522663
GLOBAL,TRNINDEAINDSO,2040,54.02937145717478
GLOBAL,TRNINDEAINDSO,2041,55.07945010097336
GLOBAL,TRNINDEAINDSO,2042,56.13097574247334
GLOBAL,TRNINDEAINDSO,2043,57.169708081122806
GLOBAL,TRNINDEAINDSO,2044,57.74561084463688
GLOBAL,TRNINDEAINDSO,2045,49.634738717717184
GLOBAL,TRNINDEAINDSO,2046,11.64159209067693
GLOBAL,TRNINDEAINDSO,2047,5.681101295442118
GLOBAL,TRNINDEAINDSO,2048,34.68965997331433
GLOBAL,TRNINDEAINDSO,2049,145.0926176486733
GLOBAL,TRNINDEAINDSO,2050,147.82275611140656
GLOBAL,TRNINDEAINDWE,2035,2.9330112167732727
GLOBAL,TRNINDEAINDWE,2036,5.23525512252177
GLOBAL,TRNINDEAINDWE,2037,7.552017553004522
GLOBAL,TRNINDEAINDWE,2038,9.812257556783024
GLOBAL,TRNINDEAINDWE,2039,12.108189643111764
GLOBAL,TRNINDEAINDWE,2040,14.30252953008524
GLOBAL,TRNINDEAINDWE,2041,16.861720961034187
GLOBAL,TRNINDEAINDWE,2042,19.29334791839661
GLOBAL,TRNINDEAINDWE,2043,21.6864342883709
GLOBAL,TRNINDEAINDWE,2044,12.567434698066872
GLOBAL,TRNINDNEINDNO,2022,9.37770417913826
GLOBAL,TRNINDNEINDNO,2024,105.1189488
GLOBAL,TRNINDNEINDNO,2025,105.1189488
GLOBAL,TRNINDNEINDNO,2026,105.1189488
GLOBAL,TRNINDNEINDNO,2027,105.1189488
GLOBAL,TRNINDNEINDNO,2028,105.1189488
GLOBAL,TRNINDNEINDNO,2029,105.1189488
GLOBAL,TRNINDNEINDNO,2030,175.198248
GLOBAL,TRNINDNEINDNO,2031,214.47073335193622
GLOBAL,TRNINDNEINDNO,2032,299.82033552193377
GLOBAL,TRNINDNEINDNO,2033,369.1856357086723
GLOBAL,TRNINDNEINDNO,2034,437.5598531237779
GLOBAL,TRNINDNEINDNO,2035,508.5948734639338
GLOBAL,TRNINDNEINDNO,2036,578.1132041415185
GLOBAL,TRNINDNEINDNO,2037,647.6445089186117
GLOBAL,TRNINDNEINDNO,2038,717.1135561782262
GLOBAL,TRNINDNEINDNO,2039,786.521007347043
GLOBAL,TRNINDNEINDNO,2040,855.795644256396
GLOBAL,TRNINDNEINDNO,2041,925.0061027719961
GLOBAL,TRNINDNEINDNO,2042,994.1542986308875
GLOBAL,TRNINDNEINDNO,2043,1063.2765240945225
GLOBAL,TRNINDNEINDNO,2044,1120.2107231003133
GLOBAL,TRNINDNEINDNO,2045,1157.6948795321011
GLOBAL,TRNINDNEINDNO,2046,1061.8825043321012
GLOBAL,TRNINDNEINDNO,2047,1063.6506584994659
GLOBAL,TRNINDNEINDNO,2048,1118.8509922061526
GLOBAL,TRNINDNEINDNO,2049,1174.0537323412423
GLOBAL,TRNINDNEINDNO,2050,1229.2576756905319
GLOBAL,TRNINDNOINDWE,2025,196.89308195382807
GLOBAL,TRNINDNOINDWE,2026,147.72687144834168
GLOBAL,TRNINDNOINDWE,2027,94.18695469299246
GLOBAL,TRNINDNOINDWE,2028,60.21280185657915
GLOBAL,TRNINDNOINDWE,2029,6.657128601644631
GLOBAL,TRNINDNOINDWE,2030,22.2881157242925
GLOBAL,TRNINDNOINDWE,2046,70.88394669218727
GLOBAL,TRNINDNOINDWE,2047,89.1470115335838
GLOBAL,TRNINDNOINDWE,2048,93.29333296251417
GLOBAL,TRNINDNOINDWE,2049,97.23313118076871
GLOBAL,TRNINDNOINDWE,2050,101.17861595448585
GLOBAL,TRNINDSOINDWE,2025,285.7224612307033
GLOBAL,TRNINDSOINDWE,2026,238.80763717766825
GLOBAL,TRNINDSOINDWE,2027,177.0834879475306
GLOBAL,TRNINDSOINDWE,2028,160.97709404061797
GLOBAL,TRNINDSOINDWE,2029,154.38695913442515
GLOBAL,TRNINDSOINDWE,2030,215.98351222281485
GLOBAL,TRNINDSOINDWE,2031,41.23160677790318
GLOBAL,TRNINDSOINDWE,2032,43.96657145483332
GLOBAL,TRNINDSOINDWE,2033,46.44489594690161
GLOBAL,TRNINDSOINDWE,2034,16.4004200472653
GLOBAL,TRNINDSOINDWE,2045,92.92641132203661
GLOBAL,TRNINDSOINDWE,2046,251.13592941829813
GLOBAL,TRNINDSOINDWE,2047,404.7070097908099
GLOBAL,TRNINDSOINDWE,2048,527.697122976
GLOBAL,TRNINDSOINDWE,2049,562.736772576
GLOBAL,TRNINDSOINDWE,2050,597.7764221759999
