REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2021,11.045675
GLOBAL,MINCOAINT,2022,12.154714
GLOBAL,MINCOAINT,2023,12.978827
GLOBAL,MINCOAINT,2024,13.243781
GLOBAL,MINCOAINT,2025,17.07932
GLOBAL,MINCOAINT,2026,17.54689
GLOBAL,MINCOAINT,2027,18.161372
GLOBAL,MINCOAINT,2028,18.744826
GLOBAL,MINCOAINT,2029,19.45213
GLOBAL,MINCOAINT,2030,19.844024
GLOBAL,MINCOAINT,2031,18.556168
GLOBAL,MINCOAINT,2032,18.999023
GLOBAL,MINCOAINT,2033,19.049665
GLOBAL,MINCOAINT,2034,19.410567
GLOBAL,MINCOAINT,2035,19.469869
GLOBAL,MINCOAINT,2036,19.439349
GLOBAL,MINCOAINT,2037,19.467728
GLOBAL,MINCOAINT,2038,19.383262
GLOBAL,MINCOAINT,2039,19.361772
GLOBAL,MINCOAINT,2040,19.396431
GLOBAL,MINCOAINT,2041,18.892752
GLOBAL,MINCOAINT,2042,18.86648
GLOBAL,MINCOAINT,2043,18.58829
GLOBAL,MINCOAINT,2044,18.336179
GLOBAL,MINCOAINT,2045,17.824046
GLOBAL,MINCOAINT,2046,16.712392
GLOBAL,MINCOAINT,2047,15.314297
GLOBAL,MINCOAINT,2048,13.68845
GLOBAL,MINCOAINT,2049,12.012538
GLOBAL,MINCOAINT,2050,10.102105
GLOBAL,MINGASINT,2031,1.6409793
GLOBAL,MINGASINT,2032,2.2878513
GLOBAL,MINGASINT,2033,3.0528488
GLOBAL,MINGASINT,2034,3.6133112
GLOBAL,MINGASINT,2035,4.3616384
GLOBAL,MINGASINT,2036,5.3546765
GLOBAL,MINGASINT,2037,6.3075897
GLOBAL,MINGASINT,2038,7.3378804
GLOBAL,MINGASINT,2039,8.3310091
GLOBAL,MINGASINT,2040,9.2855492
GLOBAL,MINGASINT,2041,10.777794
GLOBAL,MINGASINT,2042,11.960605
GLOBAL,MINGASINT,2043,13.308138
GLOBAL,MINGASINT,2044,14.747965
GLOBAL,MINGASINT,2045,16.254538
GLOBAL,MINGASINT,2046,18.352549
GLOBAL,MINGASINT,2047,20.627885
GLOBAL,MINGASINT,2048,23.053108
GLOBAL,MINGASINT,2049,25.4908
GLOBAL,MINGASINT,2050,27.825769
GLOBAL,MINURNINT,2021,0.51667321
GLOBAL,MINURNINT,2022,0.60068511
GLOBAL,MINURNINT,2023,0.7897119
GLOBAL,MINURNINT,2024,0.83871884
GLOBAL,MINURNINT,2025,0.83871884
GLOBAL,MINURNINT,2026,1.0067426
GLOBAL,MINURNINT,2027,1.0767526
GLOBAL,MINURNINT,2028,1.1747665
GLOBAL,MINURNINT,2029,1.1747665
