REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S1D1,ELCINDEA02,2021,142.59359999999998
GLOBAL,S1D2,ELCINDEA02,2021,148.535
GLOBAL,S2D1,ELCINDEA02,2021,142.59359999999998
GLOBAL,S2D2,ELCINDEA02,2021,154.4764
GLOBAL,S1D1,ELCINDEA02,2022,157.3704
GLOBAL,S1D2,ELCINDEA02,2022,163.9275
GLOBAL,S2D1,ELCINDEA02,2022,157.3704
GLOBAL,S2D2,ELCINDEA02,2022,170.48460000000003
GLOBAL,S1D1,ELCINDEA02,2023,172.14479999999998
GLOBAL,S1D2,ELCINDEA02,2023,179.3175
GLOBAL,S2D1,ELCINDEA02,2023,172.14479999999998
GLOBAL,S2D2,ELCINDEA02,2023,186.49020000000002
GLOBAL,S1D1,ELCINDEA02,2024,185.4888
GLOBAL,S1D2,ELCINDEA02,2024,193.2175
GLOBAL,S2D1,ELCINDEA02,2024,185.4888
GLOBAL,S2D2,ELCINDEA02,2024,200.9462
GLOBAL,S1D1,ELCINDEA02,2025,229.1064
GLOBAL,S1D2,ELCINDEA02,2025,238.6525
GLOBAL,S2D1,ELCINDEA02,2025,229.1064
GLOBAL,S2D2,ELCINDEA02,2025,248.1986
GLOBAL,S1D1,ELCINDEA02,2026,235.584
GLOBAL,S1D2,ELCINDEA02,2026,245.4
GLOBAL,S2D1,ELCINDEA02,2026,235.584
GLOBAL,S2D2,ELCINDEA02,2026,255.216
GLOBAL,S1D1,ELCINDEA02,2027,242.97119999999998
GLOBAL,S1D2,ELCINDEA02,2027,253.095
GLOBAL,S2D1,ELCINDEA02,2027,242.97119999999998
GLOBAL,S2D2,ELCINDEA02,2027,263.2188
GLOBAL,S1D1,ELCINDEA02,2028,250.3776
GLOBAL,S1D2,ELCINDEA02,2028,260.81
GLOBAL,S2D1,ELCINDEA02,2028,250.3776
GLOBAL,S2D2,ELCINDEA02,2028,271.24240000000003
GLOBAL,S1D1,ELCINDEA02,2029,257.86560000000003
GLOBAL,S1D2,ELCINDEA02,2029,268.61
GLOBAL,S2D1,ELCINDEA02,2029,257.86560000000003
GLOBAL,S2D2,ELCINDEA02,2029,279.3544
GLOBAL,S1D1,ELCINDEA02,2030,265.2984
GLOBAL,S1D2,ELCINDEA02,2030,276.3525
GLOBAL,S2D1,ELCINDEA02,2030,265.2984
GLOBAL,S2D2,ELCINDEA02,2030,287.4066
GLOBAL,S1D1,ELCINDEA02,2031,281.8272
GLOBAL,S1D2,ELCINDEA02,2031,293.57
GLOBAL,S2D1,ELCINDEA02,2031,281.8272
GLOBAL,S2D2,ELCINDEA02,2031,305.3128
GLOBAL,S1D1,ELCINDEA02,2032,298.4352
GLOBAL,S1D2,ELCINDEA02,2032,310.87
GLOBAL,S2D1,ELCINDEA02,2032,298.4352
GLOBAL,S2D2,ELCINDEA02,2032,323.3048
GLOBAL,S1D1,ELCINDEA02,2033,315.5592
GLOBAL,S1D2,ELCINDEA02,2033,328.7075
GLOBAL,S2D1,ELCINDEA02,2033,315.5592
GLOBAL,S2D2,ELCINDEA02,2033,341.8558
GLOBAL,S1D1,ELCINDEA02,2034,331.5432
GLOBAL,S1D2,ELCINDEA02,2034,345.3575
GLOBAL,S2D1,ELCINDEA02,2034,331.5432
GLOBAL,S2D2,ELCINDEA02,2034,359.1718
GLOBAL,S1D1,ELCINDEA02,2035,348.02639999999997
GLOBAL,S1D2,ELCINDEA02,2035,362.5275
GLOBAL,S2D1,ELCINDEA02,2035,348.02639999999997
GLOBAL,S2D2,ELCINDEA02,2035,377.0286
GLOBAL,S1D1,ELCINDEA02,2036,367.47360000000003
GLOBAL,S1D2,ELCINDEA02,2036,382.785
GLOBAL,S2D1,ELCINDEA02,2036,367.47360000000003
GLOBAL,S2D2,ELCINDEA02,2036,398.0964
GLOBAL,S1D1,ELCINDEA02,2037,387.0384
GLOBAL,S1D2,ELCINDEA02,2037,403.165
GLOBAL,S2D1,ELCINDEA02,2037,387.0384
GLOBAL,S2D2,ELCINDEA02,2037,419.2916
GLOBAL,S1D1,ELCINDEA02,2038,406.4376
GLOBAL,S1D2,ELCINDEA02,2038,423.3725
GLOBAL,S2D1,ELCINDEA02,2038,406.4376
GLOBAL,S2D2,ELCINDEA02,2038,440.30740000000003
GLOBAL,S1D1,ELCINDEA02,2039,425.03999999999996
GLOBAL,S1D2,ELCINDEA02,2039,442.75
GLOBAL,S2D1,ELCINDEA02,2039,425.03999999999996
GLOBAL,S2D2,ELCINDEA02,2039,460.46000000000004
GLOBAL,S1D1,ELCINDEA02,2040,443.39279999999997
GLOBAL,S1D2,ELCINDEA02,2040,461.8675
GLOBAL,S2D1,ELCINDEA02,2040,443.39279999999997
GLOBAL,S2D2,ELCINDEA02,2040,480.34220000000005
GLOBAL,S1D1,ELCINDEA02,2041,464.5224
GLOBAL,S1D2,ELCINDEA02,2041,483.8775
GLOBAL,S2D1,ELCINDEA02,2041,464.5224
GLOBAL,S2D2,ELCINDEA02,2041,503.2326
GLOBAL,S1D1,ELCINDEA02,2042,486.05039999999997
GLOBAL,S1D2,ELCINDEA02,2042,506.3025
GLOBAL,S2D1,ELCINDEA02,2042,486.05039999999997
GLOBAL,S2D2,ELCINDEA02,2042,526.5546
GLOBAL,S1D1,ELCINDEA02,2043,507.58799999999997
GLOBAL,S1D2,ELCINDEA02,2043,528.7375
GLOBAL,S2D1,ELCINDEA02,2043,507.58799999999997
GLOBAL,S2D2,ELCINDEA02,2043,549.887
GLOBAL,S1D1,ELCINDEA02,2044,528.4896
GLOBAL,S1D2,ELCINDEA02,2044,550.51
GLOBAL,S2D1,ELCINDEA02,2044,528.4896
GLOBAL,S2D2,ELCINDEA02,2044,572.5304
GLOBAL,S1D1,ELCINDEA02,2045,549.5568000000001
GLOBAL,S1D2,ELCINDEA02,2045,572.455
GLOBAL,S2D1,ELCINDEA02,2045,549.5568000000001
GLOBAL,S2D2,ELCINDEA02,2045,595.3532
