REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2021,78269.98466383136
GLOBAL,MINCOAINT,2022,78367.88918691286
GLOBAL,MINCOAINT,2023,76395.69164048505
GLOBAL,MINCOAINT,2024,48830.56998139992
GLOBAL,MINCOAINT,2025,44767.34353834537
GLOBAL,MINCOAINT,2026,39061.217372354804
GLOBAL,MINCOAINT,2027,36769.77908375703
GLOBAL,MINCOAINT,2028,34529.061704184074
GLOBAL,MINCOAINT,2029,32608.241377022023
GLOBAL,MINCOAINT,2030,30252.19075607001
GLOBAL,MINCOAINT,2031,25715.471332293757
GLOBAL,MINCOAINT,2032,23932.102576488745
GLOBAL,MINCOAINT,2033,21803.94599673383
GLOBAL,MINCOAINT,2034,20194.752501724888
GLOBAL,MINCOAINT,2035,18571.53150876567
GLOBAL,MINCOAINT,2036,16981.44784486975
GLOBAL,MINCOAINT,2037,15461.709163870377
GLOBAL,MINCOAINT,2038,13996.481571460916
GLOBAL,MINCOAINT,2039,12711.215271505254
GLOBAL,MINCOAINT,2040,11577.783959788869
GLOBAL,MINCOAINT,2041,10253.066786378307
GLOBAL,MINCOAINT,2042,9309.507461506602
GLOBAL,MINCOAINT,2043,8339.73926609343
GLOBAL,MINCOAINT,2044,7480.306930467276
GLOBAL,MINCOAINT,2045,6611.760977871978
GLOBAL,MINCOAINT,2046,5637.278509833588
GLOBAL,MINCOAINT,2047,4696.0775285412055
GLOBAL,MINCOAINT,2048,3815.924571871385
GLOBAL,MINCOAINT,2049,3044.3010464189447
GLOBAL,MINCOAINT,2050,2327.40528139198
GLOBAL,MINGASINT,2031,3688.5218032997414
GLOBAL,MINGASINT,2032,4699.191027697743
GLOBAL,MINGASINT,2033,5713.149318257203
GLOBAL,MINGASINT,2034,6141.2409948528375
GLOBAL,MINGASINT,2035,6583.5519382981065
GLOBAL,MINGASINT,2036,7244.614012404912
GLOBAL,MINGASINT,2037,7802.470304363813
GLOBAL,MINGASINT,2038,8288.620655014422
GLOBAL,MINGASINT,2039,8582.657774278334
GLOBAL,MINGASINT,2040,8717.062897487762
GLOBAL,MINGASINT,2041,9225.636926474386
GLOBAL,MINGASINT,2042,9323.574398727123
GLOBAL,MINGASINT,2043,9446.089969924722
GLOBAL,MINGASINT,2044,9529.473628682577
GLOBAL,MINGASINT,2045,9559.66661272133
GLOBAL,MINGASINT,2046,9828.341584015981
GLOBAL,MINGASINT,2047,10064.364778991752
GLOBAL,MINGASINT,2048,10238.304366152397
GLOBAL,MINGASINT,2049,10294.773368510107
GLOBAL,MINGASINT,2050,10151.756314074353
GLOBAL,MINURNINT,2021,1153.2675444084641
GLOBAL,MINURNINT,2022,1218.9006482355292
GLOBAL,MINURNINT,2023,1456.79163181593
GLOBAL,MINURNINT,2024,1406.5412369169433
GLOBAL,MINURNINT,2025,1278.6738532055938
GLOBAL,MINURNINT,2026,1395.305018550647
GLOBAL,MINURNINT,2027,1356.6690985180926
GLOBAL,MINURNINT,2028,1345.6027730403882
GLOBAL,MINURNINT,2029,1223.2752687147067
GLOBAL,MINURNINT,2030,1090.8608998417062
GLOBAL,MINURNINT,2031,991.6917294513274
GLOBAL,MINURNINT,2032,901.5379330731465
GLOBAL,MINURNINT,2033,819.5799382695733
GLOBAL,MINURNINT,2034,745.0726678926436
GLOBAL,MINURNINT,2035,677.3387926489861
GLOBAL,MINURNINT,2036,615.7625418126617
