REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2021,78258.93898883136
GLOBAL,MINCOAINT,2022,78356.83944691285
GLOBAL,MINCOAINT,2023,76384.96533717927
GLOBAL,MINCOAINT,2024,48820.619732714724
GLOBAL,MINCOAINT,2025,44755.678132976886
GLOBAL,MINCOAINT,2026,39050.32213420043
GLOBAL,MINCOAINT,2027,36759.52746272902
GLOBAL,MINCOAINT,2028,34519.44264454735
GLOBAL,MINCOAINT,2029,32599.166814816224
GLOBAL,MINCOAINT,2030,30243.774952752683
GLOBAL,MINCOAINT,2031,25708.31712624383
GLOBAL,MINCOAINT,2032,23925.443534831138
GLOBAL,MINCOAINT,2033,21797.87618639777
GLOBAL,MINCOAINT,2034,20189.129951874496
GLOBAL,MINCOAINT,2035,18566.404483740727
GLOBAL,MINCOAINT,2036,16976.794219274238
GLOBAL,MINCOAINT,2037,15457.47241904994
GLOBAL,MINCOAINT,2038,13992.646696408321
GLOBAL,MINCOAINT,2039,12707.732886622836
GLOBAL,MINCOAINT,2040,11574.612488326853
GLOBAL,MINCOAINT,2041,10250.258499177668
GLOBAL,MINCOAINT,2042,9306.958023292744
GLOBAL,MINCOAINT,2043,8337.455769511309
GLOBAL,MINCOAINT,2044,7478.25917977557
GLOBAL,MINCOAINT,2045,6609.951380943142
GLOBAL,MINCOAINT,2046,5635.736022932022
GLOBAL,MINCOAINT,2047,4694.792575515756
GLOBAL,MINCOAINT,2048,3814.88044860176
GLOBAL,MINCOAINT,2049,3043.468056798096
GLOBAL,MINCOAINT,2050,2326.7684506668493
GLOBAL,MINGASINT,2031,3687.8891347425338
GLOBAL,MINGASINT,2032,4698.389149774172
GLOBAL,MINGASINT,2033,5712.176586547713
GLOBAL,MINGASINT,2034,6140.194347305294
GLOBAL,MINGASINT,2035,6582.403382587405
GLOBAL,MINGASINT,2036,7243.332145423868
GLOBAL,MINGASINT,2037,7801.097589068483
GLOBAL,MINGASINT,2038,8287.168894496255
GLOBAL,MINGASINT,2039,8581.159369062885
GLOBAL,MINGASINT,2040,8715.544635994349
GLOBAL,MINGASINT,2041,9224.03487607213
GLOBAL,MINGASINT,2042,9321.958155344793
GLOBAL,MINGASINT,2043,9444.455118755659
GLOBAL,MINGASINT,2044,9527.826603120164
GLOBAL,MINGASINT,2045,9558.016361030752
GLOBAL,MINGASINT,2046,9826.647717186934
GLOBAL,MINGASINT,2047,10062.633986958701
GLOBAL,MINGASINT,2048,10236.545928454923
GLOBAL,MINGASINT,2049,10293.005751056815
GLOBAL,MINGASINT,2050,10150.002194051882
GLOBAL,MINURNINT,2021,1152.7508711984642
GLOBAL,MINURNINT,2022,1218.354570862802
GLOBAL,MINURNINT,2023,1456.13897735312
GLOBAL,MINURNINT,2024,1405.9110950386562
GLOBAL,MINURNINT,2025,1278.1009969526056
GLOBAL,MINURNINT,2026,1394.679910603475
GLOBAL,MINURNINT,2027,1356.061299746275
GLOBAL,MINURNINT,2028,1344.9999320738877
GLOBAL,MINURNINT,2029,1222.7272314724335
GLOBAL,MINURNINT,2030,1090.3721853106763
GLOBAL,MINURNINT,2031,991.2474435140275
GLOBAL,MINURNINT,2032,901.1340367665102
GLOBAL,MINURNINT,2033,819.2127598089949
GLOBAL,MINURNINT,2034,744.7388692921178
GLOBAL,MINURNINT,2035,677.0353393757808
GLOBAL,MINURNINT,2036,615.4866752006568
GLOBAL,MINURNINT,2037,559.5333387678656
GLOBAL,MINURNINT,2038,508.6666708704834
GLOBAL,MINURNINT,2039,462.4242469610702
GLOBAL,MINURNINT,2040,420.3856793891105
GLOBAL,MINURNINT,2041,382.1687992161833
GLOBAL,MINURNINT,2042,343.2047182415944
GLOBAL,MINURNINT,2043,312.004288750195
GLOBAL,MINURNINT,2044,283.6402628321209
GLOBAL,MINURNINT,2045,254.3659725565874
GLOBAL,MINURNINT,2046,231.24179323326123
GLOBAL,MINURNINT,2047,207.33649511461292
GLOBAL,MINURNINT,2048,188.48772319433496
GLOBAL,MINURNINT,2049,171.35247359227978
GLOBAL,MINURNINT,2050,155.7749779707963
GLOBAL,PWRBIOINDNO01,2021,15.231564863198336
GLOBAL,PWRBIOINDNO01,2022,13.846877148362122
GLOBAL,PWRBIOINDNO01,2023,12.588070134874657
GLOBAL,PWRBIOINDNO01,2024,11.443700122613322
GLOBAL,PWRBIOINDNO01,2025,10.403363747830292
GLOBAL,PWRBIOINDNO01,2026,9.457603407118446
GLOBAL,PWRBIOINDNO01,2027,8.597821279198588
GLOBAL,PWRBIOINDNO01,2028,7.816201162907806
GLOBAL,PWRBIOINDNO01,2029,7.1056374208252775
GLOBAL,PWRBIOINDNO01,2030,6.459670382568433
GLOBAL,PWRBIOINDNO01,2031,5.872427620516757
GLOBAL,PWRBIOINDNO01,2032,5.338570564106143
GLOBAL,PWRBIOINDNO01,2033,4.8532459673692205
GLOBAL,PWRBIOINDNO01,2034,4.412041788517472
GLOBAL,PWRBIOINDNO01,2035,4.010947080470429
GLOBAL,PWRBIOINDNO01,2036,3.6463155277003905
GLOBAL,PWRBIOINDNO01,2037,3.3148322979094456
GLOBAL,PWRBIOINDNO01,2038,3.0134839071904045
GLOBAL,PWRBIOINDNO01,2039,1.9035237655321375
GLOBAL,PWRBIOINDNO01,2040,1.2627798935962582
GLOBAL,PWRBIOINDNO01,2041,1.1479817214511436
GLOBAL,PWRBIOINDNO01,2042,1.043619746773767
GLOBAL,PWRBIOINDNO01,2043,0.9487452243397881
GLOBAL,PWRBIOINDNO01,2044,0.8624956584907163
GLOBAL,PWRBIOINDNO01,2045,0.7840869622642875
GLOBAL,PWRBIOINDNO01,2046,0.7128063293311704
GLOBAL,PWRBIOINDNO01,2047,0.6480057539374277
GLOBAL,PWRBIOINDNO01,2048,0.5890961399431159
GLOBAL,PWRBIOINDNO01,2049,0.5355419454028326
GLOBAL,PWRBIOINDNO01,2050,0.48685631400257506
GLOBAL,PWRBIOINDSO01,2021,173.7041981652351
GLOBAL,PWRBIOINDSO01,2022,157.912907422941
GLOBAL,PWRBIOINDSO01,2023,143.55718856631
GLOBAL,PWRBIOINDSO01,2024,130.5065350602818
GLOBAL,PWRBIOINDSO01,2025,118.64230460025618
GLOBAL,PWRBIOINDSO01,2026,107.85664054568743
GLOBAL,PWRBIOINDSO01,2027,98.05149140517037
GLOBAL,PWRBIOINDSO01,2028,89.13771945924579
GLOBAL,PWRBIOINDSO01,2029,81.03429041749617
GLOBAL,PWRBIOINDSO01,2030,73.66753674317832
GLOBAL,PWRBIOINDSO01,2031,66.97048794834393
GLOBAL,PWRBIOINDWE01,2021,7.937576055469555
GLOBAL,PWRBIOINDWE01,2022,7.215978232245049
GLOBAL,PWRBIOINDWE01,2023,6.559980211131863
GLOBAL,PWRBIOINDWE01,2024,5.963618373756238
GLOBAL,PWRBIOINDWE01,2025,5.421471248869307
GLOBAL,PWRBIOINDWE01,2026,4.928610226244825
GLOBAL,PWRBIOINDWE01,2027,4.480554751131658
GLOBAL,PWRBIOINDWE01,2028,4.073231591937871
GLOBAL,PWRBIOINDWE01,2029,3.702937810852609
