REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGINDEA01,2047,210.1189546525464
GLOBAL,PWRCCGINDEA01,2048,104.5339109341686
GLOBAL,PWRCCGINDEA01,2049,137.62828749043814
GLOBAL,PWRCCGINDEA01,2050,194.77552165175263
GLOBAL,PWRCCGINDNO01,2031,186.88363740013392
GLOBAL,PWRCCGINDNO01,2032,66.23876518612461
GLOBAL,PWRCCGINDNO01,2033,131.7468551136911
GLOBAL,PWRCCGINDNO01,2034,98.69693424307876
GLOBAL,PWRCCGINDNO01,2035,84.55241302743315
GLOBAL,PWRCCGINDNO01,2036,110.60544948889223
GLOBAL,PWRCCGINDNO01,2037,121.39370214584312
GLOBAL,PWRCCGINDNO01,2038,116.27345199014344
GLOBAL,PWRCCGINDNO01,2039,131.9100952722313
GLOBAL,PWRCCGINDNO01,2040,130.55154023417617
GLOBAL,PWRCCGINDNO01,2041,200.0427200417313
GLOBAL,PWRCCGINDNO01,2042,163.84651342706704
GLOBAL,PWRCCGINDNO01,2043,158.3719908486113
GLOBAL,PWRCCGINDNO01,2044,233.02435246410883
GLOBAL,PWRCCGINDNO01,2045,283.2748244214186
GLOBAL,PWRCCGINDNO01,2046,361.14700011533097
GLOBAL,PWRCCGINDNO01,2047,153.12501170181778
GLOBAL,PWRCCGINDNO01,2048,306.84778690826295
GLOBAL,PWRCCGINDNO01,2049,239.7241055095904
GLOBAL,PWRCCGINDNO01,2050,348.9704674792964
GLOBAL,PWRCCGINDSO01,2031,493.42457580724897
GLOBAL,PWRCCGINDSO01,2032,217.23503521426545
GLOBAL,PWRCCGINDSO01,2033,219.9380943051669
GLOBAL,PWRCCGINDSO01,2034,169.91260937522904
GLOBAL,PWRCCGINDSO01,2035,182.5343883172676
GLOBAL,PWRCCGINDSO01,2036,209.0649674871173
GLOBAL,PWRCCGINDSO01,2037,205.07088404236487
GLOBAL,PWRCCGINDSO01,2038,267.15406001825977
GLOBAL,PWRCCGINDSO01,2039,222.55625510572807
GLOBAL,PWRCCGINDSO01,2040,217.6021914934689
GLOBAL,PWRCCGINDSO01,2041,320.9487921544784
GLOBAL,PWRCCGINDSO01,2042,265.4120522574486
GLOBAL,PWRCCGINDSO01,2043,295.5540912512763
GLOBAL,PWRCCGINDSO01,2044,296.9396983168592
GLOBAL,PWRCCGINDSO01,2045,358.8747383822351
GLOBAL,PWRCCGINDSO01,2046,554.4654091428667
GLOBAL,PWRCCGINDSO01,2047,429.70651145630166
GLOBAL,PWRCCGINDSO01,2048,452.6654378858452
GLOBAL,PWRCCGINDSO01,2049,419.7763238529012
GLOBAL,PWRCCGINDSO01,2050,222.04405536813093
GLOBAL,PWRCCGINDWE01,2035,104.85507428606822
GLOBAL,PWRCCGINDWE01,2036,189.9397488284118
GLOBAL,PWRCCGINDWE01,2037,176.5462544308024
GLOBAL,PWRCCGINDWE01,2038,174.1811982167126
GLOBAL,PWRCCGINDWE01,2039,195.0814661493002
GLOBAL,PWRCCGINDWE01,2040,190.57149274699893
GLOBAL,PWRCCGINDWE01,2041,336.16996068583177
GLOBAL,PWRCCGINDWE01,2042,260.9455021462612
GLOBAL,PWRCCGINDWE01,2043,343.5660568540882
GLOBAL,PWRCCGINDWE01,2044,381.27640765102734
GLOBAL,PWRCCGINDWE01,2045,370.029237914797
GLOBAL,PWRCCGINDWE01,2046,241.2558839277574
GLOBAL,PWRCCGINDWE01,2047,591.9907092479997
GLOBAL,PWRCCGINDWE01,2048,647.4396367279363
GLOBAL,PWRCCGINDWE01,2049,733.5341486716203
GLOBAL,PWRCCGINDWE01,2050,710.3033306665591
GLOBAL,PWRHYDINDSO01,2049,213.148595905857
GLOBAL,PWRHYDINDSO01,2050,2642.8167765185785
GLOBAL,PWROCGINDEA01,2033,365.0608743444195
GLOBAL,PWROCGINDEA01,2034,285.8722883842357
GLOBAL,PWROCGINDEA01,2035,256.0135278757925
GLOBAL,PWROCGINDEA01,2043,314.0898281680104
GLOBAL,PWROCGINDEA01,2044,250.59423772567072
GLOBAL,PWROCGINDEA01,2045,197.4076357084158
GLOBAL,PWROCGINDEA01,2046,370.59246216484365
GLOBAL,PWROCGINDEA01,2048,454.7955332348236
GLOBAL,PWROCGINDEA01,2049,441.4636536176291
GLOBAL,PWROCGINDEA01,2050,232.0625088078451
GLOBAL,PWROCGINDNE01,2031,101.70603655082364
GLOBAL,PWROCGINDNE01,2036,232.3331085882708
GLOBAL,PWROCGINDNE01,2037,282.7317498153499
GLOBAL,PWROCGINDNE01,2038,255.9752304762013
GLOBAL,PWROCGINDNE01,2040,280.90799139583333
GLOBAL,PWROCGINDNE01,2041,316.4579803955475
GLOBAL,PWROCGINDNE01,2042,280.4349877109235
GLOBAL,PWROCGINDNE01,2047,424.671268192503
GLOBAL,PWROCGINDNO01,2032,277.3320294144228
GLOBAL,PWROCGINDNO01,2039,255.84072704743815
GLOBAL,PWRSPVINDEA01,2024,285.09127963079374
GLOBAL,PWRSPVINDEA01,2025,363.39154868621586
GLOBAL,PWRSPVINDEA01,2031,197.76680484793516
GLOBAL,PWRSPVINDEA01,2032,123.52976206162482
GLOBAL,PWRSPVINDEA01,2033,153.26296156855693
GLOBAL,PWRSPVINDEA01,2034,6.439082518407234
GLOBAL,PWRSPVINDEA01,2035,10.957573020920162
GLOBAL,PWRSPVINDEA01,2036,37.5745761723376
GLOBAL,PWRSPVINDEA01,2037,38.34498850465186
GLOBAL,PWRSPVINDEA01,2038,36.42746322140793
GLOBAL,PWRSPVINDEA01,2039,28.92969917850871
GLOBAL,PWRSPVINDEA01,2040,26.229630942010974
GLOBAL,PWRSPVINDEA01,2041,50.71987221686949
GLOBAL,PWRSPVINDEA01,2042,55.02647948519393
GLOBAL,PWRSPVINDEA01,2043,55.89364853631167
GLOBAL,PWRSPVINDEA01,2044,50.86385861796201
GLOBAL,PWRSPVINDEA01,2045,52.9571991290001
GLOBAL,PWRSPVINDEA01,2046,105.24896637200412
GLOBAL,PWRSPVINDEA01,2047,85.23300754466553
GLOBAL,PWRSPVINDEA01,2048,201.89924189345572
GLOBAL,PWRSPVINDEA01,2049,552.2157208321147
GLOBAL,PWRSPVINDEA01,2050,95.619523505534
GLOBAL,PWRSPVINDNO01,2024,764.4812427556545
GLOBAL,PWRSPVINDNO01,2025,934.2529327438511
GLOBAL,PWRSPVINDNO01,2033,31.68618664948152
GLOBAL,PWRSPVINDNO01,2034,164.1098731739535
GLOBAL,PWRSPVINDNO01,2035,155.97269358383977
GLOBAL,PWRSPVINDNO01,2036,207.826925426846
GLOBAL,PWRSPVINDNO01,2037,206.9954216636308
GLOBAL,PWRSPVINDNO01,2038,203.19454001267715
GLOBAL,PWRSPVINDNO01,2039,203.7708474294733
GLOBAL,PWRSPVINDNO01,2040,204.65890718589864
GLOBAL,PWRSPVINDNO01,2041,247.415719533704
GLOBAL,PWRSPVINDNO01,2042,255.63650810287913
GLOBAL,PWRSPVINDNO01,2043,248.2189933323942
GLOBAL,PWRSPVINDNO01,2044,293.5269854885004
GLOBAL,PWRSPVINDNO01,2045,355.6738092164624
GLOBAL,PWRSPVINDNO01,2046,960.254946248072
GLOBAL,PWRSPVINDNO01,2047,542.9828302491957
GLOBAL,PWRSPVINDNO01,2048,370.11573771485615
GLOBAL,PWRSPVINDNO01,2049,373.5174676361996
GLOBAL,PWRSPVINDNO01,2050,379.44860111284135
GLOBAL,PWRSPVINDSO01,2024,463.0973914566909
GLOBAL,PWRSPVINDSO01,2025,590.2870073470198
GLOBAL,PWRSPVINDSO01,2026,705.9139308836805
GLOBAL,PWRSPVINDSO01,2027,318.7110637273823
