REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGINDEA01,2047,1.4363647708312204
GLOBAL,PWRCCGINDEA01,2048,1.9500487089386245
GLOBAL,PWRCCGINDEA01,2049,2.5381437152184847
GLOBAL,PWRCCGINDEA01,2050,3.285484343209208
GLOBAL,PWRCCGINDNO01,2031,8.751908342830667
GLOBAL,PWRCCGINDNO01,2032,10.624116025009126
GLOBAL,PWRCCGINDNO01,2033,14.24006484990462
GLOBAL,PWRCCGINDNO01,2034,15.894889298728122
GLOBAL,PWRCCGINDNO01,2035,16.768925839535555
GLOBAL,PWRCCGINDNO01,2036,17.842692597207627
GLOBAL,PWRCCGINDNO01,2037,18.740917511331386
GLOBAL,PWRCCGINDNO01,2038,19.177603294844676
GLOBAL,PWRCCGINDNO01,2039,19.59327454524552
GLOBAL,PWRCCGINDNO01,2040,19.716689831380215
GLOBAL,PWRCCGINDNO01,2041,20.53106090391774
GLOBAL,PWRCCGINDNO01,2042,20.5752893461885
GLOBAL,PWRCCGINDNO01,2043,20.3602470562617
GLOBAL,PWRCCGINDNO01,2044,20.471216342184405
GLOBAL,PWRCCGINDNO01,2045,20.58574805957613
GLOBAL,PWRCCGINDNO01,2046,21.936756191346777
GLOBAL,PWRCCGINDNO01,2047,21.061865245365084
GLOBAL,PWRCCGINDNO01,2048,21.03831201931144
GLOBAL,PWRCCGINDNO01,2049,20.458880972391107
GLOBAL,PWRCCGINDNO01,2050,20.351366004508808
GLOBAL,PWRCCGINDSO01,2031,22.862418356877377
GLOBAL,PWRCCGINDSO01,2032,29.652693901968227
GLOBAL,PWRCCGINDSO01,2033,34.72740887799367
GLOBAL,PWRCCGINDSO01,2034,36.74175507964937
GLOBAL,PWRCCGINDSO01,2035,38.27154531564855
GLOBAL,PWRCCGINDSO01,2036,39.70342495162319
GLOBAL,PWRCCGINDSO01,2037,40.351555437839245
GLOBAL,PWRCCGINDSO01,2038,41.60110491134471
GLOBAL,PWRCCGINDSO01,2039,41.461962252111945
GLOBAL,PWRCCGINDSO01,2040,40.8673007330324
GLOBAL,PWRCCGINDSO01,2041,41.33444064290829
GLOBAL,PWRCCGINDSO01,2042,40.67185457026709
GLOBAL,PWRCCGINDSO01,2043,40.06379563282693
GLOBAL,PWRCCGINDSO01,2044,39.20785485534767
GLOBAL,PWRCCGINDSO01,2045,38.50998243925402
GLOBAL,PWRCCGINDSO01,2046,38.59383173240376
GLOBAL,PWRCCGINDSO01,2047,37.91993458120769
GLOBAL,PWRCCGINDSO01,2048,37.269113022579575
GLOBAL,PWRCCGINDSO01,2049,36.15865957676745
GLOBAL,PWRCCGINDSO01,2050,33.36482127483604
GLOBAL,PWRCCGINDWE01,2035,1.3869977716999864
GLOBAL,PWRCCGINDWE01,2036,4.547144228620939
GLOBAL,PWRCCGINDWE01,2037,7.782218115419381
GLOBAL,PWRCCGINDWE01,2038,10.262815205863982
GLOBAL,PWRCCGINDWE01,2039,12.506511514378936
GLOBAL,PWRCCGINDWE01,2040,14.129771798039627
GLOBAL,PWRCCGINDWE01,2041,17.207279322949336
GLOBAL,PWRCCGINDWE01,2042,18.665082907694885
GLOBAL,PWRCCGINDWE01,2043,20.538284497047737
GLOBAL,PWRCCGINDWE01,2044,21.997955506469033
GLOBAL,PWRCCGINDWE01,2045,22.840096458607253
GLOBAL,PWRCCGINDWE01,2046,23.708074027171406
GLOBAL,PWRCCGINDWE01,2047,25.843483522856907
GLOBAL,PWRCCGINDWE01,2048,27.495029573231264
GLOBAL,PWRCCGINDWE01,2049,29.080818674712276
GLOBAL,PWRCCGINDWE01,2050,30.008938532239696
GLOBAL,PWRCOAINDEA01,2021,340.0035501867929
GLOBAL,PWRCOAINDEA01,2022,340.26705952942643
GLOBAL,PWRCOAINDEA01,2023,335.603208192072
GLOBAL,PWRCOAINDEA01,2024,179.6458051985626
GLOBAL,PWRCOAINDEA01,2025,148.66326013843866
GLOBAL,PWRCOAINDEA01,2026,139.79466666909866
GLOBAL,PWRCOAINDEA01,2027,131.90304752479705
GLOBAL,PWRCOAINDEA01,2028,125.16720177788896
GLOBAL,PWRCOAINDEA01,2029,124.31821618885922
GLOBAL,PWRCOAINDEA01,2030,112.57615996540568
GLOBAL,PWRCOAINDEA01,2031,101.67550481380992
GLOBAL,PWRCOAINDEA01,2032,93.75969796640936
GLOBAL,PWRCOAINDEA01,2033,86.58377875201293
GLOBAL,PWRCOAINDEA01,2034,83.95778757883664
GLOBAL,PWRCOAINDEA01,2035,80.1468405868658
GLOBAL,PWRCOAINDEA01,2036,75.00544977185142
GLOBAL,PWRCOAINDEA01,2037,70.1673220292337
GLOBAL,PWRCOAINDEA01,2038,65.54470693289849
GLOBAL,PWRCOAINDEA01,2039,61.02345060991526
GLOBAL,PWRCOAINDEA01,2040,56.72477903493517
GLOBAL,PWRCOAINDEA01,2041,53.24728750073084
GLOBAL,PWRCOAINDEA01,2042,49.98299069565925
GLOBAL,PWRCOAINDEA01,2043,46.86911213471723
GLOBAL,PWRCOAINDEA01,2044,42.515902235626335
GLOBAL,PWRCOAINDEA01,2045,37.370863865044576
GLOBAL,PWRCOAINDEA01,2046,31.821945482433037
GLOBAL,PWRCOAINDEA01,2047,25.4911869449155
GLOBAL,PWRCOAINDEA01,2048,21.84652513486341
GLOBAL,PWRCOAINDEA01,2049,18.53854576012214
GLOBAL,PWRCOAINDEA01,2050,14.911177024841807
GLOBAL,PWRCOAINDNE01,2021,11.610219625096535
GLOBAL,PWRCOAINDNE01,2022,10.554745113724143
GLOBAL,PWRCOAINDNE01,2023,9.595222830658292
GLOBAL,PWRCOAINDNO01,2021,479.1492916211593
GLOBAL,PWRCOAINDNO01,2022,494.3321381852434
GLOBAL,PWRCOAINDNO01,2023,490.08558220104806
GLOBAL,PWRCOAINDNO01,2024,252.7762751441244
GLOBAL,PWRCOAINDNO01,2025,275.1520055866996
GLOBAL,PWRCOAINDNO01,2026,260.4500600362616
