REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2021,11045.675
GLOBAL,MINCOAINT,2022,12154.714
GLOBAL,MINCOAINT,2023,12978.827
GLOBAL,MINCOAINT,2024,13243.781
GLOBAL,MINCOAINT,2025,17079.32
GLOBAL,MINCOAINT,2026,17546.89
GLOBAL,MINCOAINT,2027,18161.372
GLOBAL,MINCOAINT,2028,18744.826
GLOBAL,MINCOAINT,2029,19452.13
GLOBAL,MINCOAINT,2030,19844.024
GLOBAL,MINCOAINT,2031,18556.168
GLOBAL,MINCOAINT,2032,18999.023
GLOBAL,MINCOAINT,2033,19049.665
GLOBAL,MINCOAINT,2034,19410.567
GLOBAL,MINCOAINT,2035,19469.869
GLOBAL,MINCOAINT,2036,19439.349
GLOBAL,MINCOAINT,2037,19467.728
GLOBAL,MINCOAINT,2038,19383.262
GLOBAL,MINCOAINT,2039,19361.772
GLOBAL,MINCOAINT,2040,19396.431
GLOBAL,MINCOAINT,2041,18892.752
GLOBAL,MINCOAINT,2042,18866.48
GLOBAL,MINCOAINT,2043,18588.29
GLOBAL,MINCOAINT,2044,18336.179
GLOBAL,MINCOAINT,2045,17824.046
GLOBAL,MINCOAINT,2046,16712.392
GLOBAL,MINCOAINT,2047,15314.297
GLOBAL,MINCOAINT,2048,13688.45
GLOBAL,MINCOAINT,2049,12012.538
GLOBAL,MINCOAINT,2050,10102.105
GLOBAL,MINGASINT,2031,1640.9793
GLOBAL,MINGASINT,2032,2287.8513
GLOBAL,MINGASINT,2033,3052.8488
GLOBAL,MINGASINT,2034,3613.3112
GLOBAL,MINGASINT,2035,4361.6384
GLOBAL,MINGASINT,2036,5354.6765
GLOBAL,MINGASINT,2037,6307.5897
GLOBAL,MINGASINT,2038,7337.8804
GLOBAL,MINGASINT,2039,8331.0091
GLOBAL,MINGASINT,2040,9285.5492
GLOBAL,MINGASINT,2041,10777.794
GLOBAL,MINGASINT,2042,11960.605
GLOBAL,MINGASINT,2043,13308.138
GLOBAL,MINGASINT,2044,14747.965
GLOBAL,MINGASINT,2045,16254.538
GLOBAL,MINGASINT,2046,18352.549
GLOBAL,MINGASINT,2047,20627.885
GLOBAL,MINGASINT,2048,23053.108
GLOBAL,MINGASINT,2049,25490.8
GLOBAL,MINGASINT,2050,27825.769
GLOBAL,MINURNINT,2021,516.67321
GLOBAL,MINURNINT,2022,600.68511
GLOBAL,MINURNINT,2023,789.7119
GLOBAL,MINURNINT,2024,838.71884
GLOBAL,MINURNINT,2025,838.71884
GLOBAL,MINURNINT,2026,1006.7426
GLOBAL,MINURNINT,2027,1076.7526
GLOBAL,MINURNINT,2028,1174.7665
GLOBAL,MINURNINT,2029,1174.7665
