REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2021,82078.669
GLOBAL,MINCOAINT,2022,90399.482
GLOBAL,MINCOAINT,2023,96937.006
GLOBAL,MINCOAINT,2024,68151.857
GLOBAL,MINCOAINT,2025,68725.077
GLOBAL,MINCOAINT,2026,65960.567
GLOBAL,MINCOAINT,2027,68300.262
GLOBAL,MINCOAINT,2028,70551.932
GLOBAL,MINCOAINT,2029,73289.934
GLOBAL,MINCOAINT,2030,74793.957
GLOBAL,MINCOAINT,2031,69935.366
GLOBAL,MINCOAINT,2032,71593.876
GLOBAL,MINCOAINT,2033,71750.139
GLOBAL,MINCOAINT,2034,73100.249
GLOBAL,MINCOAINT,2035,73947.201
GLOBAL,MINCOAINT,2036,74377.624
GLOBAL,MINCOAINT,2037,74493.398
GLOBAL,MINCOAINT,2038,74177.443
GLOBAL,MINCOAINT,2039,74102.483
GLOBAL,MINCOAINT,2040,74244.421
GLOBAL,MINCOAINT,2041,72324.405
GLOBAL,MINCOAINT,2042,72235.468
GLOBAL,MINCOAINT,2043,71181.8
GLOBAL,MINCOAINT,2044,70230.961
GLOBAL,MINCOAINT,2045,68284.016
GLOBAL,MINCOAINT,2046,64041.887
GLOBAL,MINCOAINT,2047,58684.387
GLOBAL,MINCOAINT,2048,52454.139
GLOBAL,MINCOAINT,2049,46032.045
GLOBAL,MINCOAINT,2050,38711.265
GLOBAL,MINGASINT,2031,10032.313
GLOBAL,MINGASINT,2032,14059.338
GLOBAL,MINGASINT,2033,18802.266
GLOBAL,MINGASINT,2034,22232.248
GLOBAL,MINGASINT,2035,26216.724
GLOBAL,MINGASINT,2036,31734.015
GLOBAL,MINGASINT,2037,37595.427
GLOBAL,MINGASINT,2038,43931.717
GLOBAL,MINGASINT,2039,50039.233
GLOBAL,MINGASINT,2040,55905.16
GLOBAL,MINGASINT,2041,65083.512
GLOBAL,MINGASINT,2042,72351.891
GLOBAL,MINGASINT,2043,80632.908
GLOBAL,MINGASINT,2044,89479.17
GLOBAL,MINGASINT,2045,98738.961
GLOBAL,MINGASINT,2046,111665.46
GLOBAL,MINGASINT,2047,125781.81
GLOBAL,MINGASINT,2048,140751.26
GLOBAL,MINGASINT,2049,155680.33
GLOBAL,MINGASINT,2050,168869.16
GLOBAL,MINURNINT,2021,1209.0153
GLOBAL,MINURNINT,2022,1405.6032
GLOBAL,MINURNINT,2023,1847.9258
GLOBAL,MINURNINT,2024,1962.6021
GLOBAL,MINURNINT,2025,1962.6021
GLOBAL,MINURNINT,2026,2355.7778
GLOBAL,MINURNINT,2027,2519.601
