REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,MINCOAINT,COAINT,2021,2665.511221168515
GLOBAL,S1D1,MINCOAINT,COAINT,2022,2961.647400603402
GLOBAL,S1D1,MINCOAINT,COAINT,2023,3018.2557510350166
GLOBAL,S1D1,MINCOAINT,COAINT,2024,1158.6876736771715
GLOBAL,S1D1,MINCOAINT,COAINT,2025,229.5151637681562
GLOBAL,S1D1,MINURNINT,URNINT,2021,76.41596769983995
GLOBAL,S1D1,MINURNINT,URNINT,2022,88.84132830143997
GLOBAL,S1D1,MINURNINT,URNINT,2023,195.76957941504003
GLOBAL,S1D1,MINURNINT,URNINT,2024,207.91840083264003
GLOBAL,S1D1,MINURNINT,URNINT,2025,185.3941652770973
GLOBAL,S1D1,MINURNINT,URNINT,2026,173.70680086603096
GLOBAL,S1D1,MINURNINT,URNINT,2027,252.85813594171486
GLOBAL,S1D1,MINURNINT,URNINT,2028,215.7173348830622
GLOBAL,S1D1,MINURNINT,URNINT,2029,210.33917905142965
GLOBAL,S1D1,MINURNINT,URNINT,2030,265.52943582606747
GLOBAL,S1D1,MINURNINT,URNINT,2031,241.16015451500968
GLOBAL,S1D1,MINURNINT,URNINT,2032,199.85198019024511
GLOBAL,S1D1,MINURNINT,URNINT,2033,237.24669104780736
GLOBAL,S1D1,MINURNINT,URNINT,2034,235.26344596700613
GLOBAL,S1D1,MINURNINT,URNINT,2035,246.29683622354884
GLOBAL,S1D1,MINURNINT,URNINT,2036,245.04314951097754
GLOBAL,S1D1,MINURNINT,URNINT,2037,243.79624010674516
GLOBAL,S1D1,MINURNINT,URNINT,2038,197.18028728447493
GLOBAL,S1D1,MINURNINT,URNINT,2039,194.89910576272115
GLOBAL,S1D1,MINURNINT,URNINT,2040,238.78649085192268
GLOBAL,S1D1,MINURNINT,URNINT,2041,219.30774571298537
GLOBAL,S1D1,MINURNINT,URNINT,2042,185.47324608038525
GLOBAL,S1D1,MINURNINT,URNINT,2043,184.03714750829184
GLOBAL,S1D1,MINURNINT,URNINT,2044,182.07094509245465
