REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,MINCOAINT,COAINT,2021,10709.638501157246
GLOBAL,MINCOAINT,COAINT,2022,11795.339549710761
GLOBAL,MINCOAINT,COAINT,2023,12648.356698919059
GLOBAL,MINCOAINT,COAINT,2024,8892.46573278865
GLOBAL,MINCOAINT,COAINT,2025,8967.259482389016
GLOBAL,MINCOAINT,COAINT,2026,8606.545791705987
GLOBAL,MINCOAINT,COAINT,2027,8911.829605688274
GLOBAL,MINCOAINT,COAINT,2028,9205.627827359383
GLOBAL,MINCOAINT,COAINT,2029,9562.882843740925
GLOBAL,MINCOAINT,COAINT,2030,9759.127971366328
GLOBAL,MINCOAINT,COAINT,2031,9125.17818637751
GLOBAL,MINCOAINT,COAINT,2032,9341.580849343663
GLOBAL,MINCOAINT,COAINT,2033,9361.970118443489
GLOBAL,MINCOAINT,COAINT,2034,9538.13268895578
GLOBAL,MINCOAINT,COAINT,2035,9648.643078571902
GLOBAL,MINCOAINT,COAINT,2036,9704.804843734675
GLOBAL,MINCOAINT,COAINT,2037,9719.911042914944
GLOBAL,MINCOAINT,COAINT,2038,9678.685126306671
GLOBAL,MINCOAINT,COAINT,2039,9668.904323421026
GLOBAL,MINCOAINT,COAINT,2040,9687.424455714518
GLOBAL,MINCOAINT,COAINT,2041,9436.900423596479
GLOBAL,MINCOAINT,COAINT,2042,9425.29595909987
GLOBAL,MINCOAINT,COAINT,2043,9287.813129059326
GLOBAL,MINCOAINT,COAINT,2044,9163.747540043445
GLOBAL,MINCOAINT,COAINT,2045,8909.709854371704
GLOBAL,MINCOAINT,COAINT,2046,8356.19609664
GLOBAL,MINCOAINT,COAINT,2047,7657.14862224
GLOBAL,MINCOAINT,COAINT,2048,6844.22480952
GLOBAL,MINCOAINT,COAINT,2049,6006.26898144
GLOBAL,MINCOAINT,COAINT,2050,5051.05237152
GLOBAL,MINGASINT,GASINT,2031,814.1789152982573
GLOBAL,MINGASINT,GASINT,2032,1140.994799682246
GLOBAL,MINGASINT,GASINT,2033,1525.910226660106
GLOBAL,MINGASINT,GASINT,2034,1804.2726451518993
GLOBAL,MINGASINT,GASINT,2035,2127.6354867320174
GLOBAL,MINGASINT,GASINT,2036,2575.3947985406508
GLOBAL,MINGASINT,GASINT,2037,3051.081538492012
GLOBAL,MINGASINT,GASINT,2038,3565.307365285119
GLOBAL,MINGASINT,GASINT,2039,4060.96679109283
GLOBAL,MINGASINT,GASINT,2040,4537.01993536529
GLOBAL,MINGASINT,GASINT,2041,5281.895182196844
GLOBAL,MINGASINT,GASINT,2042,5871.765243868942
GLOBAL,MINGASINT,GASINT,2043,6543.816603540009
GLOBAL,MINGASINT,GASINT,2044,7261.740765789644
GLOBAL,MINGASINT,GASINT,2045,8013.22519546366
GLOBAL,MINGASINT,GASINT,2046,9062.283652799588
GLOBAL,MINGASINT,GASINT,2047,10207.905207316262
GLOBAL,MINGASINT,GASINT,2048,11422.760643602347
GLOBAL,MINGASINT,GASINT,2049,12634.339265714265
GLOBAL,MINGASINT,GASINT,2050,13704.687798976785
GLOBAL,MINURNINT,URNINT,2021,465.00588863999997
GLOBAL,MINURNINT,URNINT,2022,540.61660224
