REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D2,MINCOAINT,1,2021,11045.67519938932
GLOBAL,S1D1,MINCOAINT,1,2021,10752.36474856198
GLOBAL,S2D2,MINCOAINT,1,2021,10790.615122521103
GLOBAL,S2D1,MINCOAINT,1,2021,10256.209145864928
GLOBAL,S1D2,MINCOAINT,1,2022,12154.71446040448
GLOBAL,S1D1,MINCOAINT,1,2022,11946.943931437683
GLOBAL,S2D2,MINCOAINT,1,2022,11772.823843060693
GLOBAL,S2D1,MINCOAINT,1,2022,11315.388907328394
GLOBAL,S1D2,MINCOAINT,1,2023,12978.826714413692
GLOBAL,S1D1,MINCOAINT,1,2023,12175.295486224351
GLOBAL,S2D2,MINCOAINT,1,2023,12588.140268610778
GLOBAL,S2D1,MINCOAINT,1,2023,12848.788749163472
GLOBAL,S1D2,MINCOAINT,1,2024,13243.781413781548
GLOBAL,S1D1,MINCOAINT,1,2024,4674.012398859102
GLOBAL,S2D2,MINCOAINT,1,2024,13243.781413781548
GLOBAL,S2D1,MINCOAINT,1,2024,4410.5011988127935
GLOBAL,S1D2,MINCOAINT,1,2025,17079.320377004657
GLOBAL,S1D1,MINCOAINT,1,2025,925.83769168276
GLOBAL,S2D2,MINCOAINT,1,2025,16608.649244782
GLOBAL,S2D1,MINCOAINT,1,2025,1256.407467480615
GLOBAL,S1D2,MINCOAINT,1,2026,17546.889753283882
GLOBAL,S2D2,MINCOAINT,1,2026,16884.85450958712
GLOBAL,S1D2,MINCOAINT,1,2027,18161.37215421356
GLOBAL,S2D2,MINCOAINT,1,2027,17491.572584921585
GLOBAL,S1D2,MINCOAINT,1,2028,18744.82553563502
GLOBAL,S2D2,MINCOAINT,1,2028,18083.24306654289
GLOBAL,S1D2,MINCOAINT,1,2029,19452.130459361197
GLOBAL,S2D2,MINCOAINT,1,2029,18804.838170826195
GLOBAL,S1D2,MINCOAINT,1,2030,19844.023913193472
GLOBAL,S2D2,MINCOAINT,1,2030,19197.91528475076
GLOBAL,S1D2,MINCOAINT,1,2031,18556.168328779368
GLOBAL,S2D2,MINCOAINT,1,2031,17949.639260900854
GLOBAL,S1D2,MINCOAINT,1,2032,18999.022978457164
GLOBAL,S2D2,MINCOAINT,1,2032,18372.562685379344
GLOBAL,S1D2,MINCOAINT,1,2033,19049.66464463916
GLOBAL,S2D2,MINCOAINT,1,2033,18403.642415856568
GLOBAL,S1D2,MINCOAINT,1,2034,19410.566780863654
GLOBAL,S2D2,MINCOAINT,1,2034,18747.53345489758
GLOBAL,S1D2,MINCOAINT,1,2035,19469.868586683595
GLOBAL,S2D2,MINCOAINT,1,2035,19127.57896046426
GLOBAL,S1D2,MINCOAINT,1,2036,19439.348895357874
GLOBAL,S2D2,MINCOAINT,1,2036,19380.365936435774
GLOBAL,S1D2,MINCOAINT,1,2037,19467.728489501165
GLOBAL,S2D2,MINCOAINT,1,2037,19412.38060439352
GLOBAL,S1D2,MINCOAINT,1,2038,19383.2623503935
GLOBAL,S2D2,MINCOAINT,1,2038,19331.90951862008
GLOBAL,S1D2,MINCOAINT,1,2039,19361.772387942583
GLOBAL,S2D2,MINCOAINT,1,2039,19314.24414299905
GLOBAL,S1D2,MINCOAINT,1,2040,19396.43090317519
GLOBAL,S2D2,MINCOAINT,1,2040,19353.62647686389
GLOBAL,S1D2,MINCOAINT,1,2041,18892.75206111293
GLOBAL,S2D2,MINCOAINT,1,2041,18855.165361549312
GLOBAL,S1D2,MINCOAINT,1,2042,18866.48030881404
GLOBAL,S2D2,MINCOAINT,1,2042,18834.968229055416
GLOBAL,S1D2,MINCOAINT,1,2043,18588.2901820337
GLOBAL,S2D2,MINCOAINT,1,2043,18563.173315879303
GLOBAL,S1D2,MINCOAINT,1,2044,18336.17894112
GLOBAL,S2D2,MINCOAINT,1,2044,18318.955892660837
GLOBAL,S1D2,MINCOAINT,1,2045,17824.0462848
GLOBAL,S2D2,MINCOAINT,1,2045,17814.870211700847
GLOBAL,S1D2,MINCOAINT,1,2046,16712.39219328
GLOBAL,S2D2,MINCOAINT,1,2046,16712.39219328
GLOBAL,S1D2,MINCOAINT,1,2047,15314.297244479998
GLOBAL,S2D2,MINCOAINT,1,2047,15314.29724448
GLOBAL,S1D2,MINCOAINT,1,2048,13688.44961904
GLOBAL,S2D2,MINCOAINT,1,2048,13688.44961904
GLOBAL,S1D2,MINCOAINT,1,2049,12012.53796288
GLOBAL,S2D2,MINCOAINT,1,2049,12012.537962880002
GLOBAL,S1D2,MINCOAINT,1,2050,10102.10474304
GLOBAL,S2D2,MINCOAINT,1,2050,10102.10474304
GLOBAL,S1D2,MINGASINT,1,2031,1640.9793143335585
GLOBAL,S2D2,MINGASINT,1,2031,1615.946621479445
GLOBAL,S1D2,MINGASINT,1,2032,2287.8513478670698
GLOBAL,S2D2,MINGASINT,1,2032,2276.22550791749
GLOBAL,S1D2,MINGASINT,1,2033,3050.7746999760634
GLOBAL,S2D2,MINGASINT,1,2033,3052.8487843555727
GLOBAL,S1D2,MINGASINT,1,2034,3603.698588614191
GLOBAL,S2D2,MINGASINT,1,2034,3613.3112456741032
GLOBAL,S1D2,MINGASINT,1,2035,4361.638419820036
GLOBAL,S2D2,MINGASINT,1,2035,4150.675614671283
GLOBAL,S1D2,MINGASINT,1,2036,5354.676507351954
GLOBAL,S2D2,MINGASINT,1,2036,4950.299454058316
GLOBAL,S1D2,MINGASINT,1,2037,6307.589744778631
GLOBAL,S2D2,MINGASINT,1,2037,5900.158828882941
GLOBAL,S1D2,MINGASINT,1,2038,7337.880395597762
GLOBAL,S2D2,MINGASINT,1,2038,6926.802123032265
GLOBAL,S1D2,MINGASINT,1,2039,8331.009103314764
GLOBAL,S2D2,MINGASINT,1,2039,7916.341270849267
GLOBAL,S1D2,MINGASINT,1,2040,9285.54924820824
GLOBAL,S2D2,MINGASINT,1,2040,8866.054251227559
GLOBAL,S1D2,MINGASINT,1,2041,10777.79357179167
GLOBAL,S2D2,MINGASINT,1,2041,10353.352462315306
GLOBAL,S1D2,MINGASINT,1,2042,11960.60538223219
GLOBAL,S2D2,MINGASINT,1,2042,11530.072073040785
GLOBAL,S1D2,MINGASINT,1,2043,13308.1378361135
GLOBAL,S2D2,MINGASINT,1,2043,12870.802197411633
GLOBAL,S1D2,MINGASINT,1,2044,14747.964886357424
GLOBAL,S2D2,MINGASINT,1,2044,14302.738081958105
GLOBAL,S1D2,MINGASINT,1,2045,16254.537921632138
GLOBAL,S2D2,MINGASINT,1,2045,15802.162811150549
GLOBAL,S1D2,MINGASINT,1,2046,18352.548550077783
GLOBAL,S2D2,MINGASINT,1,2046,17900.38424131418
GLOBAL,S1D2,MINGASINT,1,2047,20627.885478265533
GLOBAL,S2D2,MINGASINT,1,2047,20207.26853333692
GLOBAL,S1D2,MINGASINT,1,2048,23053.108036977454
GLOBAL,S2D2,MINGASINT,1,2048,22641.39294421117
GLOBAL,S1D2,MINGASINT,1,2049,25490.799548024872
GLOBAL,S2D2,MINGASINT,1,2049,25050.25806330385
GLOBAL,S1D2,MINGASINT,1,2050,27825.768930623843
GLOBAL,S2D2,MINGASINT,1,2050,26999.91940132937
GLOBAL,S1D2,MINURNINT,1,2021,516.6732096000001
GLOBAL,S1D1,MINURNINT,1,2021,308.2531976597013
GLOBAL,S2D2,MINURNINT,1,2021,516.6732096000001
GLOBAL,S2D1,MINURNINT,1,2021,516.6732096
GLOBAL,S1D2,MINURNINT,1,2022,600.6851136
GLOBAL,S1D1,MINURNINT,1,2022,358.37566882388046
GLOBAL,S2D2,MINURNINT,1,2022,600.6851136
GLOBAL,S2D1,MINURNINT,1,2022,600.6851135999999
