REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
GLOBAL,S1D1,MINCOAINT,1,COAINT,2021,10633.201
GLOBAL,S1D1,MINCOAINT,1,COAINT,2022,11949.612
GLOBAL,S1D1,MINCOAINT,1,COAINT,2023,12197.805
GLOBAL,S1D1,MINCOAINT,1,COAINT,2024,4710.3696
GLOBAL,S1D1,MINCOAINT,1,COAINT,2025,1026.7422
GLOBAL,S1D1,MINURNINT,1,URNINT,2021,516.67321
GLOBAL,S1D1,MINURNINT,1,URNINT,2022,358.37567
GLOBAL,S1D1,MINURNINT,1,URNINT,2023,789.7119
GLOBAL,S1D1,MINURNINT,1,URNINT,2024,594.39453
GLOBAL,S1D1,MINURNINT,1,URNINT,2025,838.71884
GLOBAL,S1D1,MINURNINT,1,URNINT,2026,673.33245
GLOBAL,S1D1,MINURNINT,1,URNINT,2027,1023.1157
GLOBAL,S1D1,MINURNINT,1,URNINT,2028,1164.1327
GLOBAL,S1D1,MINURNINT,1,URNINT,2029,1174.7665
GLOBAL,S1D1,MINURNINT,1,URNINT,2030,814.92429
GLOBAL,S1D1,MINURNINT,1,URNINT,2031,1107.8351
GLOBAL,S1D1,MINURNINT,1,URNINT,2032,968.86574
GLOBAL,S1D1,MINURNINT,1,URNINT,2033,902.39324
GLOBAL,S1D1,MINURNINT,1,URNINT,2034,830.94558
GLOBAL,S1D1,MINURNINT,1,URNINT,2035,854.87694
GLOBAL,S1D1,MINURNINT,1,URNINT,2036,806.01874
GLOBAL,S1D1,MINURNINT,1,URNINT,2037,1001.4843
GLOBAL,S1D1,MINURNINT,1,URNINT,2038,913.48255
GLOBAL,S1D1,MINURNINT,1,URNINT,2039,990.88167
GLOBAL,S1D1,MINURNINT,1,URNINT,2040,980.93853
GLOBAL,S1D1,MINURNINT,1,URNINT,2041,969.6506
GLOBAL,S1D1,MINURNINT,1,URNINT,2042,949.21037
GLOBAL,S1D1,MINURNINT,1,URNINT,2043,935.80389
GLOBAL,S1D1,MINURNINT,1,URNINT,2044,897.01922
GLOBAL,S1D1,MINURNINT,1,URNINT,2045,752.43465
GLOBAL,S1D1,MINURNINT,1,URNINT,2046,752.43465
GLOBAL,S1D1,MINURNINT,1,URNINT,2047,743.24553
GLOBAL,S1D1,MINURNINT,1,URNINT,2048,832.83361
GLOBAL,S1D1,MINURNINT,1,URNINT,2049,685.39815
GLOBAL,S1D1,MINURNINT,1,URNINT,2050,908.73893
GLOBAL,S1D1,PWRBIOINDNO01,1,ELCINDNO01,2021,3.358584
GLOBAL,S1D1,PWRBIOINDNO01,1,ELCINDNO01,2022,3.358584
GLOBAL,S1D1,PWRBIOINDNO01,1,ELCINDNO01,2023,3.358584
GLOBAL,S1D1,PWRBIOINDNO01,1,ELCINDNO01,2024,3.358584
GLOBAL,S1D1,PWRBIOINDSO01,1,ELCINDSO01,2021,38.302049
GLOBAL,S1D1,PWRBIOINDSO01,1,ELCINDSO01,2022,38.302049
GLOBAL,S1D1,PWRBIOINDSO01,1,ELCINDSO01,2023,38.302049
GLOBAL,S1D1,PWRBIOINDSO01,1,ELCINDSO01,2024,38.302049
GLOBAL,S1D1,PWRBIOINDWE01,1,ELCINDWE01,2021,1.750248
GLOBAL,S1D1,PWRBIOINDWE01,1,ELCINDWE01,2022,1.750248
GLOBAL,S1D1,PWRBIOINDWE01,1,ELCINDWE01,2023,1.750248
GLOBAL,S1D1,PWRBIOINDWE01,1,ELCINDWE01,2024,1.750248
GLOBAL,S1D1,PWRCOAINDEA01,2,ELCINDEA01,2021,620.91215
GLOBAL,S1D1,PWRCOAINDEA01,2,ELCINDEA01,2022,686.32154
GLOBAL,S1D1,PWRCOAINDEA01,2,ELCINDEA01,2023,732.53094
GLOBAL,S1D1,PWRCOAINDEA01,2,ELCINDEA01,2024,277.01934
GLOBAL,S1D1,PWRCOAINDNE01,2,ELCINDNE01,2021,23.652
GLOBAL,S1D1,PWRCOAINDNE01,2,ELCINDNE01,2022,20.228457
GLOBAL,S1D1,PWRCOAINDNE01,2,ELCINDNE01,2023,23.652
