REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOINDNO01,BIOINDNO,2021,11.251256399999997
GLOBAL,S1D1,PWRBIOINDNO01,BIOINDNO,2022,11.251256399999997
GLOBAL,S1D1,PWRBIOINDNO01,BIOINDNO,2023,11.251256400000003
GLOBAL,S1D1,PWRBIOINDNO01,BIOINDNO,2024,11.251256400000003
GLOBAL,S1D1,PWRBIOINDSO01,BIOINDSO,2021,141.33456007200002
GLOBAL,S1D1,PWRBIOINDSO01,BIOINDSO,2022,141.33456007200002
GLOBAL,S1D1,PWRBIOINDSO01,BIOINDSO,2023,141.33456007200002
GLOBAL,S1D1,PWRBIOINDSO01,BIOINDSO,2024,141.33456007200002
GLOBAL,S1D1,PWRBIOINDSO01,BIOINDSO,2025,130.72190946797832
GLOBAL,S1D1,PWRBIOINDWE01,BIOINDWE,2021,6.563430000000001
GLOBAL,S1D1,PWRBIOINDWE01,BIOINDWE,2022,6.563430000000001
GLOBAL,S1D1,PWRBIOINDWE01,BIOINDWE,2023,6.563430000000001
GLOBAL,S1D1,PWRBIOINDWE01,BIOINDWE,2024,6.563430000000001
GLOBAL,S1D1,PWRCOAINDEA01,COAINT,2021,1806.854354772384
GLOBAL,S1D1,PWRCOAINDEA01,COAINT,2022,1997.1956787257332
GLOBAL,S1D1,PWRCOAINDEA01,COAINT,2023,2131.6078823878597
GLOBAL,S1D1,PWRCOAINDEA01,COAINT,2024,806.069148374796
GLOBAL,S1D1,PWRCOAINDNE01,COAINT,2021,69.06384
GLOBAL,S1D1,PWRCOAINDNE01,COAINT,2022,59.067094097763665
GLOBAL,S1D1,PWRCOAINDNE01,COAINT,2023,69.06384
GLOBAL,S1D1,PWRCOAINDNO01,COAINT,2021,2358.6069714991586
GLOBAL,S1D1,PWRCOAINDNO01,COAINT,2022,2810.072884021718
GLOBAL,S1D1,PWRCOAINDNO01,COAINT,2023,2815.345621688749
GLOBAL,S1D1,PWRCOAINDNO01,COAINT,2024,171.5149407034523
GLOBAL,S1D1,PWRCOAINDSO01,COAINT,2021,3258.161133572952
GLOBAL,S1D1,PWRCOAINDSO01,COAINT,2022,3599.470475046302
GLOBAL,S1D1,PWRCOAINDSO01,COAINT,2023,3633.2371118902206
