REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGINDEA01,2047,3666.4502
GLOBAL,PWRCCGINDEA01,2048,1824.0543
GLOBAL,PWRCCGINDEA01,2049,2401.5314
GLOBAL,PWRCCGINDEA01,2050,3398.7164
GLOBAL,PWRCCGINDNO01,2031,3261.0078
GLOBAL,PWRCCGINDNO01,2032,1155.8269
GLOBAL,PWRCCGINDNO01,2033,2298.9039
GLOBAL,PWRCCGINDNO01,2034,1722.2025
GLOBAL,PWRCCGINDNO01,2035,1475.3891
GLOBAL,PWRCCGINDNO01,2036,1929.999
GLOBAL,PWRCCGINDNO01,2037,2118.2475
GLOBAL,PWRCCGINDNO01,2038,2028.9022
GLOBAL,PWRCCGINDNO01,2039,2301.7523
GLOBAL,PWRCCGINDNO01,2040,2278.0463
GLOBAL,PWRCCGINDNO01,2041,3490.6259
GLOBAL,PWRCCGINDNO01,2042,2859.0237
GLOBAL,PWRCCGINDNO01,2043,2763.4966
GLOBAL,PWRCCGINDNO01,2044,4066.1357
GLOBAL,PWRCCGINDNO01,2045,4942.9764
GLOBAL,PWRCCGINDNO01,2046,6301.7993
GLOBAL,PWRCCGINDNO01,2047,2671.9399
GLOBAL,PWRCCGINDNO01,2048,5354.3105
GLOBAL,PWRCCGINDNO01,2049,4183.0424
GLOBAL,PWRCCGINDNO01,2050,6089.3261
GLOBAL,PWRCCGINDSO01,2031,8609.9639
GLOBAL,PWRCCGINDSO01,2032,3790.6215
GLOBAL,PWRCCGINDSO01,2033,3837.7883
GLOBAL,PWRCCGINDSO01,2034,2964.8735
GLOBAL,PWRCCGINDSO01,2035,3185.116
GLOBAL,PWRCCGINDSO01,2036,3648.0587
GLOBAL,PWRCCGINDSO01,2037,3578.3643
GLOBAL,PWRCCGINDSO01,2038,4661.6787
GLOBAL,PWRCCGINDSO01,2039,3883.4736
GLOBAL,PWRCCGINDSO01,2040,3797.0282
GLOBAL,PWRCCGINDSO01,2041,5600.3646
GLOBAL,PWRCCGINDSO01,2042,4631.2817
GLOBAL,PWRCCGINDSO01,2043,5157.2422
GLOBAL,PWRCCGINDSO01,2044,5181.4202
GLOBAL,PWRCCGINDSO01,2045,6262.1497
GLOBAL,PWRCCGINDSO01,2046,9675.09
GLOBAL,PWRCCGINDSO01,2047,7498.1218
GLOBAL,PWRCCGINDSO01,2048,7898.7413
GLOBAL,PWRCCGINDSO01,2049,7324.8459
GLOBAL,PWRCCGINDSO01,2050,3874.536
GLOBAL,PWRCCGINDWE01,2035,1829.6584
GLOBAL,PWRCCGINDWE01,2036,3314.3351
GLOBAL,PWRCCGINDWE01,2037,3080.6266
GLOBAL,PWRCCGINDWE01,2038,3039.3578
GLOBAL,PWRCCGINDWE01,2039,3404.055
GLOBAL,PWRCCGINDWE01,2040,3325.3586
GLOBAL,PWRCCGINDWE01,2041,5865.9649
GLOBAL,PWRCCGINDWE01,2042,4553.343
GLOBAL,PWRCCGINDWE01,2043,5995.0223
GLOBAL,PWRCCGINDWE01,2044,6653.0454
GLOBAL,PWRCCGINDWE01,2045,6456.789
GLOBAL,PWRCCGINDWE01,2046,4209.771
GLOBAL,PWRCCGINDWE01,2047,10329.884
GLOBAL,PWRCCGINDWE01,2048,11297.435
GLOBAL,PWRCCGINDWE01,2049,12799.732
GLOBAL,PWRCCGINDWE01,2050,12394.369
GLOBAL,PWRHYDINDSO01,2049,3719.3156
GLOBAL,PWRHYDINDSO01,2050,46115.573
GLOBAL,PWROCGINDEA01,2031,1774.7095
GLOBAL,PWROCGINDEA01,2032,4839.2781
GLOBAL,PWROCGINDEA01,2033,6370.094
GLOBAL,PWROCGINDEA01,2034,4988.3006
GLOBAL,PWROCGINDEA01,2035,4467.283
GLOBAL,PWROCGINDEA01,2036,4054.0739
GLOBAL,PWROCGINDEA01,2037,4933.5
GLOBAL,PWROCGINDEA01,2038,4466.6148
GLOBAL,PWROCGINDEA01,2039,4464.2678
GLOBAL,PWROCGINDEA01,2040,4901.6765
GLOBAL,PWROCGINDEA01,2041,5522.0026
GLOBAL,PWROCGINDEA01,2042,4893.4229
GLOBAL,PWROCGINDEA01,2043,5480.6798
GLOBAL,PWROCGINDEA01,2044,4372.7197
GLOBAL,PWROCGINDEA01,2045,3444.6452
GLOBAL,PWROCGINDEA01,2046,6466.617
GLOBAL,PWROCGINDEA01,2047,7410.2598
GLOBAL,PWROCGINDEA01,2048,7935.9102
GLOBAL,PWROCGINDEA01,2049,7703.2769
GLOBAL,PWROCGINDEA01,2050,4049.3521
GLOBAL,PWRSPVINDEA01,2024,4974.6724
GLOBAL,PWRSPVINDEA01,2025,6340.9653
GLOBAL,PWRSPVINDEA01,2031,3450.9125
GLOBAL,PWRSPVINDEA01,2032,2155.5205
GLOBAL,PWRSPVINDEA01,2033,2674.3471
GLOBAL,PWRSPVINDEA01,2034,112.35814
GLOBAL,PWRSPVINDEA01,2035,191.2031
