REGION,YEAR,VALUE
GLOBAL,2021,97675.72490256681
GLOBAL,2022,96657.44817134696
GLOBAL,2023,94521.72461700116
GLOBAL,2024,192731.40027675303
GLOBAL,2025,163623.4460044782
GLOBAL,2026,78190.72830479452
GLOBAL,2027,60913.76145694464
GLOBAL,2028,56567.041146155985
GLOBAL,2029,53358.79448628476
GLOBAL,2030,50765.93960959971
GLOBAL,2031,60852.583861893945
GLOBAL,2032,54539.10949379421
GLOBAL,2033,51892.854366192885
GLOBAL,2034,47202.83618638913
GLOBAL,2035,44270.576215915455
GLOBAL,2036,42737.64387796025
GLOBAL,2037,40040.544843842334
GLOBAL,2038,37420.61768551731
GLOBAL,2039,34844.108969634515
GLOBAL,2040,32491.593283199043
GLOBAL,2041,31499.058291397956
GLOBAL,2042,29146.897487760296
GLOBAL,2043,27415.076442988713
GLOBAL,2044,25763.622764882963
GLOBAL,2045,23942.667732768317
GLOBAL,2046,22884.906071018773
GLOBAL,2047,21277.618828178165
GLOBAL,2048,19795.636454552925
GLOBAL,2049,18323.881144210573
GLOBAL,2050,16875.886899100416
