REGION,TECHNOLOGY,VALUE
GLOBAL,MINCOAINT,274672.6665061406
GLOBAL,MINGASINT,115207.18206156878
GLOBAL,MINURNINT,28743.41277504
GLOBAL,PWRBIOINDNO01,81.52056
GLOBAL,PWRBIOINDSO01,421.3225368
GLOBAL,PWRBIOINDWE01,52.50744
GLOBAL,PWRCCGINDEA01,652.3628470845229
GLOBAL,PWRCCGINDNO01,14535.849325524521
GLOBAL,PWRCCGINDSO01,27861.2724936732
GLOBAL,PWRCCGINDWE01,14554.106364502142
GLOBAL,PWRCOAINDEA01,16849.2263789573
GLOBAL,PWRCOAINDNE01,63.8604
GLOBAL,PWRCOAINDNO01,20378.293172713777
GLOBAL,PWRCOAINDSO01,24048.34797516828
GLOBAL,PWRCOAINDWE01,32340.5115239297
GLOBAL,PWRCSPINDNO01,78.33179566352088
GLOBAL,PWRCSPINDSO01,17.11929505176
GLOBAL,PWRHYDINDEA01,1651.9044468667405
GLOBAL,PWRHYDINDNE01,1142.6346580182908
GLOBAL,PWRHYDINDNO01,8082.455631703998
GLOBAL,PWRHYDINDSO01,3800.899030140561
GLOBAL,PWRHYDINDWE01,1709.6837250410658
GLOBAL,PWRSPVINDEA01,12274.826575135496
GLOBAL,PWRSPVINDNE01,15.370639607934004
GLOBAL,PWRSPVINDNO01,37243.84951377447
GLOBAL,PWRSPVINDSO01,48179.658243315585
GLOBAL,PWRSPVINDWE01,47502.37381726497
GLOBAL,PWRTRNINDEA,49085.6195116236
GLOBAL,PWRTRNINDNE,42937.56476607629
GLOBAL,PWRTRNINDNO,99614.20421492931
GLOBAL,PWRTRNINDSO,116694.27711931683
GLOBAL,PWRTRNINDWE,101016.40354957937
GLOBAL,PWRURNINDNO01,3289.52016
GLOBAL,PWRURNINDSO01,7149.52656
GLOBAL,PWRURNINDWE01,2508.436512
GLOBAL,PWRWOFINDNE01,41450.266089422985
GLOBAL,PWRWONINDEA01,1.2705338644488
GLOBAL,PWRWONINDNO01,370.881194911888
GLOBAL,PWRWONINDSO01,1137.1301894259407
GLOBAL,PWRWONINDWE01,1763.9591919877432
GLOBAL,RNWBIOINDNO,273.093876
GLOBAL,RNWBIOINDSO,1554.6801607920002
GLOBAL,RNWBIOINDWE,196.90290000000002
GLOBAL,RNWCSPINDNO,78.33179566352088
GLOBAL,RNWCSPINDSO,17.11929505176
GLOBAL,RNWHYDINDEA,1651.9044468667405
GLOBAL,RNWHYDINDNE,1142.6346580182908
GLOBAL,RNWHYDINDNO,8082.455631703998
GLOBAL,RNWHYDINDSO,3800.899030140561
GLOBAL,RNWHYDINDWE,1709.6837250410658
GLOBAL,RNWSPVINDEA,12274.826575135496
GLOBAL,RNWSPVINDNE,15.370639607934004
GLOBAL,RNWSPVINDNO,37243.84951377447
GLOBAL,RNWSPVINDSO,48179.658243315585
GLOBAL,RNWSPVINDWE,47502.37381726497
GLOBAL,RNWWOFINDNE,41450.266089422985
GLOBAL,RNWWONINDEA,1.2705338644488
GLOBAL,RNWWONINDNO,370.881194911888
GLOBAL,RNWWONINDSO,1137.1301894259407
GLOBAL,RNWWONINDWE,1763.9591919877432
GLOBAL,TRNINDEAINDNE,17841.31057141828
GLOBAL,TRNINDEAINDNO,1481.293856186913
GLOBAL,TRNINDEAINDSO,866.2715741058962
GLOBAL,TRNINDEAINDWE,110.11807982013156
GLOBAL,TRNINDNEINDNO,15424.486624237694
GLOBAL,TRNINDNOINDWE,881.7397107382038
GLOBAL,TRNINDSOINDWE,3436.2202450182776
