REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOINDNO01,BIOINDNO,2021,2.7891864615599995
GLOBAL,S1D1,PWRBIOINDNO01,BIOINDNO,2022,2.7891864615599995
GLOBAL,S1D1,PWRBIOINDNO01,BIOINDNO,2023,2.789186461560001
GLOBAL,S1D1,PWRBIOINDNO01,BIOINDNO,2024,2.789186461560001
GLOBAL,S1D1,PWRBIOINDSO01,BIOINDSO,2021,35.0368374418488
GLOBAL,S1D1,PWRBIOINDSO01,BIOINDSO,2022,35.0368374418488
GLOBAL,S1D1,PWRBIOINDSO01,BIOINDSO,2023,35.0368374418488
GLOBAL,S1D1,PWRBIOINDSO01,BIOINDSO,2024,35.0368374418488
GLOBAL,S1D1,PWRBIOINDSO01,BIOINDSO,2025,32.40596135711183
GLOBAL,S1D1,PWRBIOINDWE01,BIOINDWE,2021,1.6270742970000003
GLOBAL,S1D1,PWRBIOINDWE01,BIOINDWE,2022,1.6270742970000003
GLOBAL,S1D1,PWRBIOINDWE01,BIOINDWE,2023,1.6270742970000003
GLOBAL,S1D1,PWRBIOINDWE01,BIOINDWE,2024,1.6270742970000003
GLOBAL,S1D1,PWRCOAINDEA01,COAINT,2021,447.919194548074
GLOBAL,S1D1,PWRCOAINDEA01,COAINT,2022,495.10480875610926
GLOBAL,S1D1,PWRCOAINDEA01,COAINT,2023,528.4255940439505
GLOBAL,S1D1,PWRCOAINDEA01,COAINT,2024,199.82454188211193
GLOBAL,S1D1,PWRCOAINDNE01,COAINT,2021,17.120925936
GLOBAL,S1D1,PWRCOAINDNE01,COAINT,2022,14.642732626835613
GLOBAL,S1D1,PWRCOAINDNE01,COAINT,2023,17.120925936
GLOBAL,S1D1,PWRCOAINDNO01,COAINT,2021,584.6986682346414
GLOBAL,S1D1,PWRCOAINDNO01,COAINT,2022,696.617067948984
GLOBAL,S1D1,PWRCOAINDNO01,COAINT,2023,697.9241796166409
GLOBAL,S1D1,PWRCOAINDNO01,COAINT,2024,42.51855380038583
GLOBAL,S1D1,PWRCOAINDSO01,COAINT,2021,807.6981450127349
GLOBAL,S1D1,PWRCOAINDSO01,COAINT,2022,892.3087307639782
GLOBAL,S1D1,PWRCOAINDSO01,COAINT,2023,900.6794800375857
GLOBAL,S1D1,PWRCOAINDSO01,COAINT,2024,625.9816998363896
GLOBAL,S1D1,PWRCOAINDSO01,COAINT,2025,229.5151637681562
