REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOAFGXX01,2021,2037.5
GLOBAL,PWRBIOAFGXX01,2022,2037.5
GLOBAL,PWRBIOAFGXX01,2023,2037.5
GLOBAL,PWRBIOAFGXX01,2024,2037.5
GLOBAL,PWRBIOAFGXX01,2025,2037.5
GLOBAL,PWRBIOAFGXX01,2026,2037.5
GLOBAL,PWRBIOAFGXX01,2027,2037.5
GLOBAL,PWRBIOAFGXX01,2028,2037.5
GLOBAL,PWRBIOAFGXX01,2029,2037.5
GLOBAL,PWRBIOAFGXX01,2030,2037.5
GLOBAL,PWRBIOAFGXX01,2031,2035.0
GLOBAL,PWRBIOAFGXX01,2032,2032.5
GLOBAL,PWRBIOAFGXX01,2033,2030.0
GLOBAL,PWRBIOAFGXX01,2034,2027.5
GLOBAL,PWRBIOAFGXX01,2035,2025.0
GLOBAL,PWRBIOAFGXX01,2036,2022.5
GLOBAL,PWRBIOAFGXX01,2037,2020.0
GLOBAL,PWRBIOAFGXX01,2038,2017.5
GLOBAL,PWRBIOAFGXX01,2039,2015.0
GLOBAL,PWRBIOAFGXX01,2040,2012.5
GLOBAL,PWRBIOAFGXX01,2041,2012.5
GLOBAL,PWRBIOAFGXX01,2042,2012.5
GLOBAL,PWRBIOAFGXX01,2043,2012.5
GLOBAL,PWRBIOAFGXX01,2044,2012.5
GLOBAL,PWRBIOAFGXX01,2045,2012.5
GLOBAL,PWRBIOAFGXX01,2046,2012.5
GLOBAL,PWRBIOAFGXX01,2047,2012.5
GLOBAL,PWRBIOAFGXX01,2048,2012.5
GLOBAL,PWRBIOAFGXX01,2049,2012.5
GLOBAL,PWRBIOAFGXX01,2050,2012.5
GLOBAL,PWRBIOAGOXX01,2021,2100.0
GLOBAL,PWRBIOAGOXX01,2022,2100.0
GLOBAL,PWRBIOAGOXX01,2023,2100.0
GLOBAL,PWRBIOAGOXX01,2024,2100.0
GLOBAL,PWRBIOAGOXX01,2025,2100.0
GLOBAL,PWRBIOAGOXX01,2026,2100.0
GLOBAL,PWRBIOAGOXX01,2027,2100.0
