REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGAFGXX00,2021,0.226
GLOBAL,PWRCCGAFGXX00,2022,0.226
GLOBAL,PWRCCGAFGXX00,2023,0.226
GLOBAL,PWRCCGAFGXX00,2024,0.226
GLOBAL,PWRCCGAFGXX00,2025,0.0
GLOBAL,PWRCCGAFGXX00,2026,0.0
GLOBAL,PWRCCGAFGXX00,2027,0.0
GLOBAL,PWRCCGAFGXX00,2028,0.0
GLOBAL,PWRCCGAFGXX00,2029,0.0
GLOBAL,PWRCCGAFGXX00,2030,0.0
GLOBAL,PWRCCGAFGXX00,2031,0.0
GLOBAL,PWRCCGAFGXX00,2032,0.0
GLOBAL,PWRCCGAFGXX00,2033,0.0
GLOBAL,PWRCCGAFGXX00,2034,0.0
GLOBAL,PWRCCGAFGXX00,2035,0.0
GLOBAL,PWRCCGAFGXX00,2036,0.0
GLOBAL,PWRCCGAFGXX00,2037,0.0
GLOBAL,PWRCCGAFGXX00,2038,0.0
GLOBAL,PWRCCGAFGXX00,2039,0.0
GLOBAL,PWRCCGAFGXX00,2040,0.0
GLOBAL,PWRCCGAFGXX00,2041,0.0
GLOBAL,PWRCCGAFGXX00,2042,0.0
GLOBAL,PWRCCGAFGXX00,2043,0.0
GLOBAL,PWRCCGAFGXX00,2044,0.0
GLOBAL,PWRCCGAFGXX00,2045,0.0
GLOBAL,PWRCCGAFGXX00,2046,0.0
GLOBAL,PWRCCGAFGXX00,2047,0.0
GLOBAL,PWRCCGAFGXX00,2048,0.0
GLOBAL,PWRCCGAFGXX00,2049,0.0
GLOBAL,PWRCCGAFGXX00,2050,0.0
GLOBAL,PWRHYDAFGXX01,2021,0.3304
GLOBAL,PWRHYDAFGXX01,2022,0.3304
GLOBAL,PWRHYDAFGXX01,2023,0.3304
GLOBAL,PWRHYDAFGXX01,2024,0.3304
GLOBAL,PWRHYDAFGXX01,2025,0.3304
GLOBAL,PWRHYDAFGXX01,2026,0.3304
GLOBAL,PWRHYDAFGXX01,2027,0.3304
GLOBAL,PWRHYDAFGXX01,2028,0.3304
GLOBAL,PWRHYDAFGXX01,2029,0.3304
GLOBAL,PWRHYDAFGXX01,2030,0.3304
GLOBAL,PWRHYDAFGXX01,2031,0.3304
GLOBAL,PWRHYDAFGXX01,2032,0.3304
GLOBAL,PWRHYDAFGXX01,2033,0.3304
GLOBAL,PWRHYDAFGXX01,2034,0.3304
GLOBAL,PWRHYDAFGXX01,2035,0.3304
GLOBAL,PWRHYDAFGXX01,2036,0.3304
GLOBAL,PWRHYDAFGXX01,2037,0.3304
GLOBAL,PWRHYDAFGXX01,2038,0.3304
GLOBAL,PWRHYDAFGXX01,2039,0.3304
GLOBAL,PWRHYDAFGXX01,2040,0.3304
GLOBAL,PWRHYDAFGXX01,2041,0.3304
GLOBAL,PWRHYDAFGXX01,2042,0.3304
GLOBAL,PWRHYDAFGXX01,2043,0.3304
GLOBAL,PWRHYDAFGXX01,2044,0.3304
GLOBAL,PWRHYDAFGXX01,2045,0.3304
GLOBAL,PWRHYDAFGXX01,2046,0.3304
GLOBAL,PWRHYDAFGXX01,2047,0.3304
GLOBAL,PWRHYDAFGXX01,2048,0.3304
GLOBAL,PWRHYDAFGXX01,2049,0.3304
GLOBAL,PWRHYDAFGXX01,2050,0.3304
GLOBAL,PWROCGAFGXX00,2021,0.042
GLOBAL,PWROCGAFGXX00,2022,0.042
GLOBAL,PWROCGAFGXX00,2023,0.042
GLOBAL,PWROCGAFGXX00,2024,0.042
GLOBAL,PWROCGAFGXX00,2025,0.0
GLOBAL,PWROCGAFGXX00,2026,0.0
GLOBAL,PWROCGAFGXX00,2027,0.0
GLOBAL,PWROCGAFGXX00,2028,0.0
GLOBAL,PWROCGAFGXX00,2029,0.0
GLOBAL,PWROCGAFGXX00,2030,0.0
GLOBAL,PWROCGAFGXX00,2031,0.0
GLOBAL,PWROCGAFGXX00,2032,0.0
GLOBAL,PWROCGAFGXX00,2033,0.0
GLOBAL,PWROCGAFGXX00,2034,0.0
GLOBAL,PWROCGAFGXX00,2035,0.0
GLOBAL,PWROCGAFGXX00,2036,0.0
GLOBAL,PWROCGAFGXX00,2037,0.0
GLOBAL,PWROCGAFGXX00,2038,0.0
GLOBAL,PWROCGAFGXX00,2039,0.0
GLOBAL,PWROCGAFGXX00,2040,0.0
GLOBAL,PWROCGAFGXX00,2041,0.0
GLOBAL,PWROCGAFGXX00,2042,0.0
GLOBAL,PWROCGAFGXX00,2043,0.0
GLOBAL,PWROCGAFGXX00,2044,0.0
GLOBAL,PWROCGAFGXX00,2045,0.0
GLOBAL,PWROCGAFGXX00,2046,0.0
GLOBAL,PWROCGAFGXX00,2047,0.0
GLOBAL,PWROCGAFGXX00,2048,0.0
GLOBAL,PWROCGAFGXX00,2049,0.0
GLOBAL,PWROCGAFGXX00,2050,0.0
GLOBAL,PWRCCGAGOXX00,2021,0.3876
GLOBAL,PWRCCGAGOXX00,2022,0.3876
GLOBAL,PWRCCGAGOXX00,2023,0.3876
GLOBAL,PWRCCGAGOXX00,2024,0.3876
GLOBAL,PWRCCGAGOXX00,2025,0.0
GLOBAL,PWRCCGAGOXX00,2026,0.0
GLOBAL,PWRCCGAGOXX00,2027,0.0
GLOBAL,PWRCCGAGOXX00,2028,0.0
GLOBAL,PWRCCGAGOXX00,2029,0.0
GLOBAL,PWRCCGAGOXX00,2030,0.0
GLOBAL,PWRCCGAGOXX00,2031,0.0
GLOBAL,PWRCCGAGOXX00,2032,0.0
