REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWROCGJPNTO00,2021,0.0
GLOBAL,PWROCGJPNTO00,2022,0.0
GLOBAL,PWROCGJPNTO00,2023,0.0
GLOBAL,PWROCGJPNTO00,2024,0.0
GLOBAL,PWROCGJPNTO00,2025,0.0
GLOBAL,PWROCGJPNTO00,2026,0.0
GLOBAL,PWROCGJPNTO00,2027,0.0
GLOBAL,PWROCGJPNTO00,2028,0.0
GLOBAL,PWROCGJPNTO00,2029,0.0
GLOBAL,PWROCGJPNTO00,2030,0.0
GLOBAL,PWROCGJPNTO00,2031,0.0
GLOBAL,PWROCGJPNTO00,2032,0.0
GLOBAL,PWROCGJPNTO00,2033,0.0
GLOBAL,PWROCGJPNTO00,2034,0.0
GLOBAL,PWROCGJPNTO00,2035,0.0
GLOBAL,PWROCGJPNTO00,2036,0.0
GLOBAL,PWROCGJPNTO00,2037,0.0
GLOBAL,PWROCGJPNTO00,2038,0.0
GLOBAL,PWROCGJPNTO00,2039,0.0
GLOBAL,PWROCGJPNTO00,2040,0.0
GLOBAL,PWROCGJPNTO00,2041,0.0
GLOBAL,PWROCGJPNTO00,2042,0.0
GLOBAL,PWROCGJPNTO00,2043,0.0
GLOBAL,PWROCGJPNTO00,2044,0.0
GLOBAL,PWROCGJPNTO00,2045,0.0
GLOBAL,PWROCGJPNTO00,2046,0.0
GLOBAL,PWROCGJPNTO00,2047,0.0
GLOBAL,PWROCGJPNTO00,2048,0.0
GLOBAL,PWROCGJPNTO00,2049,0.0
GLOBAL,PWROCGJPNTO00,2050,0.0
GLOBAL,PWRCCGPNGXX00,2021,0.0
GLOBAL,PWRCCGPNGXX00,2022,0.0
GLOBAL,PWRCCGPNGXX00,2023,0.0
GLOBAL,PWRCCGPNGXX00,2024,0.0
GLOBAL,PWRCCGPNGXX00,2025,0.0
GLOBAL,PWRCCGPNGXX00,2026,0.0
GLOBAL,PWRCCGPNGXX00,2027,0.0
GLOBAL,PWRCCGPNGXX00,2028,0.0
GLOBAL,PWRCCGPNGXX00,2029,0.0
GLOBAL,PWRCCGPNGXX00,2030,0.0
GLOBAL,PWRCCGPNGXX00,2031,0.0
GLOBAL,PWRCCGPNGXX00,2032,0.0
GLOBAL,PWRCCGPNGXX00,2033,0.0
GLOBAL,PWRCCGPNGXX00,2034,0.0
GLOBAL,PWRCCGPNGXX00,2035,0.0
GLOBAL,PWRCCGPNGXX00,2036,0.0
GLOBAL,PWRCCGPNGXX00,2037,0.0
GLOBAL,PWRCCGPNGXX00,2038,0.0
GLOBAL,PWRCCGPNGXX00,2039,0.0
GLOBAL,PWRCCGPNGXX00,2040,0.0
GLOBAL,PWRCCGPNGXX00,2041,0.0
GLOBAL,PWRCCGPNGXX00,2042,0.0
GLOBAL,PWRCCGPNGXX00,2043,0.0
GLOBAL,PWRCCGPNGXX00,2044,0.0
GLOBAL,PWRCCGPNGXX00,2045,0.0
