REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOAFGXX01,2021,71.25
GLOBAL,PWRBIOAFGXX01,2022,71.25
GLOBAL,PWRBIOAFGXX01,2023,71.25
GLOBAL,PWRBIOAFGXX01,2024,71.25
GLOBAL,PWRBIOAFGXX01,2025,71.25
GLOBAL,PWRBIOAFGXX01,2026,71.25
GLOBAL,PWRBIOAFGXX01,2027,71.25
GLOBAL,PWRBIOAFGXX01,2028,71.25
GLOBAL,PWRBIOAFGXX01,2029,71.25
GLOBAL,PWRBIOAFGXX01,2030,71.25
GLOBAL,PWRBIOAFGXX01,2031,71.25
GLOBAL,PWRBIOAFGXX01,2032,71.25
GLOBAL,PWRBIOAFGXX01,2033,71.25
GLOBAL,PWRBIOAFGXX01,2034,71.25
GLOBAL,PWRBIOAFGXX01,2035,71.25
GLOBAL,PWRBIOAFGXX01,2036,71.25
GLOBAL,PWRBIOAFGXX01,2037,71.25
GLOBAL,PWRBIOAFGXX01,2038,71.25
GLOBAL,PWRBIOAFGXX01,2039,71.25
GLOBAL,PWRBIOAFGXX01,2040,71.25
GLOBAL,PWRBIOAFGXX01,2041,71.25
GLOBAL,PWRBIOAFGXX01,2042,71.25
GLOBAL,PWRBIOAFGXX01,2043,71.25
GLOBAL,PWRBIOAFGXX01,2044,71.25
GLOBAL,PWRBIOAFGXX01,2045,71.25
GLOBAL,PWRBIOAFGXX01,2046,71.25
GLOBAL,PWRBIOAFGXX01,2047,71.25
GLOBAL,PWRBIOAFGXX01,2048,71.25
GLOBAL,PWRBIOAFGXX01,2049,71.25
GLOBAL,PWRBIOAFGXX01,2050,71.25
GLOBAL,PWRBIOAGOXX01,2021,75.0
GLOBAL,PWRBIOAGOXX01,2022,75.0
GLOBAL,PWRBIOAGOXX01,2023,75.0
GLOBAL,PWRBIOAGOXX01,2024,75.0
GLOBAL,PWRBIOAGOXX01,2025,75.0
GLOBAL,PWRBIOAGOXX01,2026,75.0
GLOBAL,PWRBIOAGOXX01,2027,75.0
GLOBAL,PWRBIOAGOXX01,2028,75.0
GLOBAL,PWRBIOAGOXX01,2029,75.0
GLOBAL,PWRBIOAGOXX01,2030,75.0
GLOBAL,PWRBIOAGOXX01,2031,74.5
GLOBAL,PWRBIOAGOXX01,2032,74.0
GLOBAL,PWRBIOAGOXX01,2033,73.5
GLOBAL,PWRBIOAGOXX01,2034,73.0
GLOBAL,PWRBIOAGOXX01,2035,72.5
GLOBAL,PWRBIOAGOXX01,2036,72.0
GLOBAL,PWRBIOAGOXX01,2037,71.5
GLOBAL,PWRBIOAGOXX01,2038,71.0
GLOBAL,PWRBIOAGOXX01,2039,70.5
GLOBAL,PWRBIOAGOXX01,2040,70.0
GLOBAL,PWRBIOAGOXX01,2041,70.0
GLOBAL,PWRBIOAGOXX01,2042,70.0
GLOBAL,PWRBIOAGOXX01,2043,70.0
GLOBAL,PWRBIOAGOXX01,2044,70.0
GLOBAL,PWRBIOAGOXX01,2045,70.0
GLOBAL,PWRBIOAGOXX01,2046,70.0
GLOBAL,PWRBIOAGOXX01,2047,70.0
GLOBAL,PWRBIOAGOXX01,2048,70.0
GLOBAL,PWRBIOAGOXX01,2049,70.0
GLOBAL,PWRBIOAGOXX01,2050,70.0
GLOBAL,PWRBIOALBXX01,2021,80.0
GLOBAL,PWRBIOALBXX01,2022,80.0
GLOBAL,PWRBIOALBXX01,2023,80.0
GLOBAL,PWRBIOALBXX01,2024,80.0
GLOBAL,PWRBIOALBXX01,2025,80.0
GLOBAL,PWRBIOALBXX01,2026,80.0
GLOBAL,PWRBIOALBXX01,2027,80.0
GLOBAL,PWRBIOALBXX01,2028,80.0
GLOBAL,PWRBIOALBXX01,2029,80.0
GLOBAL,PWRBIOALBXX01,2030,80.0
GLOBAL,PWRBIOALBXX01,2031,80.0
GLOBAL,PWRBIOALBXX01,2032,80.0
GLOBAL,PWRBIOALBXX01,2033,80.0
GLOBAL,PWRBIOALBXX01,2034,80.0
GLOBAL,PWRBIOALBXX01,2035,80.0
GLOBAL,PWRBIOALBXX01,2036,80.0
GLOBAL,PWRBIOALBXX01,2037,80.0
GLOBAL,PWRBIOALBXX01,2038,80.0
GLOBAL,PWRBIOALBXX01,2039,80.0
GLOBAL,PWRBIOALBXX01,2040,80.0
GLOBAL,PWRBIOALBXX01,2041,80.0
GLOBAL,PWRBIOALBXX01,2042,80.0
GLOBAL,PWRBIOALBXX01,2043,80.0
GLOBAL,PWRBIOALBXX01,2044,80.0
GLOBAL,PWRBIOALBXX01,2045,80.0
GLOBAL,PWRBIOALBXX01,2046,80.0
GLOBAL,PWRBIOALBXX01,2047,80.0
GLOBAL,PWRBIOALBXX01,2048,80.0
GLOBAL,PWRBIOALBXX01,2049,80.0
