REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCSCIVXX01,30.0
GLOBAL,PWRWOFZWEXX01,30.0
GLOBAL,PWROCGAGOXX01,30.0
GLOBAL,PWRBIORUSUR01,30.0
GLOBAL,PWRCCGEGYXX01,30.0
GLOBAL,PWROILCHNSC01,30.0
GLOBAL,PWRCSPAFGXX01,30.0
GLOBAL,PWROILJPNHO01,30.0
GLOBAL,PWRWASUSAHA01,30.0
GLOBAL,PWRCCSVNMXX01,30.0
GLOBAL,PWRURNJPNHO01,60.0
GLOBAL,PWRPETCHNGA01,30.0
GLOBAL,PWROILGINXX01,30.0
GLOBAL,PWROCGGRCXX00,30.0
GLOBAL,PWRSPVINDSO01,30.0
GLOBAL,PWRWOFUSAGU01,30.0
GLOBAL,PWRCOGSENXX01,30.0
GLOBAL,PWRCOARUSNW01,30.0
GLOBAL,PWROTHKENXX01,30.0
GLOBAL,PWRSPVBRASO01,30.0
GLOBAL,PWRWAVIRLXX01,20.0
GLOBAL,PWRWOFCHNXI01,30.0
GLOBAL,PWRCSPCHNYU01,30.0
GLOBAL,PWROTHBRANW01,30.0
GLOBAL,PWRWOFOMNXX01,30.0
GLOBAL,PWRBIOCHNXI01,30.0
GLOBAL,PWRCOGSVNXX01,30.0
GLOBAL,PWRWAVCHNNI01,20.0
GLOBAL,PWRHYDIRNXX01,100.0
GLOBAL,PWRCCSMUSXX01,30.0
GLOBAL,PWRCOAVENXX01,30.0
GLOBAL,PWRWAVAZEXX01,20.0
GLOBAL,PWRGEOTGOXX01,30.0
GLOBAL,PWRCCSCANBC01,30.0
GLOBAL,PWRBIOPOLXX01,30.0
GLOBAL,PWROILUSAER01,30.0
GLOBAL,PWRCCGDZAXX00,30.0
GLOBAL,PWRWOFRUSUR01,30.0
GLOBAL,PWRCCSCHEXX01,30.0
GLOBAL,PWROCGCMRXX01,30.0
GLOBAL,PWROCGTCDXX01,30.0
GLOBAL,PWRCOGBOLXX01,30.0
GLOBAL,PWRCOGCHNNI01,30.0
GLOBAL,PWRWASAUSVI01,30.0
GLOBAL,PWRGEOBTNXX01,30.0
GLOBAL,PWRWONNAMXX01,30.0
GLOBAL,PWROTHTLSXX01,30.0
GLOBAL,PWRBIOBDIXX01,30.0
GLOBAL,PWRWONUSAER01,30.0
GLOBAL,PWRCCSBLZXX01,30.0
GLOBAL,PWRURNCANSK01,60.0
GLOBAL,PWRSPVMYSXX01,30.0
GLOBAL,PWRBIOZWEXX01,30.0
GLOBAL,PWROTHCHNSH01,30.0
GLOBAL,PWRCOACHNQI01,30.0
GLOBAL,PWROTHCANNL01,30.0
GLOBAL,PWRURNSWEXX01,60.0
GLOBAL,PWRURNCRIXX01,60.0
GLOBAL,PWRSPVKAZXX01,30.0
GLOBAL,PWRCCGMRTXX00,30.0
GLOBAL,PWRWONCHNXI01,30.0
GLOBAL,PWRCSPKAZXX01,30.0
GLOBAL,PWROTHUSAFR01,30.0
GLOBAL,PWRHYDCHNSX01,100.0
GLOBAL,PWRCSPJORXX01,30.0
GLOBAL,PWRPETPNGXX01,30.0
GLOBAL,PWRCCGBLZXX00,30.0
GLOBAL,PWRCCGCANNO00,30.0
GLOBAL,PWRWASMEXXX01,30.0
GLOBAL,PWRCOGAUSNT01,30.0
GLOBAL,PWRCSPLTUXX01,30.0
GLOBAL,PWRCSPURYXX01,30.0
GLOBAL,PWRWAVAREXX01,20.0
GLOBAL,PWRCOGCHNZH01,30.0
GLOBAL,PWRCCGAUSSW01,30.0
GLOBAL,PWRHYDLAOXX01,100.0
GLOBAL,PWRWAVBRANE01,20.0
GLOBAL,PWRCOACHNHJ01,30.0
GLOBAL,PWRWONPAKXX01,30.0
GLOBAL,PWRWONGBRXX01,30.0
GLOBAL,PWRWAVCOGXX01,20.0
GLOBAL,PWROILBRASE01,30.0
GLOBAL,PWRURNMUSXX01,60.0
GLOBAL,PWRPETHUNXX01,30.0
GLOBAL,PWROCGTJKXX00,30.0
GLOBAL,PWRSPVJPNTO01,30.0
GLOBAL,PWRCOASWZXX01,30.0
