REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGKENXX00,31.536
GLOBAL,PWROCGKENXX00,31.536
GLOBAL,PWRHYDKENXX01,31.536
GLOBAL,PWROILKENXX01,31.536
GLOBAL,PWRSPVKENXX01,31.536
GLOBAL,PWROTHKENXX01,31.536
GLOBAL,PWRCSPKENXX01,31.536
GLOBAL,PWRBIOKENXX01,31.536
GLOBAL,PWRCOAKENXX01,31.536
GLOBAL,PWRURNKENXX01,31.536
GLOBAL,PWRWONKENXX01,31.536
GLOBAL,PWRWASKENXX01,31.536
GLOBAL,PWRWOFKENXX01,31.536
GLOBAL,PWRWAVKENXX01,31.536
GLOBAL,PWRPETKENXX01,31.536
GLOBAL,PWRGEOKENXX01,31.536
GLOBAL,PWRCOGKENXX01,31.536
GLOBAL,PWRCCSKENXX01,31.536
GLOBAL,PWRCCGTZAXX00,31.536
GLOBAL,PWROCGTZAXX00,31.536
GLOBAL,PWRHYDTZAXX01,31.536
GLOBAL,PWROILTZAXX01,31.536
GLOBAL,PWRSPVTZAXX01,31.536
GLOBAL,PWROTHTZAXX01,31.536
GLOBAL,PWRCSPTZAXX01,31.536
GLOBAL,PWRBIOTZAXX01,31.536
GLOBAL,PWRCOATZAXX01,31.536
GLOBAL,PWRURNTZAXX01,31.536
GLOBAL,PWRWONTZAXX01,31.536
GLOBAL,PWRWASTZAXX01,31.536
GLOBAL,PWRWOFTZAXX01,31.536
GLOBAL,PWRWAVTZAXX01,31.536
GLOBAL,PWRPETTZAXX01,31.536
GLOBAL,PWRGEOTZAXX01,31.536
GLOBAL,PWRCOGTZAXX01,31.536
GLOBAL,PWRCCSTZAXX01,31.536
GLOBAL,PWRCCGKENXX01,31.536
GLOBAL,PWROCGKENXX01,31.536
GLOBAL,PWRCCGTZAXX01,31.536
GLOBAL,PWROCGTZAXX01,31.536
GLOBAL,PWRBCKKENXX,31.536
GLOBAL,PWRBCKTZAXX,31.536
GLOBAL,PWRTRNKENXX,31.536
GLOBAL,PWRTRNTZAXX,31.536
GLOBAL,TRNKENXXTZAXX,31.536
GLOBAL,TRNTZAXXKENXX,31.536
