REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2021,2100.0
GLOBAL,PWRBIOKENXX01,2022,2100.0
GLOBAL,PWRBIOKENXX01,2023,2100.0
GLOBAL,PWRBIOKENXX01,2024,2100.0
GLOBAL,PWRBIOKENXX01,2025,2100.0
GLOBAL,PWRBIOKENXX01,2026,2100.0
GLOBAL,PWRBIOKENXX01,2027,2100.0
GLOBAL,PWRBIOKENXX01,2028,2100.0
GLOBAL,PWRBIOKENXX01,2029,2100.0
GLOBAL,PWRBIOKENXX01,2030,2100.0
GLOBAL,PWRBIOKENXX01,2031,2095.0
GLOBAL,PWRBIOKENXX01,2032,2090.0
GLOBAL,PWRBIOKENXX01,2033,2085.0
GLOBAL,PWRBIOKENXX01,2034,2080.0
GLOBAL,PWRBIOKENXX01,2035,2075.0
GLOBAL,PWRBIOKENXX01,2036,2070.0
GLOBAL,PWRBIOKENXX01,2037,2065.0
GLOBAL,PWRBIOKENXX01,2038,2060.0
GLOBAL,PWRBIOKENXX01,2039,2055.0
GLOBAL,PWRBIOKENXX01,2040,2050.0
GLOBAL,PWRBIOKENXX01,2041,2050.0
GLOBAL,PWRBIOKENXX01,2042,2050.0
GLOBAL,PWRBIOKENXX01,2043,2050.0
GLOBAL,PWRBIOKENXX01,2044,2050.0
GLOBAL,PWRBIOKENXX01,2045,2050.0
GLOBAL,PWRBIOKENXX01,2046,2050.0
GLOBAL,PWRBIOKENXX01,2047,2050.0
GLOBAL,PWRBIOKENXX01,2048,2050.0
GLOBAL,PWRBIOKENXX01,2049,2050.0
GLOBAL,PWRBIOKENXX01,2050,2050.0
GLOBAL,PWRBIOTZAXX01,2021,2100.0
GLOBAL,PWRBIOTZAXX01,2022,2100.0
GLOBAL,PWRBIOTZAXX01,2023,2100.0
GLOBAL,PWRBIOTZAXX01,2024,2100.0
GLOBAL,PWRBIOTZAXX01,2025,2100.0
GLOBAL,PWRBIOTZAXX01,2026,2100.0
GLOBAL,PWRBIOTZAXX01,2027,2100.0
GLOBAL,PWRBIOTZAXX01,2028,2100.0
GLOBAL,PWRBIOTZAXX01,2029,2100.0
GLOBAL,PWRBIOTZAXX01,2030,2100.0
GLOBAL,PWRBIOTZAXX01,2031,2095.0
GLOBAL,PWRBIOTZAXX01,2032,2090.0
GLOBAL,PWRBIOTZAXX01,2033,2085.0
GLOBAL,PWRBIOTZAXX01,2034,2080.0
GLOBAL,PWRBIOTZAXX01,2035,2075.0
GLOBAL,PWRBIOTZAXX01,2036,2070.0
GLOBAL,PWRBIOTZAXX01,2037,2065.0
GLOBAL,PWRBIOTZAXX01,2038,2060.0
GLOBAL,PWRBIOTZAXX01,2039,2055.0
GLOBAL,PWRBIOTZAXX01,2040,2050.0
GLOBAL,PWRBIOTZAXX01,2041,2050.0
GLOBAL,PWRBIOTZAXX01,2042,2050.0
GLOBAL,PWRBIOTZAXX01,2043,2050.0
GLOBAL,PWRBIOTZAXX01,2044,2050.0
GLOBAL,PWRBIOTZAXX01,2045,2050.0
GLOBAL,PWRBIOTZAXX01,2046,2050.0
GLOBAL,PWRBIOTZAXX01,2047,2050.0
GLOBAL,PWRBIOTZAXX01,2048,2050.0
GLOBAL,PWRBIOTZAXX01,2049,2050.0
GLOBAL,PWRBIOTZAXX01,2050,2050.0
GLOBAL,PWRCCGKENXX00,2021,700.0
GLOBAL,PWRCCGKENXX00,2022,700.0
GLOBAL,PWRCCGKENXX00,2023,700.0
GLOBAL,PWRCCGKENXX00,2024,700.0
GLOBAL,PWRCCGKENXX00,2025,700.0
GLOBAL,PWRCCGKENXX00,2026,700.0
GLOBAL,PWRCCGKENXX00,2027,700.0
GLOBAL,PWRCCGKENXX00,2028,700.0
GLOBAL,PWRCCGKENXX00,2029,700.0
GLOBAL,PWRCCGKENXX00,2030,700.0
GLOBAL,PWRCCGKENXX00,2031,700.0
GLOBAL,PWRCCGKENXX00,2032,700.0
GLOBAL,PWRCCGKENXX00,2033,700.0
GLOBAL,PWRCCGKENXX00,2034,700.0
GLOBAL,PWRCCGKENXX00,2035,700.0
GLOBAL,PWRCCGKENXX00,2036,700.0
GLOBAL,PWRCCGKENXX00,2037,700.0
GLOBAL,PWRCCGKENXX00,2038,700.0
GLOBAL,PWRCCGKENXX00,2039,700.0
GLOBAL,PWRCCGKENXX00,2040,700.0
GLOBAL,PWRCCGKENXX00,2041,700.0
GLOBAL,PWRCCGKENXX00,2042,700.0
GLOBAL,PWRCCGKENXX00,2043,700.0
GLOBAL,PWRCCGKENXX00,2044,700.0
GLOBAL,PWRCCGKENXX00,2045,700.0
GLOBAL,PWRCCGKENXX00,2046,700.0
GLOBAL,PWRCCGKENXX00,2047,700.0
GLOBAL,PWRCCGKENXX00,2048,700.0
GLOBAL,PWRCCGKENXX00,2049,700.0
GLOBAL,PWRCCGKENXX00,2050,700.0
GLOBAL,PWRCCGKENXX01,2021,700.0
GLOBAL,PWRCCGKENXX01,2022,700.0
GLOBAL,PWRCCGKENXX01,2023,700.0
GLOBAL,PWRCCGKENXX01,2024,700.0
GLOBAL,PWRCCGKENXX01,2025,700.0
GLOBAL,PWRCCGKENXX01,2026,700.0
GLOBAL,PWRCCGKENXX01,2027,700.0
GLOBAL,PWRCCGKENXX01,2028,700.0
GLOBAL,PWRCCGKENXX01,2029,700.0
GLOBAL,PWRCCGKENXX01,2030,700.0
GLOBAL,PWRCCGKENXX01,2031,700.0
GLOBAL,PWRCCGKENXX01,2032,700.0
GLOBAL,PWRCCGKENXX01,2033,700.0
GLOBAL,PWRCCGKENXX01,2034,700.0
GLOBAL,PWRCCGKENXX01,2035,700.0
GLOBAL,PWRCCGKENXX01,2036,700.0
GLOBAL,PWRCCGKENXX01,2037,700.0
GLOBAL,PWRCCGKENXX01,2038,700.0
GLOBAL,PWRCCGKENXX01,2039,700.0
GLOBAL,PWRCCGKENXX01,2040,700.0
GLOBAL,PWRCCGKENXX01,2041,700.0
GLOBAL,PWRCCGKENXX01,2042,700.0
GLOBAL,PWRCCGKENXX01,2043,700.0
GLOBAL,PWRCCGKENXX01,2044,700.0
GLOBAL,PWRCCGKENXX01,2045,700.0
GLOBAL,PWRCCGKENXX01,2046,700.0
GLOBAL,PWRCCGKENXX01,2047,700.0
GLOBAL,PWRCCGKENXX01,2048,700.0
GLOBAL,PWRCCGKENXX01,2049,700.0
GLOBAL,PWRCCGKENXX01,2050,700.0
GLOBAL,PWRCCGTZAXX00,2021,700.0
GLOBAL,PWRCCGTZAXX00,2022,700.0
GLOBAL,PWRCCGTZAXX00,2023,700.0
GLOBAL,PWRCCGTZAXX00,2024,700.0
GLOBAL,PWRCCGTZAXX00,2025,700.0
GLOBAL,PWRCCGTZAXX00,2026,700.0
GLOBAL,PWRCCGTZAXX00,2027,700.0
GLOBAL,PWRCCGTZAXX00,2028,700.0
GLOBAL,PWRCCGTZAXX00,2029,700.0
GLOBAL,PWRCCGTZAXX00,2030,700.0
GLOBAL,PWRCCGTZAXX00,2031,700.0
GLOBAL,PWRCCGTZAXX00,2032,700.0
GLOBAL,PWRCCGTZAXX00,2033,700.0
GLOBAL,PWRCCGTZAXX00,2034,700.0
GLOBAL,PWRCCGTZAXX00,2035,700.0
GLOBAL,PWRCCGTZAXX00,2036,700.0
GLOBAL,PWRCCGTZAXX00,2037,700.0
