TIMESLICE,DAILYTIMEBRACKET,VALUE
S1D6,1,0.0
S1D6,2,0.0
S1D6,3,0.0
S1D6,4,0.0
S1D6,5,0.0
S1D6,6,1.0
S1D1,1,1.0
S1D1,2,0.0
S1D1,3,0.0
S1D1,4,0.0
S1D1,5,0.0
S1D1,6,0.0
S1D2,1,0.0
S1D2,2,1.0
S1D2,3,0.0
S1D2,4,0.0
S1D2,5,0.0
S1D2,6,0.0
S1D3,1,0.0
S1D3,2,0.0
S1D3,3,1.0
S1D3,4,0.0
S1D3,5,0.0
S1D3,6,0.0
S1D4,1,0.0
S1D4,2,0.0
S1D4,3,0.0
S1D4,4,1.0
S1D4,5,0.0
S1D4,6,0.0
S1D5,1,0.0
S1D5,2,0.0
S1D5,3,0.0
S1D5,4,0.0
S1D5,5,1.0
S1D5,6,0.0
S2D6,1,0.0
S2D6,2,0.0
S2D6,3,0.0
S2D6,4,0.0
S2D6,5,0.0
S2D6,6,1.0
S2D1,1,1.0
S2D1,2,0.0
S2D1,3,0.0
S2D1,4,0.0
S2D1,5,0.0
S2D1,6,0.0
S2D2,1,0.0
S2D2,2,1.0
S2D2,3,0.0
S2D2,4,0.0
S2D2,5,0.0
S2D2,6,0.0
S2D3,1,0.0
S2D3,2,0.0
S2D3,3,1.0
S2D3,4,0.0
S2D3,5,0.0
S2D3,6,0.0
S2D4,1,0.0
S2D4,2,0.0
S2D4,3,0.0
S2D4,4,1.0
S2D4,5,0.0
S2D4,6,0.0
S2D5,1,0.0
S2D5,2,0.0
S2D5,3,0.0
S2D5,4,0.0
S2D5,5,1.0
S2D5,6,0.0
S3D6,1,0.0
S3D6,2,0.0
S3D6,3,0.0
S3D6,4,0.0
S3D6,5,0.0
S3D6,6,1.0
S3D1,1,1.0
S3D1,2,0.0
S3D1,3,0.0
S3D1,4,0.0
S3D1,5,0.0
S3D1,6,0.0
S3D2,1,0.0
S3D2,2,1.0
S3D2,3,0.0
S3D2,4,0.0
S3D2,5,0.0
S3D2,6,0.0
S3D3,1,0.0
S3D3,2,0.0
S3D3,3,1.0
S3D3,4,0.0
S3D3,5,0.0
S3D3,6,0.0
S3D4,1,0.0
S3D4,2,0.0
S3D4,3,0.0
S3D4,4,1.0
S3D4,5,0.0
S3D4,6,0.0
S3D5,1,0.0
S3D5,2,0.0
S3D5,3,0.0
S3D5,4,0.0
S3D5,5,1.0
S3D5,6,0.0
