REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2KEN,2021,50.0
GLOBAL,CO2KEN,2022,50.0
GLOBAL,CO2KEN,2023,50.0
GLOBAL,CO2KEN,2024,50.0
GLOBAL,CO2KEN,2025,50.0
GLOBAL,CO2KEN,2026,50.0
GLOBAL,CO2KEN,2027,50.0
GLOBAL,CO2KEN,2028,50.0
GLOBAL,CO2KEN,2029,50.0
GLOBAL,CO2KEN,2030,50.0
GLOBAL,CO2KEN,2031,50.0
GLOBAL,CO2KEN,2032,50.0
GLOBAL,CO2KEN,2033,50.0
GLOBAL,CO2KEN,2034,50.0
GLOBAL,CO2KEN,2035,50.0
GLOBAL,CO2KEN,2036,50.0
GLOBAL,CO2KEN,2037,50.0
GLOBAL,CO2KEN,2038,50.0
GLOBAL,CO2KEN,2039,50.0
GLOBAL,CO2KEN,2040,50.0
GLOBAL,CO2KEN,2041,50.0
GLOBAL,CO2KEN,2042,50.0
GLOBAL,CO2KEN,2043,50.0
GLOBAL,CO2KEN,2044,50.0
GLOBAL,CO2KEN,2045,50.0
GLOBAL,CO2KEN,2046,50.0
GLOBAL,CO2KEN,2047,50.0
GLOBAL,CO2KEN,2048,50.0
GLOBAL,CO2KEN,2049,50.0
GLOBAL,CO2KEN,2050,50.0
GLOBAL,CO2TZA,2021,50.0
GLOBAL,CO2TZA,2022,50.0
GLOBAL,CO2TZA,2023,50.0
GLOBAL,CO2TZA,2024,50.0
GLOBAL,CO2TZA,2025,50.0
GLOBAL,CO2TZA,2026,50.0
GLOBAL,CO2TZA,2027,50.0
GLOBAL,CO2TZA,2028,50.0
GLOBAL,CO2TZA,2029,50.0
GLOBAL,CO2TZA,2030,50.0
GLOBAL,CO2TZA,2031,50.0
GLOBAL,CO2TZA,2032,50.0
GLOBAL,CO2TZA,2033,50.0
GLOBAL,CO2TZA,2034,50.0
GLOBAL,CO2TZA,2035,50.0
GLOBAL,CO2TZA,2036,50.0
GLOBAL,CO2TZA,2037,50.0
GLOBAL,CO2TZA,2038,50.0
GLOBAL,CO2TZA,2039,50.0
GLOBAL,CO2TZA,2040,50.0
GLOBAL,CO2TZA,2041,50.0
GLOBAL,CO2TZA,2042,50.0
GLOBAL,CO2TZA,2043,50.0
GLOBAL,CO2TZA,2044,50.0
GLOBAL,CO2TZA,2045,50.0
GLOBAL,CO2TZA,2046,50.0
GLOBAL,CO2TZA,2047,50.0
GLOBAL,CO2TZA,2048,50.0
GLOBAL,CO2TZA,2049,50.0
GLOBAL,CO2TZA,2050,50.0
