REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2021,75.0
GLOBAL,PWRBIOKENXX01,2022,75.0
GLOBAL,PWRBIOKENXX01,2023,75.0
GLOBAL,PWRBIOKENXX01,2024,75.0
GLOBAL,PWRBIOKENXX01,2025,75.0
GLOBAL,PWRBIOKENXX01,2026,75.0
GLOBAL,PWRBIOKENXX01,2027,75.0
GLOBAL,PWRBIOKENXX01,2028,75.0
GLOBAL,PWRBIOKENXX01,2029,75.0
GLOBAL,PWRBIOKENXX01,2030,75.0
GLOBAL,PWRBIOKENXX01,2031,74.5
GLOBAL,PWRBIOKENXX01,2032,74.0
GLOBAL,PWRBIOKENXX01,2033,73.5
GLOBAL,PWRBIOKENXX01,2034,73.0
GLOBAL,PWRBIOKENXX01,2035,72.5
GLOBAL,PWRBIOKENXX01,2036,72.0
GLOBAL,PWRBIOKENXX01,2037,71.5
GLOBAL,PWRBIOKENXX01,2038,71.0
GLOBAL,PWRBIOKENXX01,2039,70.5
GLOBAL,PWRBIOKENXX01,2040,70.0
GLOBAL,PWRBIOKENXX01,2041,70.0
GLOBAL,PWRBIOKENXX01,2042,70.0
GLOBAL,PWRBIOKENXX01,2043,70.0
GLOBAL,PWRBIOKENXX01,2044,70.0
GLOBAL,PWRBIOKENXX01,2045,70.0
GLOBAL,PWRBIOKENXX01,2046,70.0
GLOBAL,PWRBIOKENXX01,2047,70.0
GLOBAL,PWRBIOKENXX01,2048,70.0
GLOBAL,PWRBIOKENXX01,2049,70.0
GLOBAL,PWRBIOKENXX01,2050,70.0
GLOBAL,PWRBIOTZAXX01,2021,75.0
GLOBAL,PWRBIOTZAXX01,2022,75.0
GLOBAL,PWRBIOTZAXX01,2023,75.0
GLOBAL,PWRBIOTZAXX01,2024,75.0
GLOBAL,PWRBIOTZAXX01,2025,75.0
GLOBAL,PWRBIOTZAXX01,2026,75.0
GLOBAL,PWRBIOTZAXX01,2027,75.0
GLOBAL,PWRBIOTZAXX01,2028,75.0
GLOBAL,PWRBIOTZAXX01,2029,75.0
GLOBAL,PWRBIOTZAXX01,2030,75.0
GLOBAL,PWRBIOTZAXX01,2031,74.5
GLOBAL,PWRBIOTZAXX01,2032,74.0
GLOBAL,PWRBIOTZAXX01,2033,73.5
GLOBAL,PWRBIOTZAXX01,2034,73.0
GLOBAL,PWRBIOTZAXX01,2035,72.5
GLOBAL,PWRBIOTZAXX01,2036,72.0
GLOBAL,PWRBIOTZAXX01,2037,71.5
GLOBAL,PWRBIOTZAXX01,2038,71.0
GLOBAL,PWRBIOTZAXX01,2039,70.5
GLOBAL,PWRBIOTZAXX01,2040,70.0
GLOBAL,PWRBIOTZAXX01,2041,70.0
GLOBAL,PWRBIOTZAXX01,2042,70.0
GLOBAL,PWRBIOTZAXX01,2043,70.0
GLOBAL,PWRBIOTZAXX01,2044,70.0
GLOBAL,PWRBIOTZAXX01,2045,70.0
GLOBAL,PWRBIOTZAXX01,2046,70.0
GLOBAL,PWRBIOTZAXX01,2047,70.0
GLOBAL,PWRBIOTZAXX01,2048,70.0
GLOBAL,PWRBIOTZAXX01,2049,70.0
GLOBAL,PWRBIOTZAXX01,2050,70.0
GLOBAL,PWRCCGKENXX00,2021,25.0
GLOBAL,PWRCCGKENXX00,2022,25.0
GLOBAL,PWRCCGKENXX00,2023,25.0
GLOBAL,PWRCCGKENXX00,2024,25.0
GLOBAL,PWRCCGKENXX00,2025,25.0
GLOBAL,PWRCCGKENXX00,2026,25.0
GLOBAL,PWRCCGKENXX00,2027,25.0
GLOBAL,PWRCCGKENXX00,2028,25.0
GLOBAL,PWRCCGKENXX00,2029,25.0
GLOBAL,PWRCCGKENXX00,2030,25.0
GLOBAL,PWRCCGKENXX00,2031,25.0
GLOBAL,PWRCCGKENXX00,2032,25.0
GLOBAL,PWRCCGKENXX00,2033,25.0
GLOBAL,PWRCCGKENXX00,2034,25.0
GLOBAL,PWRCCGKENXX00,2035,25.0
GLOBAL,PWRCCGKENXX00,2036,25.0
GLOBAL,PWRCCGKENXX00,2037,25.0
GLOBAL,PWRCCGKENXX00,2038,25.0
GLOBAL,PWRCCGKENXX00,2039,25.0
GLOBAL,PWRCCGKENXX00,2040,25.0
GLOBAL,PWRCCGKENXX00,2041,25.0
GLOBAL,PWRCCGKENXX00,2042,25.0
GLOBAL,PWRCCGKENXX00,2043,25.0
GLOBAL,PWRCCGKENXX00,2044,25.0
GLOBAL,PWRCCGKENXX00,2045,25.0
GLOBAL,PWRCCGKENXX00,2046,25.0
GLOBAL,PWRCCGKENXX00,2047,25.0
GLOBAL,PWRCCGKENXX00,2048,25.0
GLOBAL,PWRCCGKENXX00,2049,25.0
GLOBAL,PWRCCGKENXX00,2050,25.0
GLOBAL,PWRCCGKENXX01,2021,25.0
GLOBAL,PWRCCGKENXX01,2022,25.0
GLOBAL,PWRCCGKENXX01,2023,25.0
GLOBAL,PWRCCGKENXX01,2024,25.0
GLOBAL,PWRCCGKENXX01,2025,25.0
GLOBAL,PWRCCGKENXX01,2026,25.0
GLOBAL,PWRCCGKENXX01,2027,25.0
GLOBAL,PWRCCGKENXX01,2028,25.0
GLOBAL,PWRCCGKENXX01,2029,25.0
GLOBAL,PWRCCGKENXX01,2030,25.0
GLOBAL,PWRCCGKENXX01,2031,25.0
GLOBAL,PWRCCGKENXX01,2032,25.0
GLOBAL,PWRCCGKENXX01,2033,25.0
GLOBAL,PWRCCGKENXX01,2034,25.0
GLOBAL,PWRCCGKENXX01,2035,25.0
GLOBAL,PWRCCGKENXX01,2036,25.0
GLOBAL,PWRCCGKENXX01,2037,25.0
GLOBAL,PWRCCGKENXX01,2038,25.0
GLOBAL,PWRCCGKENXX01,2039,25.0
GLOBAL,PWRCCGKENXX01,2040,25.0
GLOBAL,PWRCCGKENXX01,2041,25.0
GLOBAL,PWRCCGKENXX01,2042,25.0
GLOBAL,PWRCCGKENXX01,2043,25.0
GLOBAL,PWRCCGKENXX01,2044,25.0
GLOBAL,PWRCCGKENXX01,2045,25.0
GLOBAL,PWRCCGKENXX01,2046,25.0
GLOBAL,PWRCCGKENXX01,2047,25.0
GLOBAL,PWRCCGKENXX01,2048,25.0
GLOBAL,PWRCCGKENXX01,2049,25.0
GLOBAL,PWRCCGKENXX01,2050,25.0
GLOBAL,PWRCCGTZAXX00,2021,25.0
GLOBAL,PWRCCGTZAXX00,2022,25.0
GLOBAL,PWRCCGTZAXX00,2023,25.0
GLOBAL,PWRCCGTZAXX00,2024,25.0
GLOBAL,PWRCCGTZAXX00,2025,25.0
