REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2021,0.9
GLOBAL,PWRBIOKENXX01,2022,0.9
GLOBAL,PWRBIOKENXX01,2023,0.9
GLOBAL,PWRBIOKENXX01,2024,0.9
GLOBAL,PWRBIOKENXX01,2025,0.9
GLOBAL,PWRBIOKENXX01,2026,0.9
GLOBAL,PWRBIOKENXX01,2027,0.9
GLOBAL,PWRBIOKENXX01,2028,0.9
GLOBAL,PWRBIOKENXX01,2029,0.9
GLOBAL,PWRBIOKENXX01,2030,0.9
GLOBAL,PWRBIOKENXX01,2031,0.9
GLOBAL,PWRBIOKENXX01,2032,0.9
GLOBAL,PWRBIOKENXX01,2033,0.9
GLOBAL,PWRBIOKENXX01,2034,0.9
GLOBAL,PWRBIOKENXX01,2035,0.9
GLOBAL,PWRBIOKENXX01,2036,0.9
GLOBAL,PWRBIOKENXX01,2037,0.9
GLOBAL,PWRBIOKENXX01,2038,0.9
GLOBAL,PWRBIOKENXX01,2039,0.9
GLOBAL,PWRBIOKENXX01,2040,0.9
GLOBAL,PWRBIOKENXX01,2041,0.9
GLOBAL,PWRBIOKENXX01,2042,0.9
GLOBAL,PWRBIOKENXX01,2043,0.9
GLOBAL,PWRBIOKENXX01,2044,0.9
GLOBAL,PWRBIOKENXX01,2045,0.9
GLOBAL,PWRBIOKENXX01,2046,0.9
GLOBAL,PWRBIOKENXX01,2047,0.9
GLOBAL,PWRBIOKENXX01,2048,0.9
GLOBAL,PWRBIOKENXX01,2049,0.9
GLOBAL,PWRBIOKENXX01,2050,0.9
GLOBAL,PWRBIOTZAXX01,2021,0.9
GLOBAL,PWRBIOTZAXX01,2022,0.9
GLOBAL,PWRBIOTZAXX01,2023,0.9
GLOBAL,PWRBIOTZAXX01,2024,0.9
GLOBAL,PWRBIOTZAXX01,2025,0.9
GLOBAL,PWRBIOTZAXX01,2026,0.9
GLOBAL,PWRBIOTZAXX01,2027,0.9
GLOBAL,PWRBIOTZAXX01,2028,0.9
GLOBAL,PWRBIOTZAXX01,2029,0.9
GLOBAL,PWRBIOTZAXX01,2030,0.9
GLOBAL,PWRBIOTZAXX01,2031,0.9
GLOBAL,PWRBIOTZAXX01,2032,0.9
GLOBAL,PWRBIOTZAXX01,2033,0.9
GLOBAL,PWRBIOTZAXX01,2034,0.9
GLOBAL,PWRBIOTZAXX01,2035,0.9
GLOBAL,PWRBIOTZAXX01,2036,0.9
GLOBAL,PWRBIOTZAXX01,2037,0.9
GLOBAL,PWRBIOTZAXX01,2038,0.9
GLOBAL,PWRBIOTZAXX01,2039,0.9
GLOBAL,PWRBIOTZAXX01,2040,0.9
GLOBAL,PWRBIOTZAXX01,2041,0.9
GLOBAL,PWRBIOTZAXX01,2042,0.9
GLOBAL,PWRBIOTZAXX01,2043,0.9
GLOBAL,PWRBIOTZAXX01,2044,0.9
GLOBAL,PWRBIOTZAXX01,2045,0.9
GLOBAL,PWRBIOTZAXX01,2046,0.9
GLOBAL,PWRBIOTZAXX01,2047,0.9
GLOBAL,PWRBIOTZAXX01,2048,0.9
GLOBAL,PWRBIOTZAXX01,2049,0.9
GLOBAL,PWRBIOTZAXX01,2050,0.9
GLOBAL,PWRCCGKENXX00,2021,0.9
GLOBAL,PWRCCGKENXX00,2022,0.9
GLOBAL,PWRCCGKENXX00,2023,0.9
GLOBAL,PWRCCGKENXX00,2024,0.9
GLOBAL,PWRCCGKENXX00,2025,0.9
GLOBAL,PWRCCGKENXX00,2026,0.9
GLOBAL,PWRCCGKENXX00,2027,0.9
GLOBAL,PWRCCGKENXX00,2028,0.9
GLOBAL,PWRCCGKENXX00,2029,0.9
GLOBAL,PWRCCGKENXX00,2030,0.9
GLOBAL,PWRCCGKENXX00,2031,0.9
GLOBAL,PWRCCGKENXX00,2032,0.9
GLOBAL,PWRCCGKENXX00,2033,0.9
GLOBAL,PWRCCGKENXX00,2034,0.9
GLOBAL,PWRCCGKENXX00,2035,0.9
GLOBAL,PWRCCGKENXX00,2036,0.9
GLOBAL,PWRCCGKENXX00,2037,0.9
GLOBAL,PWRCCGKENXX00,2038,0.9
GLOBAL,PWRCCGKENXX00,2039,0.9
GLOBAL,PWRCCGKENXX00,2040,0.9
GLOBAL,PWRCCGKENXX00,2041,0.9
GLOBAL,PWRCCGKENXX00,2042,0.9
GLOBAL,PWRCCGKENXX00,2043,0.9
GLOBAL,PWRCCGKENXX00,2044,0.9
GLOBAL,PWRCCGKENXX00,2045,0.9
GLOBAL,PWRCCGKENXX00,2046,0.9
GLOBAL,PWRCCGKENXX00,2047,0.9
GLOBAL,PWRCCGKENXX00,2048,0.9
GLOBAL,PWRCCGKENXX00,2049,0.9
GLOBAL,PWRCCGKENXX00,2050,0.9
GLOBAL,PWRCCGKENXX01,2021,0.9
GLOBAL,PWRCCGKENXX01,2022,0.9
GLOBAL,PWRCCGKENXX01,2023,0.9
GLOBAL,PWRCCGKENXX01,2024,0.9
GLOBAL,PWRCCGKENXX01,2025,0.9
GLOBAL,PWRCCGKENXX01,2026,0.9
