REGION,FUEL,YEAR,VALUE
GLOBAL,ELCTZAXX02,2024,67.98
GLOBAL,ELCKENXX02,2025,50.43
GLOBAL,ELCTZAXX02,2025,72.9
GLOBAL,ELCTZAXX02,2021,32.0
GLOBAL,ELCTZAXX02,2022,35.0
GLOBAL,ELCTZAXX02,2023,40.0
GLOBAL,ELCTZAXX02,2026,144.0
GLOBAL,ELCTZAXX02,2027,238.0
GLOBAL,ELCTZAXX02,2028,332.0
GLOBAL,ELCTZAXX02,2029,426.0
GLOBAL,ELCTZAXX02,2030,520.0
GLOBAL,ELCTZAXX02,2031,561.0
GLOBAL,ELCTZAXX02,2032,602.0
GLOBAL,ELCTZAXX02,2033,643.0
GLOBAL,ELCTZAXX02,2034,684.0
GLOBAL,ELCTZAXX02,2035,725.0
GLOBAL,ELCTZAXX02,2036,766.0
GLOBAL,ELCTZAXX02,2037,807.0
GLOBAL,ELCTZAXX02,2038,848.0
GLOBAL,ELCTZAXX02,2039,889.0
GLOBAL,ELCTZAXX02,2040,930.0
GLOBAL,ELCTZAXX02,2041,989.5
GLOBAL,ELCTZAXX02,2042,1049.0
GLOBAL,ELCTZAXX02,2043,1108.5
GLOBAL,ELCTZAXX02,2044,1168.0
GLOBAL,ELCTZAXX02,2045,1227.5
GLOBAL,ELCTZAXX02,2046,1287.0
GLOBAL,ELCTZAXX02,2047,1346.5
GLOBAL,ELCTZAXX02,2048,1406.0
GLOBAL,ELCTZAXX02,2049,1465.5
GLOBAL,ELCTZAXX02,2050,1525.0
GLOBAL,ELCKENXX02,2021,46.0
GLOBAL,ELCKENXX02,2022,48.0
GLOBAL,ELCKENXX02,2023,47.0
GLOBAL,ELCKENXX02,2024,49.0
GLOBAL,ELCKENXX02,2026,111.0
GLOBAL,ELCKENXX02,2027,172.0
GLOBAL,ELCKENXX02,2028,233.0
GLOBAL,ELCKENXX02,2029,294.0
GLOBAL,ELCKENXX02,2030,355.0
GLOBAL,ELCKENXX02,2031,381.5
GLOBAL,ELCKENXX02,2032,408.0
GLOBAL,ELCKENXX02,2033,434.5
GLOBAL,ELCKENXX02,2034,461.0
GLOBAL,ELCKENXX02,2035,487.5
GLOBAL,ELCKENXX02,2036,514.0
GLOBAL,ELCKENXX02,2037,540.5
GLOBAL,ELCKENXX02,2038,567.0
GLOBAL,ELCKENXX02,2039,593.5
GLOBAL,ELCKENXX02,2040,620.0
GLOBAL,ELCKENXX02,2041,660.0
GLOBAL,ELCKENXX02,2042,700.0
GLOBAL,ELCKENXX02,2043,740.0
GLOBAL,ELCKENXX02,2044,780.0
GLOBAL,ELCKENXX02,2045,820.0
GLOBAL,ELCKENXX02,2046,860.0
GLOBAL,ELCKENXX02,2047,900.0
GLOBAL,ELCKENXX02,2048,940.0
GLOBAL,ELCKENXX02,2049,980.0
GLOBAL,ELCKENXX02,2050,1020.0
