REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRHYDKENXX01,2021,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2022,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2023,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2024,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2025,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2026,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2027,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2028,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2029,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2030,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2031,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2032,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2033,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2034,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2035,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2036,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2037,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2038,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2039,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2040,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2041,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2042,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2043,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2044,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2045,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2046,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2047,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2048,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2049,4.0200000000000005
GLOBAL,PWRHYDKENXX01,2050,4.0200000000000005
GLOBAL,PWRHYDTZAXX01,2021,16.7612
GLOBAL,PWRHYDTZAXX01,2022,16.7612
GLOBAL,PWRHYDTZAXX01,2023,16.7612
GLOBAL,PWRHYDTZAXX01,2024,16.7612
GLOBAL,PWRHYDTZAXX01,2025,16.7612
GLOBAL,PWRHYDTZAXX01,2026,16.7612
GLOBAL,PWRHYDTZAXX01,2027,16.7612
GLOBAL,PWRHYDTZAXX01,2028,16.7612
GLOBAL,PWRHYDTZAXX01,2029,16.7612
GLOBAL,PWRHYDTZAXX01,2030,16.7612
GLOBAL,PWRHYDTZAXX01,2031,16.7612
GLOBAL,PWRHYDTZAXX01,2032,16.7612
GLOBAL,PWRHYDTZAXX01,2033,16.7612
GLOBAL,PWRHYDTZAXX01,2034,16.7612
GLOBAL,PWRHYDTZAXX01,2035,16.7612
GLOBAL,PWRHYDTZAXX01,2036,16.7612
GLOBAL,PWRHYDTZAXX01,2037,16.7612
GLOBAL,PWRHYDTZAXX01,2038,16.7612
GLOBAL,PWRHYDTZAXX01,2039,16.7612
GLOBAL,PWRHYDTZAXX01,2040,16.7612
GLOBAL,PWRHYDTZAXX01,2041,16.7612
GLOBAL,PWRHYDTZAXX01,2042,16.7612
GLOBAL,PWRHYDTZAXX01,2043,16.7612
GLOBAL,PWRHYDTZAXX01,2044,16.7612
GLOBAL,PWRHYDTZAXX01,2045,16.7612
GLOBAL,PWRHYDTZAXX01,2046,16.7612
GLOBAL,PWRHYDTZAXX01,2047,16.7612
GLOBAL,PWRHYDTZAXX01,2048,16.7612
GLOBAL,PWRHYDTZAXX01,2049,16.7612
GLOBAL,PWRHYDTZAXX01,2050,16.7612
