REGION,YEAR,EMISSION,VALUE
GLOBAL,2021,CO2KEN,3.35
GLOBAL,2022,CO2KEN,4.08
GLOBAL,2023,CO2KEN,2.63
GLOBAL,2024,CO2KEN,0.0
GLOBAL,2025,CO2KEN,0.0
GLOBAL,2026,CO2KEN,0.0
GLOBAL,2027,CO2KEN,2.56
GLOBAL,2028,CO2KEN,3.81
GLOBAL,2029,CO2KEN,3.44
GLOBAL,2030,CO2KEN,3.08
GLOBAL,2031,CO2KEN,3.17
GLOBAL,2032,CO2KEN,3.74
GLOBAL,2033,CO2KEN,3.77
GLOBAL,2034,CO2KEN,3.8
GLOBAL,2035,CO2KEN,3.83
GLOBAL,2036,CO2KEN,3.85
GLOBAL,2037,CO2KEN,3.88
GLOBAL,2038,CO2KEN,3.9
GLOBAL,2039,CO2KEN,3.92
GLOBAL,2040,CO2KEN,3.94
GLOBAL,2041,CO2KEN,3.96
GLOBAL,2042,CO2KEN,3.98
GLOBAL,2043,CO2KEN,4.0
GLOBAL,2044,CO2KEN,4.01
GLOBAL,2045,CO2KEN,3.77
GLOBAL,2046,CO2KEN,3.8
GLOBAL,2047,CO2KEN,3.82
GLOBAL,2048,CO2KEN,3.91
GLOBAL,2049,CO2KEN,3.92
GLOBAL,2050,CO2KEN,3.94
GLOBAL,2021,CO2TZA,13.57
GLOBAL,2022,CO2TZA,13.84
GLOBAL,2023,CO2TZA,17.12
GLOBAL,2024,CO2TZA,14.64
GLOBAL,2025,CO2TZA,14.53
GLOBAL,2026,CO2TZA,14.44
GLOBAL,2027,CO2TZA,12.75
GLOBAL,2028,CO2TZA,12.09
GLOBAL,2029,CO2TZA,12.08
GLOBAL,2030,CO2TZA,12.08
GLOBAL,2031,CO2TZA,12.07
GLOBAL,2032,CO2TZA,12.62
GLOBAL,2033,CO2TZA,12.52
GLOBAL,2034,CO2TZA,12.49
GLOBAL,2035,CO2TZA,12.47
GLOBAL,2036,CO2TZA,12.45
GLOBAL,2037,CO2TZA,12.43
GLOBAL,2038,CO2TZA,12.41
GLOBAL,2039,CO2TZA,12.4
GLOBAL,2040,CO2TZA,12.38
GLOBAL,2041,CO2TZA,12.36
GLOBAL,2042,CO2TZA,12.31
GLOBAL,2043,CO2TZA,12.17
GLOBAL,2044,CO2TZA,12.05
GLOBAL,2045,CO2TZA,11.56
GLOBAL,2046,CO2TZA,11.46
GLOBAL,2047,CO2TZA,11.36
GLOBAL,2048,CO2TZA,11.29
GLOBAL,2049,CO2TZA,11.21
GLOBAL,2050,CO2TZA,11.14
