YEAR,NODE_1,NODE_2,VALUE
2021,KENXX,TZAXX,0.32
2022,KENXX,TZAXX,0.32
2023,KENXX,TZAXX,4.24
2024,KENXX,TZAXX,0.4
2025,KENXX,TZAXX,0.88
2026,KENXX,TZAXX,0.56
2027,KENXX,TZAXX,0.56
2028,KENXX,TZAXX,0.72
2029,KENXX,TZAXX,0.72
2030,KENXX,TZAXX,1.08
2031,KENXX,TZAXX,1.08
2032,KENXX,TZAXX,0.4
2033,KENXX,TZAXX,0.4
2034,KENXX,TZAXX,0.4
2035,KENXX,TZAXX,0.56
2036,KENXX,TZAXX,0.56
2037,KENXX,TZAXX,0.72
2038,KENXX,TZAXX,0.88
2039,KENXX,TZAXX,1.04
2040,KENXX,TZAXX,1.04
2041,KENXX,TZAXX,1.4
2042,KENXX,TZAXX,1.56
2043,KENXX,TZAXX,1.7200000000000002
2044,KENXX,TZAXX,1.88
2045,KENXX,TZAXX,3.08
2046,KENXX,TZAXX,3.24
2047,KENXX,TZAXX,3.4
2048,KENXX,TZAXX,3.72
2049,KENXX,TZAXX,3.88
2050,KENXX,TZAXX,4.04
