YEAR,NODE_1,NODE_2,VALUE
2021,KENXX,TZAXX,11.52
2022,KENXX,TZAXX,12.48
2023,KENXX,TZAXX,14.08
2024,KENXX,TZAXX,17.92
2025,KENXX,TZAXX,12.16
2026,KENXX,TZAXX,11.52
2027,KENXX,TZAXX,10.88
2028,KENXX,TZAXX,10.24
2029,KENXX,TZAXX,9.28
2030,KENXX,TZAXX,17.28
2031,KENXX,TZAXX,30.080000000000002
2032,KENXX,TZAXX,66.56
2033,KENXX,TZAXX,78.72
2034,KENXX,TZAXX,82.56
2035,KENXX,TZAXX,91.84
2036,KENXX,TZAXX,110.72
2037,KENXX,TZAXX,117.44
2038,KENXX,TZAXX,124.16
2039,KENXX,TZAXX,133.12
2040,KENXX,TZAXX,139.2
2041,KENXX,TZAXX,147.2
2042,KENXX,TZAXX,154.24
2043,KENXX,TZAXX,161.6
2044,KENXX,TZAXX,167.68
2045,KENXX,TZAXX,172.16
2046,KENXX,TZAXX,176.32
2047,KENXX,TZAXX,179.52
2048,KENXX,TZAXX,182.72
2049,KENXX,TZAXX,185.92000000000002
2050,KENXX,TZAXX,189.44
