YEAR,NODE_1,NODE_2,VALUE
2021,KENXX,TZAXX,-7.04
2022,KENXX,TZAXX,-8.0
2023,KENXX,TZAXX,-9.6
2024,KENXX,TZAXX,-2.2400000000000007
2025,KENXX,TZAXX,8.0
2026,KENXX,TZAXX,9.92
2027,KENXX,TZAXX,12.16
2028,KENXX,TZAXX,14.4
2029,KENXX,TZAXX,16.64
2030,KENXX,TZAXX,7.999999999999999
2031,KENXX,TZAXX,-3.8400000000000003
2032,KENXX,TZAXX,-50.879999999999995
2033,KENXX,TZAXX,-66.88
2034,KENXX,TZAXX,-80.32000000000001
2035,KENXX,TZAXX,-91.84
2036,KENXX,TZAXX,-110.72
2037,KENXX,TZAXX,-117.44
2038,KENXX,TZAXX,-124.16
2039,KENXX,TZAXX,-133.12
2040,KENXX,TZAXX,-139.52
2041,KENXX,TZAXX,-147.2
2042,KENXX,TZAXX,-154.56
2043,KENXX,TZAXX,-161.6
2044,KENXX,TZAXX,-167.68
2045,KENXX,TZAXX,-172.16
2046,KENXX,TZAXX,-176.32
2047,KENXX,TZAXX,-179.52
2048,KENXX,TZAXX,-182.72
2049,KENXX,TZAXX,-185.92000000000002
2050,KENXX,TZAXX,-189.44
