YEAR,NODE_1,NODE_2,VALUE
2021,KENXX,TZAXX,4.4
2022,KENXX,TZAXX,4.5600000000000005
2023,KENXX,TZAXX,4.5600000000000005
2024,KENXX,TZAXX,3.28
2025,KENXX,TZAXX,3.44
2026,KENXX,TZAXX,3.76
2027,KENXX,TZAXX,2.36
2028,KENXX,TZAXX,1.4
2029,KENXX,TZAXX,1.56
2030,KENXX,TZAXX,1.4
2031,KENXX,TZAXX,1.56
2032,KENXX,TZAXX,0.56
2033,KENXX,TZAXX,0.72
2034,KENXX,TZAXX,0.72
2035,KENXX,TZAXX,0.88
2036,KENXX,TZAXX,1.04
2037,KENXX,TZAXX,1.24
2038,KENXX,TZAXX,1.4
2039,KENXX,TZAXX,1.56
2040,KENXX,TZAXX,1.56
2041,KENXX,TZAXX,1.7200000000000002
2042,KENXX,TZAXX,1.88
2043,KENXX,TZAXX,2.04
2044,KENXX,TZAXX,2.2
2045,KENXX,TZAXX,3.4
2046,KENXX,TZAXX,3.56
2047,KENXX,TZAXX,3.72
2048,KENXX,TZAXX,4.04
2049,KENXX,TZAXX,4.2
2050,KENXX,TZAXX,4.36
