REGION,COUNTRY,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,KEN,2021,100.0,100.0,0.0
GLOBAL,KEN,2022,100.0,100.0,0.0
GLOBAL,KEN,2023,100.0,100.0,0.0
GLOBAL,KEN,2024,100.0,100.0,0.0
GLOBAL,KEN,2025,100.0,100.0,0.0
GLOBAL,KEN,2026,100.0,100.0,0.0
GLOBAL,KEN,2027,100.0,100.0,0.0
GLOBAL,KEN,2028,100.0,100.0,0.0
GLOBAL,KEN,2029,100.0,100.0,0.0
GLOBAL,KEN,2030,100.0,100.0,0.0
GLOBAL,KEN,2031,100.0,100.0,0.0
GLOBAL,KEN,2032,100.0,100.0,0.0
GLOBAL,KEN,2033,99.9,99.9,0.1
GLOBAL,KEN,2034,99.9,99.9,0.1
GLOBAL,KEN,2035,99.9,99.9,0.1
GLOBAL,KEN,2036,99.9,99.9,0.1
GLOBAL,KEN,2037,99.8,99.8,0.2
GLOBAL,KEN,2038,99.8,99.8,0.2
GLOBAL,KEN,2039,99.8,99.8,0.2
GLOBAL,KEN,2040,99.8,99.8,0.2
GLOBAL,KEN,2041,99.8,99.8,0.2
GLOBAL,KEN,2042,99.7,99.7,0.3
GLOBAL,KEN,2043,99.7,99.7,0.3
GLOBAL,KEN,2044,99.7,99.7,0.3
GLOBAL,KEN,2045,99.6,99.6,0.4
GLOBAL,KEN,2046,99.6,99.6,0.4
GLOBAL,KEN,2047,99.6,99.6,0.4
GLOBAL,KEN,2048,99.6,99.6,0.4
GLOBAL,KEN,2049,99.6,99.6,0.4
GLOBAL,KEN,2050,99.6,99.6,0.4
GLOBAL,TZA,2021,99.7,99.7,0.3
GLOBAL,TZA,2022,99.7,99.7,0.3
GLOBAL,TZA,2023,98.9,98.9,1.1
GLOBAL,TZA,2024,99.7,99.7,0.3
GLOBAL,TZA,2025,99.7,99.7,0.3
GLOBAL,TZA,2026,99.6,99.6,0.4
GLOBAL,TZA,2027,99.6,99.6,0.4
GLOBAL,TZA,2028,99.5,99.5,0.5
GLOBAL,TZA,2029,99.5,99.5,0.5
GLOBAL,TZA,2030,99.4,99.4,0.6
GLOBAL,TZA,2031,99.4,99.4,0.6
GLOBAL,TZA,2032,99.2,99.2,0.8
GLOBAL,TZA,2033,99.2,99.2,0.8
GLOBAL,TZA,2034,99.2,99.2,0.8
GLOBAL,TZA,2035,99.2,99.2,0.8
GLOBAL,TZA,2036,99.2,99.2,0.8
GLOBAL,TZA,2037,99.2,99.2,0.8
GLOBAL,TZA,2038,99.2,99.2,0.8
GLOBAL,TZA,2039,99.2,99.2,0.8
GLOBAL,TZA,2040,99.2,99.2,0.8
GLOBAL,TZA,2041,99.2,99.2,0.8
GLOBAL,TZA,2042,99.2,99.2,0.8
GLOBAL,TZA,2043,99.2,99.2,0.8
GLOBAL,TZA,2044,99.2,99.2,0.8
GLOBAL,TZA,2045,99.2,99.2,0.8
GLOBAL,TZA,2046,99.2,99.2,0.8
GLOBAL,TZA,2047,99.2,99.2,0.8
GLOBAL,TZA,2048,99.2,99.2,0.8
GLOBAL,TZA,2049,99.2,99.2,0.8
GLOBAL,TZA,2050,99.2,99.2,0.8
