REGION,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,2021,98.5,98.5,1.5
GLOBAL,2022,98.3,98.3,1.7
GLOBAL,2023,98.1,98.1,1.9
GLOBAL,2024,98.1,98.1,1.9
GLOBAL,2025,98.1,98.1,1.9
GLOBAL,2026,98.1,98.1,1.9
GLOBAL,2027,98.2,98.2,1.8
GLOBAL,2028,98.2,98.2,1.8
GLOBAL,2029,98.2,98.2,1.8
GLOBAL,2030,98.2,98.2,1.8
GLOBAL,2031,98.2,98.2,1.8
GLOBAL,2032,98.0,98.0,2.0
GLOBAL,2033,98.0,98.0,2.0
GLOBAL,2034,98.0,98.0,2.0
GLOBAL,2035,98.0,98.0,2.0
GLOBAL,2036,98.0,98.0,2.0
GLOBAL,2037,98.0,98.0,2.0
GLOBAL,2038,98.0,98.0,2.0
GLOBAL,2039,98.0,98.0,2.0
GLOBAL,2040,98.0,98.0,2.0
GLOBAL,2041,98.0,98.0,2.0
GLOBAL,2042,98.0,98.0,2.0
GLOBAL,2043,98.0,98.0,2.0
GLOBAL,2044,98.0,98.0,2.0
GLOBAL,2045,98.1,98.1,1.9
GLOBAL,2046,98.1,98.1,1.9
GLOBAL,2047,98.1,98.1,1.9
GLOBAL,2048,98.1,98.1,1.9
GLOBAL,2049,98.1,98.1,1.9
GLOBAL,2050,98.1,98.1,1.9
