TECH,COUNTRY,YEAR,VALUE
BIO,KEN,2021,0.09
BIO,KEN,2022,0.09
BIO,KEN,2023,0.09
BIO,KEN,2024,0.09
BIO,KEN,2025,0.09
BIO,KEN,2026,0.09
BIO,KEN,2027,0.09
BIO,KEN,2028,0.09
BIO,KEN,2029,0.09
BIO,KEN,2030,0.09
BIO,KEN,2031,0.09
BIO,TZA,2021,0.1148108486969816
BIO,TZA,2022,0.1148108486969816
BIO,TZA,2023,0.1763003539701794
BIO,TZA,2024,0.1763003539701794
BIO,TZA,2025,0.1763003539701794
BIO,TZA,2026,0.1763003539701794
BIO,TZA,2027,0.1763003539701794
BIO,TZA,2028,0.1763003539701794
BIO,TZA,2029,0.1763003539701794
BIO,TZA,2030,0.1763003539701794
BIO,TZA,2031,0.1763003539701794
BIO,TZA,2032,0.167906417266492
BIO,TZA,2033,0.167906417266492
BIO,TZA,2034,0.167906417266492
BIO,TZA,2035,0.167906417266492
BIO,TZA,2036,0.167906417266492
BIO,TZA,2037,0.167906417266492
BIO,TZA,2038,0.167906417266492
BIO,TZA,2039,0.167906417266492
BIO,TZA,2040,0.167906417266492
BIO,TZA,2041,0.167906417266492
BIO,TZA,2042,0.167906417266492
BIO,TZA,2043,0.167906417266492
BIO,TZA,2044,0.167906417266492
BIO,TZA,2045,0.167906417266492
BIO,TZA,2046,0.167906417266492
BIO,TZA,2047,0.167906417266492
BIO,TZA,2048,0.167906417266492
BIO,TZA,2049,0.167906417266492
BIO,TZA,2050,0.167906417266492
CCG,KEN,2024,0.0001803360472938
CCG,KEN,2025,0.0001803360472938
CCG,KEN,2026,0.0001803360472938
CCG,KEN,2027,0.0001803360472938
CCG,KEN,2028,0.0001803360472938
CCG,KEN,2029,0.0001803360472938
CCG,KEN,2030,0.0001803360472938
CCG,KEN,2031,0.0001803360472938
CCG,KEN,2032,0.0001803360472938
CCG,KEN,2033,0.0001803360472938
CCG,KEN,2034,0.0001803360472938
CCG,KEN,2035,0.0001803360472938
CCG,KEN,2036,0.0001803360472938
CCG,KEN,2037,0.0001803360472938
CCG,KEN,2038,0.0001803360472938
CCG,KEN,2039,0.0001803360472938
CCG,KEN,2040,0.0001803360472938
CCG,KEN,2041,0.0001803360472938
CCG,KEN,2042,0.0001803360472938
CCG,KEN,2043,0.0001803360472938
CCG,KEN,2044,0.0001803360472938
CCG,KEN,2045,0.0001803360472938
CCG,KEN,2046,0.0001803360472938
CCG,KEN,2047,0.0001803360472938
CCG,KEN,2048,0.0001803360472938
CCG,KEN,2049,0.0001803360472938
CCG,KEN,2050,0.0001803360472938
CCG,TZA,2021,0.208
CCG,TZA,2022,0.208
CCG,TZA,2023,0.208
CCG,TZA,2024,0.21071879352677428
CCG,TZA,2025,0.3068583127219267
CCG,TZA,2026,0.3599522196795223
CCG,TZA,2027,0.388106905963886
CCG,TZA,2028,0.4162962547299666
CCG,TZA,2029,0.4480528170769225
CCG,TZA,2030,0.4833997177109209
CCG,TZA,2031,0.5260987736767918
CCG,TZA,2032,0.5800158665646628
CCG,TZA,2033,0.6210188664061187
CCG,TZA,2034,0.661714331768481
CCG,TZA,2035,0.6991075832475948
CCG,TZA,2036,0.750715118827084
CCG,TZA,2037,0.8016997556379496
CCG,TZA,2038,0.8526492549068657
CCG,TZA,2039,0.9035984670764192
CCG,TZA,2040,0.9545479663453348
CCG,TZA,2041,1.0122602681650843
CCG,TZA,2042,1.0603293848509308
CCG,TZA,2043,1.1083868906392793
CCG,TZA,2044,1.156497406030384
CCG,TZA,2045,1.1599898811894196
CCG,TZA,2046,1.2195213643460645
CCG,TZA,2047,1.279041216095836
CCG,TZA,2048,1.3299738634108216
CCG,TZA,2049,1.3894523369647045
CCG,TZA,2050,1.4489838201213483
GEO,KEN,2021,1.0466266058391331
GEO,KEN,2022,1.0964175138241887
GEO,KEN,2023,1.0964175138241887
GEO,KEN,2024,1.1496483957724195
GEO,KEN,2025,1.199928936152956
GEO,KEN,2026,1.3497157207830874
GEO,KEN,2027,1.4995025054132178
GEO,KEN,2028,1.649041802360351
GEO,KEN,2029,1.798751946691682
GEO,KEN,2030,1.948111481785704
GEO,KEN,2031,2.119910008067558
GEO,KEN,2032,2.328198614713084
GEO,KEN,2033,2.501241739202417
GEO,KEN,2034,2.674074848796992
GEO,KEN,2035,2.8465559561317
