YEAR,VALUE
2021,145.2278391128075
2022,27.612919850190547
2023,21.717488909949534
2024,91.26325986759821
2025,19.564994956764885
2026,23.406873221973314
2027,20.053995243392915
2028,17.024443394513785
2029,14.85533642843343
2030,13.144163921831193
2031,12.2097457421024
2032,12.18928661324436
2033,8.89622660658912
2034,7.605708538337163
2035,6.520999020016489
2036,6.179519391467338
2037,5.259318079592571
2038,4.486879200552549
2039,3.823396591258009
2040,3.3058773405440354
2041,3.092251474607473
2042,2.644570540980703
2043,2.262526388215473
2044,1.8703175490100437
2045,1.6412643212376106
2046,1.4390148152790097
2047,1.17343367009093
2048,0.9666026670522573
2049,0.7482646412285172
2050,0.5834009223101335
