REGION,COUNTRY,YEAR,VALUE
GLOBAL,KEN,2021,673.7820565765578
GLOBAL,KEN,2022,260.04115047658803
GLOBAL,KEN,2023,118.18214506935364
GLOBAL,KEN,2024,482.1600872032591
GLOBAL,KEN,2025,207.0112442568925
GLOBAL,KEN,2026,4012.8653393689724
GLOBAL,KEN,2027,3848.5598565478876
GLOBAL,KEN,2028,3484.315821204366
GLOBAL,KEN,2029,3196.9578272799868
GLOBAL,KEN,2030,2948.3656232440608
GLOBAL,KEN,2031,1346.5595962377013
GLOBAL,KEN,2032,1275.3662823925308
GLOBAL,KEN,2033,1110.820387759998
GLOBAL,KEN,2034,1007.0705800458247
GLOBAL,KEN,2035,911.4481591610722
GLOBAL,KEN,2036,823.3587300325755
GLOBAL,KEN,2037,742.2468730083893
GLOBAL,KEN,2038,667.5941450393772
GLOBAL,KEN,2039,598.9171062381486
GLOBAL,KEN,2040,539.8069546203317
GLOBAL,KEN,2041,620.8659779230421
GLOBAL,KEN,2042,555.3359769032763
GLOBAL,KEN,2043,494.39164463793156
GLOBAL,KEN,2044,432.4568128726578
GLOBAL,KEN,2045,388.90022056184034
GLOBAL,KEN,2046,329.8886854177863
GLOBAL,KEN,2047,283.94696145702187
GLOBAL,KEN,2048,244.1695409273163
GLOBAL,KEN,2049,201.6846117272387
GLOBAL,KEN,2050,165.58313104091812
GLOBAL,TZA,2021,2472.821124200937
GLOBAL,TZA,2022,376.5900571805833
GLOBAL,TZA,2023,406.65717025442643
GLOBAL,TZA,2024,2483.3888403833066
GLOBAL,TZA,2025,463.252874636945
GLOBAL,TZA,2026,4434.8630254169175
GLOBAL,TZA,2027,5491.5460374266995
GLOBAL,TZA,2028,5064.544320250643
GLOBAL,TZA,2029,4655.398261914002
GLOBAL,TZA,2030,4266.3909644126925
GLOBAL,TZA,2031,1939.7639920530391
GLOBAL,TZA,2032,1807.9993871921558
GLOBAL,TZA,2033,1599.0593617195304
GLOBAL,TZA,2034,1448.4140031130034
GLOBAL,TZA,2035,1309.6300584480744
GLOBAL,TZA,2036,1181.835453858421
GLOBAL,TZA,2037,1064.215692432768
GLOBAL,TZA,2038,956.0108614192466
GLOBAL,TZA,2039,856.5126833209
GLOBAL,TZA,2040,765.0616298551846
GLOBAL,TZA,2041,869.5454890407879
GLOBAL,TZA,2042,773.3275465180905
GLOBAL,TZA,2043,684.2779156655099
GLOBAL,TZA,2044,601.5583764201638
GLOBAL,TZA,2045,522.3662436333651
GLOBAL,TZA,2046,454.16266307778636
GLOBAL,TZA,2047,389.86527619827024
GLOBAL,TZA,2048,330.39938517201455
GLOBAL,TZA,2049,275.79025882761687
GLOBAL,TZA,2050,225.3112230195826
