YEAR,VALUE
2021,6907.131231663878
2022,1418.908450818399
2023,1279.797843490193
2024,1452.028034524532
2025,1200.7195083583053
2026,1255.4838250155503
2027,1238.09681997795
2028,1062.6973191717639
2029,977.1555124759955
2030,908.038908800522
2031,920.6723997589197
2032,930.0605833765655
2033,758.9391123336641
2034,1009.6457031167807
2035,628.1503719968317
2036,625.9612903852471
2037,575.4018590778286
2038,520.3488486036622
2039,459.95585229069076
2040,414.15950924641845
2041,430.82964706278705
2042,390.78497417291436
2043,351.9149773011268
2044,300.592972239279
2045,288.6961575648628
2046,291.2212648274714
2047,229.23792885144866
2048,203.32778573920203
2049,173.71843484267836
2050,149.0156238506368
