REGION,NODE,YEAR,VALUE
GLOBAL,KENXX,2021,409.6065894512476
GLOBAL,KENXX,2022,533.6868468975555
GLOBAL,KENXX,2023,530.5233352686332
GLOBAL,KENXX,2024,739.2429353712115
GLOBAL,KENXX,2025,696.6898207159562
GLOBAL,KENXX,2026,579.6051382329201
GLOBAL,KENXX,2027,618.0812675732722
GLOBAL,KENXX,2028,492.00044051148865
GLOBAL,KENXX,2029,452.9936199377637
GLOBAL,KENXX,2030,358.941887368192
GLOBAL,KENXX,2031,324.7723479101131
GLOBAL,KENXX,2032,150.5179406352218
GLOBAL,KENXX,2033,218.7125781901469
GLOBAL,KENXX,2034,483.16223065217525
GLOBAL,KENXX,2035,225.71769813319239
GLOBAL,KENXX,2036,221.70407385014076
GLOBAL,KENXX,2037,199.37027913475666
GLOBAL,KENXX,2038,180.14084166833607
GLOBAL,KENXX,2039,162.4006761994071
GLOBAL,KENXX,2040,150.52929326840123
GLOBAL,KENXX,2041,147.66403279392875
GLOBAL,KENXX,2042,136.67229883317583
GLOBAL,KENXX,2043,125.96562880453106
GLOBAL,KENXX,2044,110.41739014714415
GLOBAL,KENXX,2045,118.84406025018727
GLOBAL,KENXX,2046,128.19397399685485
GLOBAL,KENXX,2047,90.33289132153726
GLOBAL,KENXX,2048,82.74883450177015
GLOBAL,KENXX,2049,70.09260431888985
GLOBAL,KENXX,2050,61.12059129962513
GLOBAL,TZAXX,2021,6497.52464221263
GLOBAL,TZAXX,2022,885.2216039208434
GLOBAL,TZAXX,2023,749.2745082215598
GLOBAL,TZAXX,2024,712.7850991533203
GLOBAL,TZAXX,2025,504.0296876423491
GLOBAL,TZAXX,2026,675.8786867826301
GLOBAL,TZAXX,2027,620.0155524046779
GLOBAL,TZAXX,2028,570.6968786602753
GLOBAL,TZAXX,2029,524.1618925382318
GLOBAL,TZAXX,2030,549.0970214323299
GLOBAL,TZAXX,2031,595.9000518488066
GLOBAL,TZAXX,2032,779.5426427413438
GLOBAL,TZAXX,2033,540.2265341435171
GLOBAL,TZAXX,2034,526.4834724646055
GLOBAL,TZAXX,2035,402.43267386363937
GLOBAL,TZAXX,2036,404.2572165351064
GLOBAL,TZAXX,2037,376.0315799430719
GLOBAL,TZAXX,2038,340.2080069353261
GLOBAL,TZAXX,2039,297.55517609128367
GLOBAL,TZAXX,2040,263.63021597801725
GLOBAL,TZAXX,2041,283.1656142688583
GLOBAL,TZAXX,2042,254.11267533973853
GLOBAL,TZAXX,2043,225.94934849659575
GLOBAL,TZAXX,2044,190.17558209213487
GLOBAL,TZAXX,2045,169.85209731467555
GLOBAL,TZAXX,2046,163.02729083061655
GLOBAL,TZAXX,2047,138.9050375299114
GLOBAL,TZAXX,2048,120.57895123743188
GLOBAL,TZAXX,2049,103.62583052378851
GLOBAL,TZAXX,2050,87.89503255101168
