YEAR,MONTH,HOUR,NODE_1,NODE_2,VALUE
2021,1,1.0,KENXX,TZAXX,-0.02
2021,1,2.0,KENXX,TZAXX,-0.02
2021,1,3.0,KENXX,TZAXX,-0.02
2021,1,4.0,KENXX,TZAXX,-0.02
2021,1,5.0,KENXX,TZAXX,-0.02
2021,1,6.0,KENXX,TZAXX,-0.02
2021,1,7.0,KENXX,TZAXX,-0.02
2021,1,8.0,KENXX,TZAXX,-0.02
2021,1,9.0,KENXX,TZAXX,-0.02
2021,1,10.0,KENXX,TZAXX,-0.02
2021,1,11.0,KENXX,TZAXX,-0.02
2021,1,12.0,KENXX,TZAXX,-0.02
2021,1,13.0,KENXX,TZAXX,-0.02
2021,1,14.0,KENXX,TZAXX,-0.02
2021,1,15.0,KENXX,TZAXX,-0.02
2021,1,16.0,KENXX,TZAXX,-0.02
2021,1,17.0,KENXX,TZAXX,-0.02
2021,1,18.0,KENXX,TZAXX,-0.02
2021,1,19.0,KENXX,TZAXX,-0.02
2021,1,20.0,KENXX,TZAXX,0.0
2021,1,21.0,KENXX,TZAXX,0.0
2021,1,22.0,KENXX,TZAXX,0.0
2021,1,23.0,KENXX,TZAXX,0.0
2021,1,24.0,KENXX,TZAXX,0.0
2021,2,1.0,KENXX,TZAXX,-0.02
2021,2,2.0,KENXX,TZAXX,-0.02
2021,2,3.0,KENXX,TZAXX,-0.02
2021,2,4.0,KENXX,TZAXX,-0.02
2021,2,5.0,KENXX,TZAXX,-0.02
2021,2,6.0,KENXX,TZAXX,-0.02
2021,2,7.0,KENXX,TZAXX,-0.02
2021,2,8.0,KENXX,TZAXX,-0.02
2021,2,9.0,KENXX,TZAXX,-0.02
2021,2,10.0,KENXX,TZAXX,-0.02
2021,2,11.0,KENXX,TZAXX,-0.02
2021,2,12.0,KENXX,TZAXX,-0.02
2021,2,13.0,KENXX,TZAXX,-0.02
2021,2,14.0,KENXX,TZAXX,-0.02
2021,2,15.0,KENXX,TZAXX,-0.02
2021,2,16.0,KENXX,TZAXX,-0.02
2021,2,17.0,KENXX,TZAXX,-0.02
2021,2,18.0,KENXX,TZAXX,-0.02
2021,2,19.0,KENXX,TZAXX,-0.02
2021,2,20.0,KENXX,TZAXX,0.0
2021,2,21.0,KENXX,TZAXX,0.0
2021,2,22.0,KENXX,TZAXX,0.0
2021,2,23.0,KENXX,TZAXX,0.0
2021,2,24.0,KENXX,TZAXX,0.0
2021,3,1.0,KENXX,TZAXX,-0.02
2021,3,2.0,KENXX,TZAXX,-0.02
2021,3,3.0,KENXX,TZAXX,-0.02
2021,3,4.0,KENXX,TZAXX,-0.02
2021,3,5.0,KENXX,TZAXX,-0.02
2021,3,6.0,KENXX,TZAXX,-0.02
2021,3,7.0,KENXX,TZAXX,-0.02
2021,3,8.0,KENXX,TZAXX,-0.02
2021,3,9.0,KENXX,TZAXX,-0.02
