YEAR,MONTH,HOUR,NODE_1,NODE_2,VALUE
2021,1,1.0,KENXX,TZAXX,-0.13
2022,1,1.0,KENXX,TZAXX,-0.13
2023,1,1.0,KENXX,TZAXX,-0.13
2024,1,1.0,KENXX,TZAXX,-0.53
2025,1,1.0,KENXX,TZAXX,-0.38
2026,1,1.0,KENXX,TZAXX,-0.18
2027,1,1.0,KENXX,TZAXX,-0.34
2028,1,1.0,KENXX,TZAXX,-0.11
2029,1,1.0,KENXX,TZAXX,-0.29
2030,1,1.0,KENXX,TZAXX,-0.54
2031,1,1.0,KENXX,TZAXX,-0.63
2032,1,1.0,KENXX,TZAXX,-1.17
2033,1,1.0,KENXX,TZAXX,-1.47
2034,1,1.0,KENXX,TZAXX,-1.56
2035,1,1.0,KENXX,TZAXX,-1.64
2036,1,1.0,KENXX,TZAXX,-1.66
2037,1,1.0,KENXX,TZAXX,-1.7
2038,1,1.0,KENXX,TZAXX,-1.74
2039,1,1.0,KENXX,TZAXX,-1.71
2040,1,1.0,KENXX,TZAXX,-1.8
2041,1,1.0,KENXX,TZAXX,-2.04
2042,1,1.0,KENXX,TZAXX,-2.13
2043,1,1.0,KENXX,TZAXX,-2.13
2044,1,1.0,KENXX,TZAXX,-2.13
2045,1,1.0,KENXX,TZAXX,-2.13
2046,1,1.0,KENXX,TZAXX,-2.13
2047,1,1.0,KENXX,TZAXX,-2.13
2048,1,1.0,KENXX,TZAXX,-2.13
2049,1,1.0,KENXX,TZAXX,-2.13
2050,1,1.0,KENXX,TZAXX,-2.13
2021,1,2.0,KENXX,TZAXX,-0.13
2022,1,2.0,KENXX,TZAXX,-0.13
2023,1,2.0,KENXX,TZAXX,-0.13
2024,1,2.0,KENXX,TZAXX,-0.53
2025,1,2.0,KENXX,TZAXX,-0.38
2026,1,2.0,KENXX,TZAXX,-0.18
2027,1,2.0,KENXX,TZAXX,-0.34
2028,1,2.0,KENXX,TZAXX,-0.11
2029,1,2.0,KENXX,TZAXX,-0.29
2030,1,2.0,KENXX,TZAXX,-0.54
2031,1,2.0,KENXX,TZAXX,-0.63
2032,1,2.0,KENXX,TZAXX,-1.17
2033,1,2.0,KENXX,TZAXX,-1.47
2034,1,2.0,KENXX,TZAXX,-1.56
2035,1,2.0,KENXX,TZAXX,-1.64
2036,1,2.0,KENXX,TZAXX,-1.66
2037,1,2.0,KENXX,TZAXX,-1.7
2038,1,2.0,KENXX,TZAXX,-1.74
2039,1,2.0,KENXX,TZAXX,-1.71
2040,1,2.0,KENXX,TZAXX,-1.8
2041,1,2.0,KENXX,TZAXX,-2.04
2042,1,2.0,KENXX,TZAXX,-2.13
2043,1,2.0,KENXX,TZAXX,-2.13
2044,1,2.0,KENXX,TZAXX,-2.13
2045,1,2.0,KENXX,TZAXX,-2.13
2046,1,2.0,KENXX,TZAXX,-2.13
2047,1,2.0,KENXX,TZAXX,-2.13
2048,1,2.0,KENXX,TZAXX,-2.13
2049,1,2.0,KENXX,TZAXX,-2.13
2050,1,2.0,KENXX,TZAXX,-2.13
2021,1,3.0,KENXX,TZAXX,-0.13
2022,1,3.0,KENXX,TZAXX,-0.13
2023,1,3.0,KENXX,TZAXX,-0.13
2024,1,3.0,KENXX,TZAXX,-0.53
2025,1,3.0,KENXX,TZAXX,-0.38
2026,1,3.0,KENXX,TZAXX,-0.18
2027,1,3.0,KENXX,TZAXX,-0.34
2028,1,3.0,KENXX,TZAXX,-0.11
2029,1,3.0,KENXX,TZAXX,-0.29
2030,1,3.0,KENXX,TZAXX,-0.54
2031,1,3.0,KENXX,TZAXX,-0.63
2032,1,3.0,KENXX,TZAXX,-1.17
2033,1,3.0,KENXX,TZAXX,-1.47
2034,1,3.0,KENXX,TZAXX,-1.56
2035,1,3.0,KENXX,TZAXX,-1.64
2036,1,3.0,KENXX,TZAXX,-1.66
2037,1,3.0,KENXX,TZAXX,-1.7
2038,1,3.0,KENXX,TZAXX,-1.74
2039,1,3.0,KENXX,TZAXX,-1.71
2040,1,3.0,KENXX,TZAXX,-1.8
2041,1,3.0,KENXX,TZAXX,-2.04
2042,1,3.0,KENXX,TZAXX,-2.13
2043,1,3.0,KENXX,TZAXX,-2.13
2044,1,3.0,KENXX,TZAXX,-2.13
2045,1,3.0,KENXX,TZAXX,-2.13
2046,1,3.0,KENXX,TZAXX,-2.13
2047,1,3.0,KENXX,TZAXX,-2.13
